Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2014-04-15,17.9,17.92,15.15,15.35,3531700,16.58,0.11,139.54545454545453
2014-04-16,15.35,16.09,15.21,15.62,266500,15.5675,0.11,142.0
2014-04-17,15.95,16.55,15.71,16.25,262100,16.115,0.11,147.72727272727272
2014-04-21,16.59,16.59,16.01,16.1,78000,16.3225,0.11,146.36363636363637
2014-04-22,16.2,16.69,15.76,15.98,96100,16.1575,0.11,145.27272727272728
2014-04-23,15.82,16.18,15.8,16.07,56538,15.9675,0.11,146.0909090909091
2014-04-24,16.28,16.3,15.75,15.75,42800,16.02,0.11,143.1818181818182
2014-04-25,15.75,15.75,15.25,15.3,71600,15.5125,0.11,139.0909090909091
2014-04-28,15.43,15.66,14.51,14.97,197500,15.1425,0.11,136.0909090909091
2014-04-29,15.01,15.45,15.01,15.28,68530,15.1875,0.11,138.9090909090909
2014-04-30,15.17,15.51,15.06,15.41,53600,15.2875,0.11,140.0909090909091
2014-05-01,15.29,15.9,15.29,15.67,39900,15.5375,0.11,142.45454545454544
2014-05-02,15.69,16.06,15.69,15.8,22300,15.81,0.11,143.63636363636365
2014-05-05,15.69,15.99,15.68,15.68,13300,15.76,0.11,142.54545454545453
2014-05-06,15.63,15.63,15.25,15.31,31911,15.455,0.11,139.1818181818182
2014-05-07,15.26,15.29,14.95,15.05,92607,15.1375,0.11,136.8181818181818
2014-05-08,15.25,15.33,15.18,15.18,18606,15.235,0.11,138.0
2014-05-09,15.12,15.17,14.12,14.51,76003,14.73,0.11,131.9090909090909
2014-05-12,14.73,14.87,14.09,14.09,111201,14.445,0.11,128.0909090909091
2014-05-13,14.57,14.87,13.68,13.87,90800,14.2475,0.11,126.09090909090908
2014-05-14,14.15,14.29,13.91,14.07,105628,14.105,0.11,127.9090909090909
2014-05-15,14.0,14.31,13.61,14.29,110498,14.0525,0.11,129.9090909090909
2014-05-16,14.29,14.68,13.57,13.81,119712,14.0875,0.11,125.54545454545455
2014-05-19,13.85,13.85,13.1,13.24,202525,13.51,0.11,120.36363636363636
2014-05-20,13.5,14.3,13.37,14.0,141141,13.7925,0.11,127.27272727272727
2014-05-21,14.25,14.25,13.87,14.0,47400,14.0925,0.0209,669.8564593301436
2014-05-22,13.91,15.61,13.85,15.38,85300,14.6875,0.0209,735.8851674641149
2014-05-23,15.35,15.35,14.31,14.53,352733,14.885,0.0209,695.2153110047847
2014-05-27,14.57,14.81,13.76,14.03,68100,14.2925,0.0209,671.2918660287081
2014-05-28,14.08,14.08,13.12,13.25,244016,13.6325,0.0209,633.9712918660288
2014-05-29,13.45,13.82,13.43,13.48,64600,13.545,0.0209,644.976076555024
2014-05-30,13.41,13.53,13.24,13.35,76145,13.3825,0.0209,638.7559808612441
2014-06-02,13.49,13.83,13.18,13.54,47627,13.51,0.0209,647.8468899521531
2014-06-03,13.74,14.11,13.43,14.03,84800,13.8275,0.0209,671.2918660287081
2014-06-04,14.0,14.44,13.59,14.3,73733,14.0825,0.0209,684.2105263157896
2014-06-05,13.01,14.43,13.01,14.17,67643,13.655,0.0209,677.9904306220096
2014-06-06,14.33,14.5,13.89,14.45,42504,14.2925,0.0209,691.3875598086124
2014-06-09,14.45,14.67,14.19,14.64,104535,14.4875,0.0209,700.4784688995217
2014-06-10,14.65,14.67,14.35,14.43,59700,14.525,0.0209,690.4306220095694
2014-06-11,14.35,14.54,14.25,14.46,24913,14.4,0.0209,691.8660287081341
2014-06-12,14.46,14.47,13.91,13.97,120500,14.2025,0.0209,668.4210526315791
2014-06-13,14.07,14.07,13.4,14.0,65100,13.885,0.0209,669.8564593301436
2014-06-16,14.57,14.61,14.25,14.44,106841,14.4675,0.0209,690.909090909091
2014-06-17,14.34,14.38,13.45,14.0,98200,14.0425,0.0209,669.8564593301436
2014-06-18,13.79,14.39,13.72,14.17,78427,14.0175,0.0209,677.9904306220096
2014-06-19,14.13,14.3,14.12,14.29,55100,14.21,0.0209,683.7320574162679
2014-06-20,14.36,14.71,14.12,14.12,186908,14.3275,0.0209,675.5980861244019
2014-06-23,14.2,14.65,14.09,14.64,58636,14.395,0.0209,700.4784688995217
2014-06-24,14.56,15.0,14.5,14.7,130306,14.69,0.0209,703.3492822966507
2014-06-25,14.65,14.74,14.17,14.72,59200,14.57,0.0209,704.3062200956939
2014-06-26,14.68,15.16,14.56,14.72,91900,14.78,0.0209,704.3062200956939
2014-06-27,14.84,15.22,13.98,13.98,767332,14.505,0.0209,668.8995215311005
2014-06-30,14.27,14.66,13.91,14.59,169500,14.3575,0.0209,698.0861244019139
2014-07-01,14.62,14.74,14.16,14.6,56100,14.53,0.0209,698.5645933014355
2014-07-02,14.54,14.57,14.2,14.25,52423,14.39,0.0209,681.8181818181819
2014-07-03,14.27,14.72,14.27,14.68,23300,14.485,0.0209,702.3923444976077
2014-07-07,14.55,14.67,14.01,14.02,65800,14.3125,0.0209,670.8133971291867
2014-07-08,14.0,14.13,13.38,13.43,113912,13.735,0.0209,642.5837320574163
2014-07-09,13.44,13.61,13.28,13.42,53600,13.4375,0.0209,642.1052631578948
2014-07-10,13.25,13.44,13.25,13.3,83600,13.31,0.0209,636.3636363636365
2014-07-11,13.25,13.33,13.02,13.03,62700,13.1575,0.0209,623.444976076555
2014-07-14,13.05,13.75,13.02,13.29,130100,13.2775,0.0209,635.8851674641148
2014-07-15,13.23,13.25,12.64,12.97,87015,13.0225,0.0209,620.574162679426
2014-07-16,13.0,13.06,12.8,12.85,91305,12.9275,0.0209,614.8325358851675
2014-07-17,12.79,13.04,12.32,12.41,79200,12.64,0.0209,593.7799043062201
2014-07-18,12.34,12.62,12.28,12.48,24100,12.43,0.0209,597.1291866028708
2014-07-21,12.45,12.87,12.28,12.78,37800,12.595,0.0209,611.4832535885167
2014-07-22,12.87,12.87,12.55,12.62,19900,12.7275,0.0209,603.8277511961722
2014-07-23,12.69,12.98,12.59,12.84,17723,12.775,0.0209,614.354066985646
2014-07-24,12.92,13.12,12.92,13.0,95700,12.99,0.0209,622.0095693779905
2014-07-25,13.23,13.46,12.91,13.0,142533,13.15,0.0209,622.0095693779905
2014-07-28,12.95,13.04,12.75,12.96,54000,12.925,0.0209,620.0956937799044
2014-07-29,13.06,13.09,12.79,12.88,34719,12.955,0.0209,616.2679425837322
2014-07-30,13.1,13.1,12.84,13.0,56500,13.01,0.0209,622.0095693779905
2014-07-31,12.91,13.0,12.65,12.78,41646,12.835,0.0209,611.4832535885167
2014-08-01,12.84,12.9,12.35,12.65,61443,12.685,0.0209,605.2631578947369
2014-08-04,12.77,12.77,12.5,12.69,48925,12.6825,0.0209,607.1770334928229
2014-08-05,12.61,12.65,12.48,12.49,57736,12.5575,0.0209,597.6076555023924
2014-08-06,13.07,14.08,12.9,13.83,208329,13.47,0.0209,661.7224880382776
2014-08-07,13.94,14.02,13.75,13.82,54000,13.8825,0.0209,661.244019138756
2014-08-08,13.86,13.97,13.26,13.58,114223,13.6675,-0.0118,-1150.8474576271187
2014-08-11,13.7,13.92,13.65,13.91,41400,13.795,-0.0118,-1178.8135593220338
2014-08-12,13.83,13.98,13.81,13.89,40900,13.8775,-0.0118,-1177.1186440677966
2014-08-13,13.98,14.78,13.92,14.75,378540,14.3575,-0.0118,-1250.0
2014-08-14,14.83,15.66,14.83,15.26,135433,15.145,-0.0118,-1293.2203389830509
2014-08-15,15.46,17.08,15.26,16.84,133407,16.16,-0.0118,-1427.1186440677966
2014-08-18,17.0,17.0,16.06,16.45,191237,16.6275,-0.0118,-1394.0677966101694
2014-08-19,16.5,16.5,16.12,16.19,47800,16.3275,-0.0118,-1372.033898305085
2014-08-20,16.11,16.33,15.42,15.77,105348,15.9075,-0.0118,-1336.4406779661017
2014-08-21,15.68,16.65,15.51,16.54,64140,16.095,-0.0118,-1401.6949152542372
2014-08-22,16.59,17.69,16.37,17.45,451444,17.025,-0.0118,-1478.8135593220338
2014-08-25,17.55,17.55,16.84,17.25,74209,17.2975,-0.0118,-1461.864406779661
2014-08-26,17.26,18.06,17.16,18.05,158224,17.6325,-0.0118,-1529.6610169491526
2014-08-27,18.34,18.34,17.79,17.98,97521,18.1125,-0.0118,-1523.7288135593221
2014-08-28,17.87,18.02,17.53,17.88,49500,17.825,-0.0118,-1515.2542372881355
2014-08-29,17.86,18.1,17.61,17.92,84179,17.8725,-0.0118,-1518.6440677966104
2014-09-02,18.14,18.32,17.93,18.08,135900,18.1175,-0.0118,-1532.2033898305083
2014-09-03,18.22,18.22,17.11,17.35,451738,17.725,-0.0118,-1470.3389830508477
2014-09-04,17.5,17.57,16.21,16.65,335700,16.9825,-0.0118,-1411.0169491525423
2014-09-05,16.48,16.58,16.04,16.43,118834,16.3825,-0.0118,-1392.3728813559321
2014-09-08,16.38,16.58,15.99,16.39,134018,16.335,-0.0118,-1388.9830508474577
2014-09-09,16.39,16.39,15.81,16.11,147300,16.175,-0.0118,-1365.2542372881355
2014-09-10,16.16,16.45,15.86,16.36,85500,16.2075,-0.0118,-1386.4406779661017
2014-09-11,16.22,17.03,16.06,16.7,174608,16.5025,-0.0118,-1415.2542372881355
2014-09-12,16.8,18.03,16.8,17.74,278600,17.3425,-0.0118,-1503.3898305084745
2014-09-15,17.83,17.92,16.5,17.16,196000,17.3525,-0.0118,-1454.2372881355932
2014-09-16,17.16,18.13,16.85,17.89,252500,17.5075,-0.0118,-1516.1016949152543
2014-09-17,17.98,18.04,17.53,17.73,95221,17.82,-0.0118,-1502.542372881356
2014-09-18,17.8,18.19,17.03,18.05,188800,17.7675,-0.0118,-1529.6610169491526
2014-09-19,18.08,19.24,17.46,18.99,561600,18.4425,-0.0118,-1609.3220338983049
2014-09-22,18.85,19.14,17.54,18.28,398800,18.4525,-0.0118,-1549.1525423728815
2014-09-23,18.29,18.77,17.9,18.3,307900,18.315,-0.0118,-1550.8474576271187
2014-09-24,18.5,18.59,17.67,18.42,187222,18.295,-0.0118,-1561.0169491525426
2014-09-25,18.31,18.31,16.82,16.99,109512,17.6075,-0.0118,-1439.8305084745762
2014-09-26,17.0,17.51,17.0,17.22,68900,17.1825,-0.0118,-1459.322033898305
2014-09-29,17.1,17.22,16.8,16.91,150400,17.0075,-0.0118,-1433.0508474576272
2014-09-30,16.95,17.03,16.31,16.56,188700,16.7125,-0.0118,-1403.3898305084745
2014-10-01,16.21,16.62,16.0,16.1,149200,16.2325,-0.0118,-1364.406779661017
2014-10-02,16.02,16.33,15.74,16.3,140900,16.0975,-0.0118,-1381.35593220339
2014-10-03,16.48,16.83,16.4,16.57,91635,16.57,-0.0118,-1404.2372881355932
2014-10-06,16.63,16.64,16.01,16.15,62600,16.3575,-0.0118,-1368.64406779661
2014-10-07,16.0,16.11,15.47,15.76,171634,15.835,-0.0118,-1335.593220338983
2014-10-08,15.7,15.93,15.59,15.68,112418,15.725,-0.0118,-1328.8135593220338
2014-10-09,15.64,15.68,14.32,14.88,238400,15.13,-0.0118,-1261.0169491525426
2014-10-10,14.75,15.59,14.68,14.88,194516,14.975,-0.0118,-1261.0169491525426
2014-10-13,14.95,15.22,14.79,14.98,283914,14.985,-0.0118,-1269.491525423729
2014-10-14,15.08,15.4,14.87,15.04,216442,15.0975,-0.0118,-1274.5762711864406
2014-10-15,15.05,16.35,14.85,16.26,258200,15.6275,-0.0118,-1377.9661016949153
2014-10-16,16.05,16.79,16.0,16.76,100600,16.4,-0.0118,-1420.3389830508477
2014-10-17,17.02,17.02,16.39,16.43,48600,16.715,-0.0118,-1392.3728813559321
2014-10-20,16.33,16.44,16.17,16.34,37100,16.32,-0.0118,-1384.7457627118645
2014-10-21,16.22,16.82,16.22,16.67,118400,16.4825,-0.0118,-1412.7118644067798
2014-10-22,16.67,16.74,16.38,16.48,71408,16.5675,-0.0118,-1396.6101694915255
2014-10-23,16.55,16.89,16.38,16.53,68720,16.5875,-0.0118,-1400.8474576271187
2014-10-24,16.6,16.65,16.32,16.51,39602,16.52,-0.0118,-1399.1525423728815
2014-10-27,16.47,16.8,16.34,16.57,46934,16.545,-0.0118,-1404.2372881355932
2014-10-28,16.6,17.32,16.6,16.91,97736,16.8575,-0.0118,-1433.0508474576272
2014-10-29,16.95,17.13,16.68,16.77,65922,16.8825,-0.0118,-1421.1864406779662
2014-10-30,16.79,17.47,16.74,17.43,94200,17.1075,-0.0118,-1477.1186440677966
2014-10-31,17.8,17.88,17.54,17.75,55632,17.7425,-0.0118,-1504.2372881355932
2014-11-03,17.82,17.92,17.6,17.68,49846,17.755,-0.0118,-1498.3050847457628
2014-11-04,17.68,18.08,17.58,17.73,145539,17.7675,-0.0118,-1502.542372881356
2014-11-05,18.62,22.11,18.62,21.15,677800,20.125,-0.0118,-1792.3728813559321
2014-11-06,21.26,22.49,21.0,21.59,253000,21.585,-0.0118,-1829.6610169491526
2014-11-07,21.52,21.65,21.09,21.42,133337,21.42,0.05,428.40000000000003
2014-11-10,21.44,22.08,21.16,22.07,222725,21.6875,0.05,441.4
2014-11-11,22.22,23.37,22.18,22.5,248601,22.5675,0.05,450.0
2014-11-12,22.19,22.78,22.13,22.35,94000,22.3625,0.05,447.0
2014-11-13,22.35,23.33,22.22,22.6,92129,22.625,0.05,452.0
2014-11-14,22.73,23.78,22.31,23.69,174500,23.1275,0.05,473.8
2014-11-17,23.84,25.46,23.55,24.85,421024,24.425,0.05,497.0
2014-11-18,25.1,25.1,24.71,24.84,246300,24.9375,0.05,496.79999999999995
2014-11-19,24.96,26.33,24.61,25.69,154300,25.3975,0.05,513.8
2014-11-20,25.65,26.29,25.54,26.1,121800,25.895,0.05,522.0
2014-11-21,26.56,27.72,26.07,26.93,202200,26.82,0.05,538.5999999999999
2014-11-24,27.17,28.41,27.17,27.47,250700,27.555,0.05,549.4
2014-11-25,27.58,27.79,26.5,27.68,320600,27.3875,0.05,553.5999999999999
2014-11-26,27.94,28.73,27.54,28.29,188922,28.125,0.05,565.8
2014-11-28,28.45,29.42,28.31,28.75,114500,28.7325,0.05,575.0
2014-12-01,28.83,29.13,28.0,28.38,115700,28.585,0.05,567.5999999999999
2014-12-02,28.86,29.26,26.93,27.6,296405,28.1625,0.05,552.0
2014-12-03,26.81,27.0,25.76,26.92,226700,26.6225,0.05,538.4
2014-12-04,26.81,27.96,26.11,27.27,131100,27.0375,0.05,545.4
2014-12-05,27.11,27.59,27.11,27.33,63044,27.285,0.05,546.5999999999999
2014-12-08,27.35,27.51,26.29,26.42,86500,26.8925,0.05,528.4
2014-12-09,26.0,27.44,25.25,27.39,114047,26.52,0.05,547.8
2014-12-10,27.24,27.45,26.17,26.59,72735,26.8625,0.05,531.8
2014-12-11,26.5,27.21,25.39,25.64,109021,26.185,0.05,512.8
2014-12-12,25.19,25.37,23.8,24.46,149400,24.705,0.05,489.2
2014-12-15,24.44,24.75,23.48,24.24,111909,24.2275,0.05,484.79999999999995
2014-12-16,23.99,26.88,23.88,26.59,174034,25.335,0.05,531.8
2014-12-17,26.63,27.4,26.11,27.31,107600,26.8625,0.05,546.1999999999999
2014-12-18,27.5,28.14,26.87,27.58,128029,27.5225,0.05,551.5999999999999
2014-12-19,27.58,27.58,27.07,27.21,80192,27.36,0.05,544.1999999999999
2014-12-22,27.35,28.84,27.18,28.43,101525,27.95,0.05,568.5999999999999
2014-12-23,28.5,28.5,26.75,27.37,69100,27.78,0.05,547.4
2014-12-24,27.21,27.21,26.01,26.49,57302,26.73,0.05,529.8
2014-12-26,26.58,27.11,26.33,26.68,105022,26.675,0.05,533.5999999999999
2014-12-29,26.6,26.81,25.59,26.24,63208,26.31,0.05,524.8
2014-12-30,26.1,26.59,25.84,26.07,37843,26.15,0.05,521.4
2014-12-31,26.18,26.98,26.0,26.33,62045,26.3725,0.05,526.5999999999999
2015-01-02,26.29,26.47,25.62,26.06,87588,26.11,0.05,521.1999999999999
2015-01-05,25.95,25.95,25.08,25.18,58706,25.54,0.05,503.59999999999997
2015-01-06,25.28,25.55,24.3,24.56,89900,24.9225,0.05,491.19999999999993
2015-01-07,24.62,25.48,24.5,25.34,77333,24.985,0.05,506.79999999999995
2015-01-08,25.81,27.0,25.67,26.42,173200,26.225,0.05,528.4
2015-01-09,26.72,26.95,25.18,25.43,111800,26.07,0.05,508.59999999999997
2015-01-12,24.85,25.27,24.07,24.68,239100,24.7175,0.05,493.59999999999997
2015-01-13,24.52,24.69,23.16,23.61,431578,23.995,0.05,472.2
2015-01-14,23.15,24.37,22.76,23.18,544600,23.365,0.05,463.59999999999997
2015-01-15,23.92,24.5,23.25,23.61,2855747,23.82,0.05,472.2
2015-01-16,23.5,23.9,23.06,23.49,254603,23.4875,0.05,469.79999999999995
2015-01-20,23.5,23.6,22.58,23.24,215800,23.23,0.05,464.79999999999995
2015-01-21,23.89,25.84,23.4,25.26,429769,24.5975,0.05,505.2
2015-01-22,25.35,26.38,24.57,26.28,415700,25.645,0.05,525.6
2015-01-23,26.12,28.23,26.12,27.04,697709,26.8775,0.05,540.8
2015-01-26,27.22,28.13,26.6,27.41,506706,27.34,0.05,548.1999999999999
2015-01-27,27.36,28.72,26.78,28.12,588545,27.745,0.05,562.4
2015-01-28,28.47,30.2,27.81,28.76,1546200,28.81,0.05,575.2
2015-01-29,28.94,29.37,26.24,27.4,797902,27.9875,0.05,547.9999999999999
2015-01-30,27.27,27.78,25.13,26.17,851900,26.5875,0.05,523.4
2015-02-02,26.07,27.1,25.28,26.09,567600,26.135,0.05,521.8
2015-02-03,26.1,27.81,26.0,27.58,463376,26.8725,0.05,551.5999999999999
2015-02-04,27.21,27.94,26.83,27.08,197600,27.265,0.05,541.5999999999999
2015-02-05,27.09,28.41,27.09,28.0,465828,27.6475,0.05,560.0
2015-02-06,28.01,28.6,27.42,28.05,280100,28.02,0.05,561.0
2015-02-09,27.79,30.32,27.66,29.76,1272040,28.8825,0.05,595.2
2015-02-10,30.3,32.39,28.41,31.7,1183000,30.7,0.05,634.0
2015-02-11,34.13,34.7,28.81,31.45,1902653,32.2725,0.05,629.0
2015-02-12,31.8,33.7,31.05,33.08,777036,32.4075,0.05,661.5999999999999
2015-02-13,32.78,34.07,31.73,32.37,468500,32.7375,0.05,647.3999999999999
2015-02-17,32.37,33.98,31.43,33.56,683372,32.835,0.05,671.2
2015-02-18,33.6,33.69,32.2,32.63,376200,33.03,0.05,652.6
2015-02-19,32.6,35.12,32.6,33.39,713607,33.4275,0.05,667.8
2015-02-20,33.2,34.03,32.8,33.77,337569,33.45,0.05,675.4
2015-02-23,33.78,34.06,32.2,32.91,418329,33.2375,0.05,658.1999999999999
2015-02-24,33.01,33.62,32.39,33.19,345800,33.0525,0.05,663.8
2015-02-25,33.05,33.29,32.32,32.94,239000,32.9,0.05,658.8
2015-02-26,32.98,33.09,32.14,32.84,440568,32.7625,0.0501,655.4890219560879
2015-02-27,32.72,33.95,31.56,31.88,729226,32.5275,0.0501,636.3273453093813
2015-03-02,31.86,32.54,31.24,31.87,420200,31.8775,0.0501,636.1277445109781
2015-03-03,31.81,32.88,31.63,31.92,489700,32.06,0.0501,637.125748502994
2015-03-04,32.0,32.26,31.58,31.64,287900,31.87,0.0501,631.5369261477047
2015-03-05,31.59,32.79,31.41,32.35,265335,32.035,0.0501,645.7085828343314
2015-03-06,32.1,33.75,31.97,32.16,601300,32.495,0.0501,641.9161676646706
2015-03-09,31.88,31.88,29.14,30.65,952800,30.8875,0.0501,611.7764471057884
2015-03-10,30.21,31.17,29.77,30.88,629900,30.5075,0.0501,616.3672654690619
2015-03-11,30.72,31.89,30.56,31.49,539600,31.165,0.0501,628.5429141716567
2015-03-12,31.64,31.98,31.5,31.87,213025,31.7475,0.0501,636.1277445109781
2015-03-13,31.83,31.98,31.26,31.4,364700,31.6175,0.0501,626.746506986028
2015-03-16,31.74,32.1,31.45,31.95,428800,31.81,0.0501,637.7245508982036
2015-03-17,32.14,33.47,31.87,32.67,744003,32.5375,0.0501,652.0958083832336
2015-03-18,32.71,34.65,32.63,34.22,551000,33.5525,0.0501,683.0339321357285
2015-03-19,34.56,35.86,34.41,35.11,537100,34.985,0.0501,700.7984031936128
2015-03-20,35.34,35.73,33.7,33.77,958212,34.635,0.0501,674.051896207585
2015-03-23,33.77,34.1,32.55,33.19,408713,33.4025,0.0501,662.4750499001996
2015-03-24,32.75,33.06,31.56,31.62,513273,32.2475,0.0501,631.1377245508983
2015-03-25,31.62,31.9,30.3,30.47,352700,31.0725,0.0501,608.1836327345309
2015-03-26,30.23,32.21,29.52,31.83,379400,30.9475,0.0501,635.3293413173652
2015-03-27,31.77,32.06,31.36,31.84,207000,31.7575,0.0501,635.5289421157685
2015-03-30,32.01,32.48,32.01,32.09,174321,32.1475,0.0501,640.5189620758484
2015-03-31,31.81,32.39,31.76,32.06,255990,32.005,0.0501,639.9201596806388
2015-04-01,32.12,32.12,31.08,31.66,185013,31.745,0.0501,631.9361277445109
2015-04-02,31.75,32.12,31.3,31.5,156500,31.6675,0.0501,628.7425149700599
2015-04-06,31.4,32.33,31.33,31.97,162600,31.7575,0.0501,638.12375249501
2015-04-07,32.06,32.75,31.96,32.36,220205,32.2825,0.0501,645.9081836327346
2015-04-08,32.49,32.88,32.06,32.28,129000,32.4275,0.0501,644.311377245509
2015-04-09,32.1,32.28,31.18,31.97,249503,31.8825,0.0501,638.12375249501
2015-04-10,32.0,32.26,31.55,31.77,178700,31.895,0.0501,634.1317365269462
2015-04-13,31.79,31.96,31.4,31.47,141900,31.655,0.0501,628.1437125748503
2015-04-14,31.53,31.69,30.09,30.49,267800,30.95,0.0501,608.5828343313373
2015-04-15,30.74,31.22,30.52,31.1,158307,30.895,0.0501,620.7584830339322
2015-04-16,30.9,31.17,30.52,30.82,158412,30.8525,0.0501,615.1696606786427
2015-04-17,30.43,30.62,29.36,30.11,305900,30.13,0.0501,600.9980039920159
2015-04-20,30.54,32.6,30.2,32.2,378003,31.385,0.0501,642.7145708582835
