Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2020-09-30,10.0,11.42,9.11,9.5,338549492,10.32,-0.0696,-136.49425287356323
2020-10-01,9.69,10.1,9.23,9.46,129660350,9.59,-0.0696,-135.9195402298851
2020-10-02,9.06,9.28,8.94,9.2,56343795,9.13,-0.0696,-132.183908045977
2020-10-05,9.43,9.49,8.92,9.03,36951976,9.11,-0.0696,-129.74137931034483
2020-10-06,9.04,10.18,8.9,9.9,91313619,9.68,-0.0696,-142.24137931034485
2020-10-07,10.04,10.49,9.99,10.0,55469945,10.25,-0.0696,-143.67816091954023
2020-10-08,10.29,10.4,9.99,10.0,35995168,10.2,-0.0696,-143.67816091954023
2020-10-09,10.13,10.19,9.89,9.95,20204367,10.02,-0.0696,-142.95977011494253
2020-10-12,10.04,10.05,9.66,9.89,20975708,9.94,-0.0696,-142.09770114942532
2020-10-13,9.88,9.88,9.41,9.47,22160337,9.56,-0.0696,-136.06321839080462
2020-10-14,9.6,9.66,9.29,9.34,14101180,9.44,-0.0696,-134.19540229885058
2020-10-15,9.27,9.91,9.18,9.91,13148853,9.53,-0.0696,-142.3850574712644
2020-10-16,9.94,9.95,9.66,9.71,11535929,9.77,-0.0696,-139.51149425287358
2020-10-19,9.79,9.82,9.53,9.57,9333008,9.64,-0.0696,-137.5
2020-10-20,9.6,9.66,9.27,9.27,11291094,9.42,-0.0696,-133.1896551724138
2020-10-21,9.3,9.48,9.2,9.2,9424019,9.29,-0.0696,-132.183908045977
2020-10-22,9.37,9.75,9.22,9.68,18124924,9.55,-0.0696,-139.08045977011494
2020-10-23,9.71,9.83,9.47,9.49,12980138,9.61,-0.0696,-136.3505747126437
2020-10-26,9.72,9.97,9.6,9.95,24188457,9.8,-0.0696,-142.95977011494253
2020-10-27,10.0,11.04,9.92,10.95,54271624,10.57,-0.0696,-157.32758620689654
2020-10-28,10.66,10.985,10.1,10.85,31926944,10.6,-0.0696,-155.89080459770116
2020-10-29,10.9,11.1,10.56,10.75,20812272,10.89,-0.0696,-154.45402298850576
2020-10-30,10.61,10.68,9.85,10.13,19928843,10.2,-0.0696,-145.54597701149427
2020-11-02,10.23,10.57,10.23,10.54,12026142,10.42,-0.0696,-151.4367816091954
2020-11-03,10.57,10.94,10.44,10.5,21994100,10.69,-0.0696,-150.86206896551724
2020-11-04,10.82,10.92,10.55,10.72,16019267,10.75,-0.0696,-154.02298850574715
2020-11-05,10.9,12.13,10.85,11.88,49022580,11.69,-0.0696,-170.6896551724138
2020-11-06,12.22,14.96,12.05,13.83,91141147,13.82,-0.0696,-198.70689655172416
2020-11-09,14.96,15.9,14.11,14.67,62551205,15.05,-0.0696,-210.77586206896552
2020-11-10,14.99,15.01,13.18,14.0,38871537,14.0,-0.0696,-201.14942528735634
2020-11-11,14.57,15.97,14.4,15.96,47328286,15.25,-0.0696,-229.31034482758625
2020-11-12,16.66,17.06,14.41,14.58,100700648,15.19,-0.0696,-209.48275862068968
2020-11-13,14.49,16.0,14.49,15.8,78142028,15.34,-0.94,-16.808510638297875
2020-11-16,15.96,16.1,15.01,15.93,68381528,15.79,-0.94,-16.9468085106383
2020-11-17,16.29,18.75,16.18,17.85,117539897,17.69,-0.94,-18.989361702127663
2020-11-18,18.28,19.25,17.54,17.9,91505191,18.38,-0.94,-19.04255319148936
2020-11-19,18.5,18.98,17.96,18.98,57201235,18.5,-0.94,-20.19148936170213
2020-11-20,19.03,19.66,18.0,18.15,73103035,18.71,-0.94,-19.30851063829787
2020-11-23,18.63,21.45,18.57,21.04,85694342,20.02,-0.94,-22.382978723404257
2020-11-24,22.35,24.27,20.63,23.82,117722583,22.81,-0.94,-25.340425531914896
2020-11-25,23.96,29.75,23.69,29.05,203256795,27.19,-0.94,-30.904255319148938
2020-11-27,31.19,33.5,26.12,27.66,207834002,29.92,-0.94,-29.425531914893618
2020-11-30,28.24,30.15,24.11,27.11,138974466,27.21,-0.94,-28.840425531914896
2020-12-01,28.09,28.14,24.45,25.67,85311632,25.75,-0.94,-27.308510638297875
2020-12-02,22.24,23.4,21.15,22.51,151542845,22.35,-0.94,-23.946808510638302
2020-12-03,23.55,25.62,23.5,24.03,86296964,24.37,-0.94,-25.563829787234045
2020-12-04,24.88,25.24,23.51,23.85,56616317,24.17,-0.94,-25.372340425531917
2020-12-07,24.44,29.0,24.44,28.94,118946429,27.05,-0.94,-30.787234042553195
2020-12-08,30.63,31.24,27.25,28.59,126423270,28.92,-0.94,-30.414893617021278
2020-12-09,28.68,28.85,25.33,26.63,80397711,27.01,-0.94,-28.329787234042552
2020-12-10,25.5412,28.04,25.15,27.04,58446446,27.04,-0.94,-28.76595744680851
2020-12-11,27.15,28.27,26.06,27.2,53124729,27.01,-0.94,-28.93617021276596
2020-12-14,28.26,28.26,26.7301,27.24,45303921,27.45,-0.94,-28.97872340425532
2020-12-15,26.82,27.1,25.52,26.43,49920382,26.15,-0.94,-28.117021276595747
2020-12-16,25.71,26.16,25.11,25.92,44707930,25.68,-0.94,-27.574468085106385
2020-12-17,26.52,27.45,26.05,27.23,54229934,26.92,-0.94,-28.96808510638298
2020-12-18,26.27,26.85,25.8,25.97,71886171,26.18,-0.94,-27.627659574468087
2020-12-21,26.19,28.7,25.4,28.51,77301105,27.19,-0.94,-30.329787234042556
2020-12-22,29.03,29.42,26.82,28.04,67036716,28.07,-0.94,-29.829787234042556
2020-12-23,28.95,29.39,28.05,28.69,59334011,28.77,-0.94,-30.521276595744684
2020-12-24,28.7976,29.16,27.52,27.75,26960847,28.2,-0.94,-29.521276595744684
2020-12-28,28.39,28.59,25.4,25.63,56479896,26.44,-0.94,-27.26595744680851
2020-12-29,25.75,26.1823,24.34,24.66,47786784,25.0,-0.94,-26.23404255319149
2020-12-30,24.97,25.91,24.63,25.1,34881879,25.27,-0.94,-26.702127659574472
2020-12-31,24.63,24.72,23.52,23.55,40200332,23.94,-0.94,-25.053191489361705
2021-01-04,23.91,24.5,22.5,23.37,45768204,23.57,-0.94,-24.861702127659576
2021-01-05,23.18,24.67,22.89,24.6,29468743,23.94,-0.94,-26.17021276595745
2021-01-06,24.12,24.46,23.25,23.54,33243997,23.88,-0.94,-25.04255319148936
2021-01-07,24.02,25.19,23.67,25.0,32580188,24.55,-0.94,-26.595744680851066
2021-01-08,25.7,26.44,24.7,25.2,41859607,25.6,-0.94,-26.80851063829787
2021-01-11,24.61,26.6,24.31,25.93,33009195,25.78,-0.94,-27.585106382978726
2021-01-12,26.34,26.42,25.51,26.18,27484811,26.01,-0.94,-27.851063829787236
2021-01-13,25.71,27.4298,25.13,25.5,51904464,26.15,-0.94,-27.127659574468087
2021-01-14,25.45,25.62,24.37,24.92,33345869,25.05,-0.94,-26.510638297872344
2021-01-15,26.26,28.0,25.46,25.64,93005895,26.75,-0.94,-27.276595744680854
2021-01-19,26.81,27.54,26.0,26.62,49366817,26.75,-0.94,-28.319148936170215
2021-01-20,27.29,27.3,25.7,26.34,37937904,26.47,-0.94,-28.02127659574468
2021-01-21,26.42,26.68,25.3,25.98,29926137,25.94,-0.94,-27.638297872340427
2021-01-22,25.85,32.65,25.82,32.58,157240221,29.79,-0.94,-34.659574468085104
2021-01-25,34.46,39.58,29.56,36.23,194616820,35.24,-0.94,-38.54255319148936
2021-01-26,35.14,36.87,34.32,35.37,66543374,35.43,-0.94,-37.62765957446808
2021-01-27,32.97,45.0,32.25,39.0,172018669,39.23,-0.94,-41.48936170212766
2021-01-28,39.54,42.0,33.1,35.66,86348878,36.8,-0.94,-37.93617021276596
2021-01-29,36.61,38.01,34.66,35.18,42456409,36.31,-0.94,-37.42553191489362
2021-02-01,35.33,35.6199,32.58,33.96,43961662,34.06,-0.94,-36.12765957446809
2021-02-02,34.1,34.2,30.5,31.02,70075965,31.67,-0.94,-33.0
2021-02-03,32.39,32.95,31.38,31.76,35857014,32.13,-0.94,-33.787234042553195
2021-02-04,32.58,33.18,31.05,32.05,32041915,31.94,-0.94,-34.09574468085106
2021-02-05,32.61,35.2,31.75,34.05,62773217,33.91,-0.94,-36.223404255319146
2021-02-08,37.22,39.22,35.89,36.05,73535859,37.35,-0.94,-38.351063829787236
2021-02-09,36.9,38.255,36.13,38.17,45120225,37.35,-0.94,-40.60638297872341
2021-02-10,38.15,38.24,35.0,35.7,45737076,36.52,-0.94,-37.97872340425533
2021-02-11,35.79,35.98,32.61,33.11,52511539,33.99,-0.94,-35.22340425531915
2021-02-12,33.36,33.65,31.34,31.91,61673833,32.15,-0.94,-33.9468085106383
2021-02-16,30.02,30.44,27.3,27.84,182585259,28.8,-0.94,-29.617021276595747
2021-02-17,27.99,29.73,27.0,27.08,152490421,28.4,-0.94,-28.80851063829787
2021-02-18,24.99,26.31,24.5,25.17,320000415,25.3,-0.94,-26.776595744680854
2021-02-19,27.02,29.96,26.9,29.0,323218956,28.37,-0.94,-30.851063829787236
2021-02-22,29.96,30.19,27.536,28.0,188271605,28.83,-0.94,-29.787234042553195
2021-02-23,25.96,27.46,23.9,26.75,147213964,26.03,-0.94,-28.45744680851064
2021-02-24,26.71,27.23,25.75,26.39,91436517,26.47,-0.94,-28.074468085106385
2021-02-25,25.82,26.44,23.15,23.96,162777267,24.63,-0.94,-25.489361702127663
2021-02-26,24.2,24.5,22.7,23.9,120914351,23.69,-0.0841,-284.18549346016647
2021-03-01,25.19,25.9,24.62,24.81,86540299,25.02,-0.0841,-295.00594530321047
2021-03-02,25.0,25.59,24.26,24.48,74697345,24.96,-0.0841,-291.08204518430443
2021-03-03,24.99,25.1678,23.43,23.59,79668687,24.23,-0.0841,-280.49940546967895
2021-03-04,24.85,25.56,23.05,24.73,162950186,24.41,-0.0841,-294.0546967895363
2021-03-05,24.36,24.68,20.18,23.95,174381736,22.74,-0.0841,-284.78002378121283
2021-03-08,23.77,24.58,22.4,22.52,95233102,23.44,-0.0841,-267.7764565992866
