Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1991-12-13,0.52284,0.58435,0.51515,0.55359,145978688,0.54398,-0.005,-110.718
1991-12-16,0.55359,0.56897,0.53053,0.54591,22948960,0.54975,-0.005,-109.182
1991-12-17,0.56128,0.56897,0.53822,0.54591,16436240,0.5536,-0.005,-109.182
1991-12-18,0.56128,0.56128,0.54591,0.56128,11074544,0.55744,-0.005,-112.256
1991-12-19,0.56128,0.56128,0.53822,0.53822,7416624,0.54975,-0.005,-107.644
1991-12-20,0.56128,0.56128,0.53822,0.55359,5319424,0.55359,-0.005,-110.718
1991-12-23,0.56128,0.56128,0.53822,0.54975,8021408,0.55263,-0.005,-109.94999999999999
1991-12-24,0.54206,0.59204,0.53822,0.59204,7244304,0.56609,-0.005,-118.408
1991-12-26,0.57666,0.67661,0.57666,0.67661,8811520,0.62664,-0.005,-135.322
1991-12-27,0.6843,0.6843,0.63817,0.65355,6499712,0.66508,-0.005,-130.70999999999998
1991-12-30,0.65355,0.66893,0.63817,0.66893,6733808,0.6574,-0.005,-133.786
1991-12-31,0.66893,0.76888,0.66124,0.76119,12775072,0.71506,-0.0026,-292.7653846153846
1992-01-02,0.76119,0.85346,0.7535,0.84961,22477504,0.80444,-0.0026,-326.7730769230769
1992-01-03,0.85346,0.87652,0.83039,0.86115,6190816,0.85538,-0.0026,-331.21153846153845
1992-01-06,0.88421,0.88421,0.74581,0.80732,16244400,0.83039,-0.0026,-310.5076923076923
1992-01-07,0.79964,0.8227,0.77657,0.78426,5020288,0.79579,-0.0026,-301.6384615384615
1992-01-08,0.79195,0.79195,0.66893,0.69199,37421328,0.73621,-0.0026,-266.15000000000003
1992-01-09,0.71506,0.76119,0.70737,0.76119,21144400,0.7362,-0.0026,-292.7653846153846
1992-01-10,0.76888,0.77657,0.71506,0.73813,8089680,0.74966,-0.0026,-283.8961538461538
1992-01-13,0.7535,0.8227,0.73044,0.79964,8635936,0.77657,-0.0026,-307.55384615384617
1992-01-14,0.8227,0.8227,0.79195,0.80732,3687168,0.81117,-0.0026,-310.5076923076923
1992-01-15,0.8227,0.83808,0.79964,0.81501,6005488,0.81886,-0.0026,-313.4653846153846
