Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1992-02-26,7.125,8.25,6.875,7.875,11616800,7.67,0.025,315.0
1992-02-27,8.0625,8.0625,7.6875,7.78125,1918400,7.84,0.025,311.25
1992-02-28,7.8125,7.9375,7.5625,7.6875,1387200,7.73,0.025,307.5
1992-03-02,7.625,8.0625,7.5625,7.9375,1206000,7.85,0.025,317.5
1992-03-03,7.9375,8.0625,7.875,8.0,222800,7.98,0.025,320.0
1992-03-04,8.0,8.0,7.6875,7.75,596000,7.81,0.025,310.0
1992-03-05,7.6875,7.75,7.5625,7.6875,1759200,7.67,0.025,307.5
1992-03-06,7.625,7.9375,7.625,7.75,297200,7.77,0.025,310.0
1992-03-09,7.8125,8.1875,7.8125,8.0,659600,8.0,0.025,320.0
1992-03-10,8.0,8.25,7.9375,8.1875,698400,8.13,0.025,327.5
1992-03-11,8.3125,8.3125,8.0625,8.0625,274400,8.15,0.025,322.5
1992-03-12,8.0625,8.3125,8.0625,8.1875,519600,8.19,0.025,327.5
1992-03-13,8.125,8.5,8.125,8.4375,233200,8.35,0.025,337.5
1992-03-16,8.375,8.4375,8.125,8.125,372800,8.23,0.025,325.0
1992-03-17,8.1875,8.28125,8.1875,8.1875,172000,8.22,0.025,327.5
1992-03-18,8.1875,8.4375,8.1875,8.3125,147600,8.31,0.025,332.5
1992-03-19,8.5,8.6875,8.375,8.5625,613600,8.54,0.025,342.5
1992-03-20,8.6875,8.8125,8.625,8.75,181200,8.73,0.025,350.0
1992-03-23,8.8125,8.8125,8.5625,8.75,51600,8.71,0.025,350.0
1992-03-24,8.625,8.6875,8.5625,8.625,88000,8.63,0.025,345.0
1992-03-25,8.5625,8.6875,8.5625,8.65625,230000,8.64,0.025,346.25
1992-03-26,8.6875,8.6875,8.3125,8.3125,556400,8.44,0.025,332.5
1992-03-27,8.25,8.4375,7.875,7.875,251600,8.06,0.025,315.0
1992-03-30,7.875,8.0625,7.875,8.0,188400,7.98,0.025,320.0
1992-03-31,7.9375,8.0625,7.9375,8.0,210000,8.0,0.03,266.6666666666667
1992-04-01,7.9375,7.9375,7.5,7.59375,272400,7.68,0.03,253.125
1992-04-02,7.5,7.625,7.3125,7.5,416000,7.48,0.03,250.0
1992-04-03,7.3125,7.5,7.25,7.5,574400,7.42,0.03,250.0
1992-04-06,7.4375,7.6875,7.4375,7.5625,588800,7.56,0.03,252.08333333333334
1992-04-07,7.6875,7.75,7.4375,7.5625,909600,7.58,0.03,252.08333333333334
1992-04-08,7.4375,7.5,7.1875,7.375,544400,7.35,0.03,245.83333333333334
1992-04-09,7.375,7.53125,7.25,7.46875,355200,7.42,0.03,248.95833333333334
1992-04-10,7.5625,7.6875,7.5,7.5,93200,7.56,0.03,250.0
1992-04-13,7.5625,7.6875,7.5625,7.6875,37200,7.65,0.03,256.25
1992-04-14,7.6875,7.9375,7.5625,7.9375,193600,7.81,0.03,264.58333333333337
1992-04-15,7.9375,7.9375,7.8125,7.8125,85200,7.85,0.03,260.4166666666667
1992-04-16,7.8125,7.8125,7.625,7.625,91200,7.69,0.03,254.16666666666669
1992-04-20,7.65625,7.65625,7.3125,7.34375,256400,7.44,0.03,244.79166666666669
1992-04-21,7.125,7.1875,6.6875,6.8125,542800,6.9,0.03,227.08333333333334
1992-04-22,6.75,6.75,6.375,6.625,663600,6.58,0.03,220.83333333333334
1992-04-23,6.625,6.75,6.59375,6.6875,229200,6.68,0.03,222.91666666666669
1992-04-24,6.625,6.75,6.625,6.625,92400,6.67,0.03,220.83333333333334
1992-04-27,6.75,6.75,6.25,6.3125,514000,6.44,0.03,210.41666666666669
1992-04-28,6.4375,6.6875,6.4375,6.625,350800,6.58,0.03,220.83333333333334
1992-04-29,6.65625,6.6875,6.3125,6.5,390000,6.5,0.03,216.66666666666669
1992-04-30,6.4375,7.25,6.375,7.25,336800,6.96,0.03,241.66666666666669
1992-05-01,7.375,7.6875,7.3125,7.6875,400800,7.56,0.03,256.25
1992-05-04,7.625,8.125,7.625,8.125,440000,7.96,0.03,270.83333333333337
1992-05-05,8.1875,8.5625,8.0,8.375,246800,8.31,0.03,279.1666666666667
1992-05-06,8.5,8.5,8.21875,8.25,405600,8.32,0.03,275.0
1992-05-07,8.1875,8.5625,8.1875,8.375,623600,8.38,0.03,279.1666666666667
1992-05-08,8.5,8.5,8.3125,8.34375,335200,8.39,0.03,278.125
1992-05-11,8.3125,8.3125,7.875,7.875,270000,8.02,0.03,262.5
1992-05-12,7.875,7.875,7.4375,7.53125,233600,7.61,0.03,251.04166666666669
1992-05-13,7.5,7.5625,7.0625,7.25,244400,7.29,0.03,241.66666666666669
1992-05-14,7.125,7.25,6.75,7.125,451600,7.04,0.03,237.5
1992-05-15,7.0,7.5625,6.90625,7.375,305600,7.28,0.03,245.83333333333334
1992-05-18,7.3125,7.5,7.1875,7.1875,288800,7.29,0.03,239.58333333333334
1992-05-19,7.125,7.1875,7.0,7.1875,85200,7.13,0.03,239.58333333333334
1992-05-20,7.0625,7.0625,6.8125,6.84375,154400,6.91,0.03,228.125
1992-05-21,6.75,6.875,6.75,6.75,109600,6.79,0.03,225.0
1992-05-22,6.78125,7.0,6.75,6.875,155600,6.88,0.03,229.16666666666669
1992-05-26,6.875,6.9375,6.6875,6.6875,179200,6.77,0.03,222.91666666666669
1992-05-27,6.875,7.0,6.625,6.75,1305600,6.79,0.03,225.0
1992-05-28,7.0,7.0,6.8125,6.875,173200,6.9,0.03,229.16666666666669
1992-05-29,6.9375,6.9375,6.59375,6.84375,800000,6.79,0.03,228.125
1992-06-01,6.8125,7.1875,6.8125,7.1875,137600,7.06,0.03,239.58333333333334
1992-06-02,7.1875,7.9375,7.1875,7.8125,733600,7.65,0.03,260.4166666666667
1992-06-03,7.8125,8.375,7.8125,8.34375,1156800,8.18,0.03,278.125
1992-06-04,8.3125,8.375,7.625,7.84375,828400,7.95,0.03,261.45833333333337
1992-06-05,7.8125,8.0625,7.5625,7.59375,118800,7.74,0.03,253.125
1992-06-08,7.6875,7.8125,7.4375,7.4375,308000,7.56,0.03,247.91666666666669
1992-06-09,7.4375,7.4375,6.875,6.9375,312800,7.08,0.03,231.25
1992-06-10,7.0625,7.3125,6.9375,7.0,336800,7.08,0.03,233.33333333333334
1992-06-11,7.0,7.3125,6.875,7.25,524800,7.15,0.03,241.66666666666669
1992-06-12,7.34375,7.375,7.125,7.1875,172000,7.23,0.03,239.58333333333334
1992-06-15,7.3125,7.3125,7.125,7.3125,150800,7.25,0.03,243.75
1992-06-16,7.125,7.25,7.0625,7.0625,214000,7.13,0.03,235.41666666666669
1992-06-17,7.0625,7.0625,6.3125,6.5,648400,6.63,0.03,216.66666666666669
1992-06-18,6.5,6.5,6.1875,6.375,948000,6.35,0.03,212.5
1992-06-19,6.375,6.625,6.375,6.5625,340800,6.52,0.03,218.75
1992-06-22,6.5625,6.5625,6.25,6.5,344400,6.44,0.03,216.66666666666669
1992-06-23,6.5,6.8125,6.5,6.75,259200,6.69,0.03,225.0
1992-06-24,6.625,6.75,6.625,6.6875,74000,6.69,0.03,222.91666666666669
1992-06-25,6.6875,6.6875,6.3125,6.375,326400,6.46,0.03,212.5
1992-06-26,6.25,6.5,6.1875,6.5,199200,6.4,0.03,216.66666666666669
1992-06-29,6.5,6.8125,6.4375,6.75,343600,6.67,0.03,225.0
1992-06-30,6.8125,7.1875,6.8125,7.0,420800,7.0,0.035,199.99999999999997
1992-07-01,6.9375,7.0,6.75,6.875,194800,6.88,0.035,196.42857142857142
1992-07-02,6.8125,6.8125,6.3125,6.625,439600,6.58,0.035,189.28571428571428
1992-07-06,6.6875,6.8125,6.5625,6.625,227600,6.67,0.035,189.28571428571428
1992-07-07,6.6875,6.6875,6.375,6.4375,263200,6.5,0.035,183.92857142857142
1992-07-08,6.4375,6.625,6.375,6.5625,368800,6.52,0.035,187.49999999999997
1992-07-09,6.5625,6.8125,6.5625,6.625,820400,6.67,0.035,189.28571428571428
1992-07-10,6.5625,6.6875,6.5,6.5625,81200,6.58,0.035,187.49999999999997
1992-07-13,6.5,6.5625,6.0,6.1875,776000,6.25,0.035,176.78571428571428
1992-07-14,6.0625,6.4375,6.0625,6.375,195600,6.29,0.035,182.14285714285714
1992-07-15,6.28125,6.375,6.25,6.3125,252400,6.31,0.035,180.35714285714283
1992-07-16,6.375,6.4375,6.25,6.3125,451600,6.33,0.035,180.35714285714283
1992-07-17,6.375,6.5,6.3125,6.375,219600,6.4,0.035,182.14285714285714
1992-07-20,6.125,6.25,6.125,6.25,162400,6.21,0.035,178.57142857142856
1992-07-21,6.25,6.25,6.125,6.21875,250400,6.2,0.035,177.67857142857142
1992-07-22,6.21875,6.25,6.125,6.25,216800,6.21,0.035,178.57142857142856
1992-07-23,6.125,6.15625,5.9375,5.9375,492400,6.01,0.035,169.64285714285714
1992-07-24,5.9375,5.96875,5.75,5.8125,360000,5.84,0.035,166.07142857142856
1992-07-27,5.84375,5.84375,5.625,5.65625,1535600,5.71,0.035,161.60714285714283
1992-07-28,5.6875,5.9375,5.5625,5.875,2428000,5.79,0.035,167.85714285714283
1992-07-29,6.0,6.0625,5.875,6.03125,1139600,5.99,0.035,172.32142857142856
1992-07-30,6.0625,6.4375,6.0,6.4375,2898000,6.29,0.035,183.92857142857142
1992-07-31,6.4375,6.625,6.375,6.5,1864800,6.5,0.035,185.7142857142857
1992-08-03,6.5,6.5625,6.375,6.375,522000,6.44,0.035,182.14285714285714
1992-08-04,6.4375,6.4375,6.25,6.25,893600,6.31,0.035,178.57142857142856
1992-08-05,6.3125,6.375,6.3125,6.375,1535600,6.35,0.035,182.14285714285714
1992-08-06,6.375,6.40625,6.3125,6.40625,216400,6.38,0.035,183.03571428571428
1992-08-07,6.3125,6.5,6.3125,6.5,595600,6.44,0.035,185.7142857142857
1992-08-10,6.375,6.4375,6.375,6.4375,274400,6.42,0.035,183.92857142857142
1992-08-11,6.3125,6.4375,6.3125,6.3125,134000,6.35,0.035,180.35714285714283
1992-08-12,6.375,6.375,6.3125,6.375,362400,6.35,0.035,182.14285714285714
1992-08-13,6.3125,6.375,6.3125,6.3125,445600,6.33,0.035,180.35714285714283
1992-08-14,6.3125,6.375,6.3125,6.3125,858800,6.33,0.035,180.35714285714283
1992-08-17,6.375,6.4375,6.3125,6.3125,290400,6.35,0.035,180.35714285714283
1992-08-18,6.40625,6.4375,6.1875,6.21875,354400,6.28,0.035,177.67857142857142
1992-08-19,6.1875,6.3125,6.1875,6.21875,320000,6.24,0.035,177.67857142857142
1992-08-20,6.1875,6.21875,5.9375,5.9375,312000,6.03,0.035,169.64285714285714
1992-08-21,5.9375,6.125,5.875,5.875,329600,5.96,0.035,167.85714285714283
1992-08-24,5.875,5.9375,5.75,5.75,1096000,5.81,0.035,164.28571428571428
1992-08-25,5.75,5.875,5.75,5.875,1310800,5.83,0.035,167.85714285714283
1992-08-26,5.9375,6.25,5.875,6.25,1317200,6.13,0.035,178.57142857142856
1992-08-27,6.1875,6.375,6.125,6.34375,1305600,6.28,0.035,181.24999999999997
1992-08-28,6.3125,6.375,6.3125,6.375,998000,6.35,0.035,182.14285714285714
1992-08-31,6.3125,6.375,6.25,6.25,2262400,6.29,0.035,178.57142857142856
1992-09-01,6.25,6.28125,6.25,6.28125,2063600,6.27,0.035,179.4642857142857
1992-09-02,6.3125,6.3125,6.125,6.3125,1288800,6.25,0.035,180.35714285714283
1992-09-03,6.1875,6.3125,6.1875,6.25,955200,6.25,0.035,178.57142857142856
1992-09-04,6.25,6.3125,6.25,6.3125,778000,6.29,0.035,180.35714285714283
1992-09-08,6.1875,6.28125,6.1875,6.1875,60400,6.22,0.035,176.78571428571428
1992-09-09,6.1875,6.3125,6.1875,6.25,362000,6.25,0.035,178.57142857142856
1992-09-10,6.375,6.6875,6.1875,6.625,2952400,6.5,0.035,189.28571428571428
1992-09-11,6.5,7.25,6.5,7.03125,3481200,6.93,0.035,200.8928571428571
1992-09-14,7.125,7.3125,7.125,7.25,2900800,7.23,0.035,207.1428571428571
1992-09-15,7.1875,7.3125,7.1875,7.25,887600,7.25,0.035,207.1428571428571
1992-09-16,7.0625,7.125,7.0,7.0625,444000,7.06,0.035,201.78571428571428
1992-09-17,7.0625,7.125,6.9375,6.9375,480000,7.0,0.035,198.2142857142857
1992-09-18,6.9375,7.0625,6.9375,6.96875,320000,6.99,0.035,199.10714285714283
1992-09-21,6.9375,7.25,6.9375,7.15625,1528800,7.11,0.035,204.4642857142857
1992-09-22,7.0625,7.1875,7.03125,7.09375,372800,7.1,0.035,202.67857142857142
1992-09-23,7.0625,7.125,7.0,7.03125,178800,7.05,0.035,200.8928571428571
1992-09-24,7.0625,7.125,7.0,7.03125,166400,7.05,0.035,200.8928571428571
1992-09-25,7.125,7.125,6.5,6.6875,1005600,6.77,0.035,191.07142857142856
1992-09-28,6.5625,6.875,6.4375,6.875,411200,6.73,0.035,196.42857142857142
1992-09-29,6.84375,7.0,6.75,6.9375,144800,6.9,0.035,198.2142857142857
1992-09-30,6.9375,7.4375,6.9375,7.375,1877600,7.25,0.0368,200.4076086956522
1992-10-01,7.25,7.375,7.1875,7.3125,372400,7.29,0.0368,198.70923913043478
1992-10-02,7.1875,7.21875,6.9375,6.9375,1053600,7.03,0.0368,188.51902173913044
1992-10-05,6.875,6.9375,6.375,6.625,796800,6.65,0.0368,180.02717391304347
1992-10-06,6.6875,6.75,6.5625,6.6875,716400,6.67,0.0368,181.72554347826087
1992-10-07,6.625,6.75,6.5625,6.59375,278800,6.64,0.0368,179.17798913043478
1992-10-08,6.5625,6.9375,6.5625,6.84375,1690800,6.78,0.0368,185.97146739130434
1992-10-09,6.9375,7.1875,6.8125,7.0625,1269200,7.02,0.0368,191.91576086956522
1992-10-12,7.0625,7.3125,7.0625,7.25,859200,7.21,0.0368,197.0108695652174
1992-10-13,7.25,7.3125,7.1875,7.25,1376400,7.25,0.0368,197.0108695652174
1992-10-14,7.1875,7.21875,7.125,7.21875,343200,7.19,0.0368,196.1616847826087
1992-10-15,7.125,7.4375,7.125,7.40625,647200,7.32,0.0368,201.25679347826087
1992-10-16,7.375,7.8125,7.375,7.8125,3544400,7.67,0.0368,212.2961956521739
1992-10-19,7.6875,8.1875,7.6875,8.125,1288000,8.0,0.0368,220.78804347826087
1992-10-20,8.0625,8.25,7.8125,7.8125,1742400,7.96,0.0368,212.2961956521739
1992-10-21,7.8125,8.1875,7.8125,8.125,668400,8.04,0.0368,220.78804347826087
1992-10-22,8.0625,8.0625,7.6875,7.875,363600,7.88,0.0368,213.9945652173913
1992-10-23,7.875,7.875,7.5,7.625,1185200,7.67,0.0368,207.20108695652175
1992-10-26,7.5625,7.625,7.5,7.5,294400,7.54,0.0368,203.80434782608697
1992-10-27,7.375,7.4375,7.09375,7.25,1070400,7.26,0.0368,197.0108695652174
1992-10-28,7.375,7.5,7.25,7.3125,536000,7.35,0.0368,198.70923913043478
1992-10-29,7.375,7.75,7.375,7.53125,1123600,7.55,0.0368,204.65353260869566
1992-10-30,7.5625,7.625,7.5,7.5625,328000,7.56,0.0368,205.50271739130434
1992-11-02,7.5,7.625,7.5,7.5625,198800,7.56,0.0368,205.50271739130434
1992-11-03,7.5,7.78125,7.5,7.75,776000,7.68,0.0368,210.59782608695653
1992-11-04,7.75,7.8125,7.6875,7.8125,1099600,7.77,0.0368,212.2961956521739
1992-11-05,7.6875,8.09375,7.6875,8.0,1137200,7.93,0.0368,217.3913043478261
1992-11-06,8.0,8.25,8.0,8.125,940400,8.13,0.0368,220.78804347826087
1992-11-09,8.1875,8.3125,8.125,8.3125,740000,8.25,0.0368,225.88315217391306
1992-11-10,8.1875,8.3125,8.0625,8.0625,565200,8.15,0.0368,219.08967391304347
1992-11-11,8.0625,8.34375,8.0625,8.25,780400,8.22,0.0368,224.18478260869566
1992-11-12,8.3125,8.3125,8.125,8.125,1027600,8.19,0.0368,220.78804347826087
1992-11-13,8.1875,8.25,8.0,8.125,242000,8.13,0.0368,220.78804347826087
1992-11-16,8.125,8.21875,8.0625,8.21875,169600,8.17,0.0368,223.33559782608697
1992-11-17,8.1875,8.1875,8.0625,8.1875,316400,8.15,0.0368,222.48641304347825
1992-11-18,8.0,8.53125,8.0,8.4375,810800,8.32,0.0368,229.27989130434784
1992-11-19,8.5,8.875,8.5,8.75,946400,8.71,0.0368,237.77173913043478
1992-11-20,8.6875,8.75,8.5625,8.625,961600,8.65,0.0368,234.375
1992-11-23,8.625,8.6875,8.125,8.1875,288400,8.33,0.0368,222.48641304347825
1992-11-24,8.125,8.25,7.875,8.03125,881600,8.05,0.0368,218.24048913043478
1992-11-25,8.0,8.0625,7.875,7.9375,565200,7.96,0.0368,215.6929347826087
1992-11-27,7.875,8.0,7.875,7.875,35600,7.92,0.0368,213.9945652173913
1992-11-30,8.0,8.0,7.8125,7.8125,377600,7.88,0.0368,212.2961956521739
1992-12-01,7.75,7.8125,7.4375,7.625,587200,7.63,0.0368,207.20108695652175
1992-12-02,7.625,7.75,7.625,7.6875,881600,7.69,0.0368,208.89945652173913
1992-12-03,7.625,7.75,7.625,7.625,196400,7.67,0.0368,207.20108695652175
1992-12-04,7.625,8.0,7.625,7.90625,1166400,7.84,0.0368,214.84375
1992-12-07,7.875,8.1875,7.875,8.1875,906000,8.08,0.0368,222.48641304347825
1992-12-08,8.125,8.375,8.125,8.3125,854000,8.27,0.0368,225.88315217391306
1992-12-09,8.25,8.375,8.25,8.375,1419600,8.33,0.0368,227.58152173913044
1992-12-10,8.3125,8.375,8.25,8.25,894400,8.29,0.0368,224.18478260869566
1992-12-11,8.25,8.375,8.25,8.3125,676400,8.31,0.0368,225.88315217391306
1992-12-14,8.25,8.3125,8.25,8.3125,168800,8.29,0.0368,225.88315217391306
1992-12-15,8.3125,8.3125,8.125,8.3125,769200,8.25,0.0368,225.88315217391306
1992-12-16,8.25,8.3125,8.1875,8.3125,257200,8.27,0.0368,225.88315217391306
1992-12-17,8.3125,8.625,8.25,8.5625,519200,8.48,0.0368,232.67663043478262
1992-12-18,8.625,8.6875,8.5,8.625,336400,8.6,0.0368,234.375
1992-12-21,8.6875,8.71875,8.5625,8.625,79200,8.64,0.0368,234.375
1992-12-22,8.75,8.84375,8.625,8.65625,483200,8.71,0.0368,235.2241847826087
1992-12-23,8.75,8.8125,8.6875,8.75,434400,8.75,0.0368,237.77173913043478
1992-12-24,8.6875,8.78125,8.6875,8.75,34000,8.74,0.0368,237.77173913043478
1992-12-28,8.6875,8.8125,8.5625,8.625,146800,8.67,0.0368,234.375
1992-12-29,8.5,8.5,8.3125,8.4375,224800,8.42,0.0368,229.27989130434784
1992-12-30,8.5,8.625,8.4375,8.53125,664800,8.53,0.0368,231.8274456521739
1992-12-31,8.5625,8.6875,8.46875,8.65625,678000,8.6,0.04,216.40625
1993-01-04,8.625,8.625,8.3125,8.5625,199200,8.5,0.04,214.0625
1993-01-05,8.375,8.6875,8.375,8.625,397600,8.56,0.04,215.625
1993-01-06,8.75,9.25,8.75,9.1875,1153200,9.06,0.04,229.6875
1993-01-07,9.3125,9.625,9.1875,9.25,2245600,9.35,0.04,231.25
1993-01-08,9.1875,9.3125,9.1875,9.25,528800,9.25,0.04,231.25
1993-01-11,9.25,9.3125,9.125,9.125,404800,9.19,0.04,228.125
1993-01-12,9.1875,9.1875,8.875,8.875,162800,8.98,0.04,221.875
1993-01-13,8.875,8.9375,8.8125,8.875,150000,8.88,0.04,221.875
1993-01-14,8.875,9.125,8.8125,9.125,1038000,9.02,0.04,228.125
1993-01-15,9.0,9.5625,9.0,9.3125,1751600,9.29,0.04,232.8125
1993-01-18,9.3125,9.5,9.3125,9.375,251600,9.4,0.04,234.375
1993-01-19,9.4375,9.4375,9.0625,9.15625,1260000,9.22,0.04,228.90625
1993-01-20,9.09375,9.1875,8.5,8.5,1677200,8.73,0.04,212.5
1993-01-21,8.5,8.625,8.0,8.53125,2728000,8.39,0.04,213.28125
1993-01-22,8.625,8.75,8.375,8.375,525600,8.5,0.04,209.375
1993-01-25,8.3125,8.875,8.3125,8.875,448800,8.69,0.04,221.875
1993-01-26,8.875,9.0,8.75,9.0,534400,8.92,0.04,225.0
1993-01-27,8.9375,9.0,8.625,8.75,834000,8.79,0.04,218.75
1993-01-28,8.625,8.75,8.5,8.625,457200,8.63,0.04,215.625
1993-01-29,8.625,8.625,8.3125,8.4375,518800,8.46,0.04,210.9375
1993-02-01,8.34375,8.4375,8.0625,8.375,426000,8.29,0.04,209.375
1993-02-02,8.3125,8.75,8.3125,8.71875,454800,8.59,0.04,217.96875
1993-02-03,8.6875,8.8125,8.3125,8.4375,486800,8.52,0.04,210.9375
1993-02-04,8.4375,8.4375,7.9375,7.9375,658800,8.1,0.04,198.4375
1993-02-05,7.9375,8.0,7.5625,7.71875,2412800,7.76,0.04,192.96875
1993-02-08,7.625,7.8125,7.5625,7.6875,949600,7.69,0.04,192.1875
1993-02-09,7.71875,7.75,7.5,7.53125,960800,7.59,0.04,188.28125
1993-02-10,7.625,8.125,7.5625,7.8125,882000,7.83,0.04,195.3125
1993-02-11,7.8125,7.9375,7.5,7.625,654000,7.69,0.04,190.625
1993-02-12,7.75,8.1875,7.75,8.1875,603600,8.04,0.04,204.6875
1993-02-16,8.0,8.0,7.1875,7.5625,710800,7.58,0.04,189.0625
1993-02-17,7.4375,7.625,7.21875,7.25,1638800,7.36,0.04,181.25
1993-02-18,7.4375,7.75,7.4375,7.75,539200,7.65,0.04,193.75
1993-02-19,7.8125,8.0625,7.6875,8.0625,486400,7.94,0.04,201.5625
1993-02-22,8.1875,8.1875,7.90625,8.0,800400,8.03,0.04,200.0
1993-02-23,8.0625,8.125,7.875,7.875,664400,7.96,0.04,196.875
1993-02-24,7.75,8.0625,7.75,8.0,403200,7.94,0.04,200.0
1993-02-25,7.9375,8.09375,7.875,8.0,240000,7.99,0.04,200.0
1993-02-26,8.0625,8.125,8.0,8.0,276000,8.04,0.04,200.0
1993-03-01,8.03125,8.125,8.0,8.125,32000,8.08,0.04,203.125
1993-03-02,7.875,8.0,7.84375,7.9375,148000,7.93,0.04,198.4375
1993-03-03,7.875,8.0,7.8125,7.9375,103600,7.92,0.04,198.4375
1993-03-04,7.8125,7.875,7.6875,7.8125,321200,7.79,0.04,195.3125
1993-03-05,7.8125,7.8125,7.6875,7.6875,73600,7.73,0.04,192.1875
1993-03-08,7.8125,7.8125,7.5625,7.6875,185600,7.69,0.04,192.1875
1993-03-09,7.6875,7.6875,7.3125,7.40625,319200,7.47,0.04,185.15625
1993-03-10,7.3125,7.375,7.125,7.25,1746400,7.25,0.04,181.25
1993-03-11,7.1875,7.4375,7.0,7.0625,2574000,7.17,0.04,176.5625
1993-03-12,6.9375,7.25,6.65625,7.21875,3586400,7.04,0.04,180.46875
1993-03-15,7.375,7.4375,7.0625,7.125,610800,7.21,0.04,178.125
1993-03-16,7.125,7.125,7.0,7.125,896400,7.08,0.04,178.125
