Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2007-06-14,37.0,39.26,37.0,38.85,662600,38.0275,0.56,69.375
2007-06-15,39.1,39.1,38.25,38.8,1150000,38.8125,0.56,69.28571428571428
2007-06-18,39.05,39.1,37.15,37.15,853600,38.1125,0.56,66.33928571428571
2007-06-19,37.15,37.7,36.1,36.7,951000,36.9125,0.56,65.53571428571428
2007-06-20,36.83,36.83,35.33,35.95,1721800,36.235,0.56,64.19642857142857
2007-06-21,36.0,36.7,35.75,36.7,537700,36.2875,0.56,65.53571428571428
2007-06-22,37.0,39.5,36.8,38.95,250300,38.0625,0.56,69.55357142857143
2007-06-25,39.1,40.0,38.25,39.25,203200,39.15,0.56,70.08928571428571
2007-06-26,39.31,39.8,39.2,39.5,119600,39.4525,0.56,70.53571428571428
2007-06-27,39.5,39.8,39.0,39.75,270700,39.5125,0.56,70.98214285714285
2007-06-28,39.75,39.95,39.5,39.6,151200,39.7,0.56,70.71428571428571
2007-06-29,39.83,39.9,38.75,39.06,1701900,39.385,0.56,69.75
2007-07-02,39.2,40.63,38.98,39.97,2007900,39.695,0.56,71.37499999999999
2007-07-03,39.98,40.61,39.08,39.66,3752400,39.8325,0.56,70.82142857142856
2007-07-05,39.6,41.28,39.24,39.45,4277801,39.8925,0.56,70.44642857142857
2007-07-06,39.4,39.92,38.8,39.82,3950700,39.485,0.56,71.10714285714285
2007-07-09,39.55,40.4,38.48,40.3,5369500,39.6825,0.56,71.96428571428571
2007-07-10,39.5,39.5,38.48,39.0,5483200,39.12,0.56,69.64285714285714
2007-07-11,39.0,39.25,38.7,39.06,5964801,39.0025,0.56,69.75
2007-07-12,38.95,39.06,38.31,39.01,4094400,38.8325,0.56,69.66071428571428
2007-07-13,38.3,39.89,38.0,39.47,2064600,38.915,0.56,70.48214285714285
2007-07-16,38.0,39.85,37.07,39.3,2514800,38.555,0.56,70.17857142857142
2007-07-17,39.02,39.5,38.27,38.86,3913400,38.9125,0.56,69.39285714285714
2007-07-18,36.95,38.86,36.6,37.94,4909400,37.5875,0.56,67.74999999999999
2007-07-19,38.04,38.45,37.63,38.1,2078400,38.055,0.56,68.03571428571428
2007-07-20,38.1,38.18,37.87,38.03,3406800,38.045,0.56,67.91071428571428
2007-07-23,35.1,39.0,35.1,38.91,2164500,37.0275,0.56,69.48214285714285
2007-07-24,38.72,39.22,38.13,38.4,2119000,38.6175,0.56,68.57142857142857
2007-07-25,38.25,38.57,38.0,38.47,2421500,38.3225,0.56,68.69642857142857
2007-07-26,38.0,38.3,36.72,37.56,3611800,37.645,0.56,67.07142857142857
2007-07-27,36.0,38.13,35.73,36.95,2912600,36.7025,0.56,65.98214285714286
2007-07-30,36.4,36.45,35.58,36.05,2915500,36.12,0.56,64.37499999999999
2007-07-31,36.05,36.08,35.7,35.82,2148800,35.9125,0.56,63.96428571428571
2007-08-01,34.92,36.0,34.76,35.22,3771700,35.225,0.56,62.89285714285713
2007-08-02,34.61,35.5,34.09,35.27,2519100,34.8675,0.56,62.982142857142854
2007-08-03,35.1,35.43,35.0,35.09,2445000,35.155,0.56,62.660714285714285
2007-08-06,35.2,35.32,34.98,35.15,3896600,35.1625,0.56,62.76785714285713
2007-08-07,34.85,35.38,34.0,34.85,2624200,34.77,0.56,62.232142857142854
2007-08-08,32.09,35.47,32.09,34.74,3355800,33.5975,0.56,62.035714285714285
2007-08-09,34.3,34.77,33.62,33.73,2058600,34.105,0.56,60.23214285714285
2007-08-10,33.73,33.73,32.38,32.81,6034600,33.1625,0.56,58.589285714285715
2007-08-13,33.0,33.25,32.39,32.99,3860000,32.9075,-2.75,-11.996363636363638
2007-08-14,33.13,33.25,32.12,32.45,6021900,32.7375,-2.75,-11.8
2007-08-15,32.53,33.24,32.5,32.96,4280500,32.8075,-2.75,-11.985454545454546
2007-08-16,32.06,33.25,32.0,33.04,4133300,32.5875,-2.75,-12.014545454545454
2007-08-17,33.9,35.23,33.5,35.1,3026600,34.4325,-2.75,-12.763636363636364
2007-08-20,34.87,35.98,34.6,34.95,1948800,35.1,-2.75,-12.70909090909091
2007-08-21,33.9,34.97,33.85,34.67,2257600,34.3475,-2.75,-12.607272727272727
2007-08-22,34.75,35.34,34.3,34.86,2233000,34.8125,-2.75,-12.676363636363636
2007-08-23,35.25,35.53,34.87,35.36,3054100,35.2525,-2.75,-12.858181818181817
2007-08-24,35.28,37.0,35.1,36.27,2105000,35.9125,-2.75,-13.18909090909091
2007-08-27,36.2,36.56,35.4,35.47,1431200,35.9075,-2.75,-12.898181818181818
2007-08-28,34.95,35.63,34.9,35.12,2243700,35.15,-2.75,-12.77090909090909
2007-08-29,35.32,35.5,34.81,35.36,1615900,35.2475,-2.75,-12.858181818181817
2007-08-30,35.08,35.97,34.63,34.96,1590000,35.16,-2.75,-12.712727272727273
2007-08-31,34.53,35.55,34.0,34.87,2286900,34.7375,-2.75,-12.68
2007-09-04,34.87,35.02,34.3,34.91,1909800,34.775,-2.75,-12.694545454545453
2007-09-05,34.5,34.77,33.95,34.69,2133000,34.4775,-2.75,-12.614545454545453
2007-09-06,32.0,36.69,32.0,35.23,3414700,33.98,-2.75,-12.81090909090909
2007-09-07,34.8,34.81,33.15,33.5,1869400,34.065,-2.75,-12.181818181818182
2007-09-10,33.41,33.95,33.17,33.2,2340000,33.4325,-2.75,-12.072727272727274
2007-09-11,33.27,33.46,32.6,33.04,1921100,33.0925,-2.75,-12.014545454545454
2007-09-12,32.82,33.19,32.4,32.56,2867900,32.7425,-2.75,-11.840000000000002
2007-09-13,33.01,33.22,32.65,32.89,2351800,32.9425,-2.75,-11.96
2007-09-14,32.68,33.69,32.63,33.06,2744500,33.015,-2.75,-12.021818181818183
2007-09-17,32.8,33.31,32.59,33.14,2246100,32.96,-2.75,-12.05090909090909
2007-09-18,33.03,34.99,32.62,33.59,2236900,33.5575,-2.75,-12.214545454545457
2007-09-19,33.95,34.59,32.54,33.07,13839200,33.5375,-2.75,-12.025454545454545
2007-09-20,33.07,33.66,32.8,33.46,1814900,33.2475,-2.75,-12.167272727272728
2007-09-21,33.86,33.97,33.18,33.45,2627700,33.615,-2.75,-12.163636363636364
2007-09-24,33.53,33.71,33.03,33.39,1549200,33.415,-2.75,-12.141818181818183
2007-09-25,33.33,33.77,33.14,33.77,1516500,33.5025,-2.75,-12.280000000000001
2007-09-26,34.25,35.35,34.22,34.54,3838100,34.59,-2.75,-12.56
2007-09-27,34.74,35.75,34.54,35.18,2099800,35.0525,-2.75,-12.792727272727273
2007-09-28,35.02,35.53,34.85,35.43,1689100,35.2075,-2.75,-12.883636363636363
2007-10-01,35.7,36.64,34.93,36.28,2717400,35.8875,-2.75,-13.192727272727273
2007-10-02,36.0,36.25,35.72,35.95,3089200,35.98,-2.75,-13.072727272727274
2007-10-03,35.96,36.0,35.25,35.66,2326900,35.7175,-2.75,-12.967272727272727
2007-10-04,35.66,36.47,34.92,35.9,3080200,35.7375,-2.75,-13.054545454545455
2007-10-05,35.85,36.89,35.81,36.05,2334300,36.15,-2.75,-13.109090909090908
2007-10-08,36.23,37.33,36.18,37.12,1454000,36.715,-2.75,-13.498181818181818
2007-10-09,37.12,37.33,36.57,36.73,1705100,36.9375,-2.75,-13.356363636363636
2007-10-10,36.39,37.12,36.33,36.84,5578602,36.67,-2.75,-13.396363636363638
2007-10-11,37.0,37.24,36.35,36.65,2205100,36.81,-2.75,-13.327272727272726
2007-10-12,36.49,37.09,36.37,37.0,1053800,36.7375,-2.75,-13.454545454545455
2007-10-15,37.15,37.43,36.81,36.97,1559500,37.09,-2.75,-13.443636363636363
2007-10-16,37.0,37.2,36.58,36.99,1651000,36.9425,-2.75,-13.450909090909091
2007-10-17,37.1,37.5,36.6,36.9,3160400,37.025,-2.75,-13.418181818181818
2007-10-18,36.77,36.93,36.65,36.88,1985200,36.8075,-2.75,-13.410909090909092
2007-10-19,36.82,36.92,36.06,36.24,2755100,36.51,-2.75,-13.17818181818182
2007-10-22,35.89,36.3,35.27,35.68,2174900,35.785,-2.75,-12.974545454545455
2007-10-23,35.9,36.1,35.0,35.12,1272900,35.53,-2.75,-12.77090909090909
2007-10-24,35.1,35.1,33.89,34.56,1403600,34.6625,-2.75,-12.567272727272728
2007-10-25,34.64,34.65,33.77,34.04,1674200,34.275,-2.75,-12.378181818181817
