Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1970-10-20,1.05,1.05,1.05,1.05,118400,1.05,,
1970-10-21,0.96875,0.96875,0.96875,0.96875,99200,0.96875,,
1970-10-22,1.0,1.0,1.0,1.0,20800,1.0,,
1970-10-23,1.0,1.0,1.0,1.0,41600,1.0,,
1970-10-26,0.99219,0.99219,0.99219,0.99219,16000,0.99219,,
1970-10-27,0.92188,0.92188,0.92188,0.92188,80000,0.92188,,
1970-10-28,0.86719,0.86719,0.86719,0.86719,73600,0.86719,,
1970-10-29,0.84375,0.84375,0.84375,0.84375,40000,0.84375,,
1970-10-30,0.83594,0.83594,0.83594,0.83594,35200,0.83594,,
1970-11-02,0.84375,0.84375,0.84375,0.84375,49600,0.84375,,
1970-11-03,0.85156,0.85156,0.85156,0.85156,12800,0.85156,,
1970-11-04,0.85938,0.85938,0.85938,0.85938,22400,0.85938,,
1970-11-05,0.875,0.875,0.875,0.875,137600,0.875,,
1970-11-06,0.89844,0.89844,0.89844,0.89844,6400,0.89844,,
1970-11-09,0.89844,0.89844,0.89844,0.89844,35200,0.89844,,
1970-11-10,0.90625,0.90625,0.90625,0.90625,4800,0.90625,,
1970-11-11,0.82813,0.82813,0.82813,0.82813,48000,0.82813,,
1970-11-12,0.82031,0.82031,0.82031,0.82031,121600,0.82031,,
1970-11-13,0.80469,0.80469,0.80469,0.80469,19200,0.80469,,
1970-11-16,0.76563,0.76563,0.76563,0.76563,52800,0.76563,,
1970-11-17,0.65625,0.65625,0.65625,0.65625,185600,0.65625,,
1970-11-18,0.65625,0.65625,0.65625,0.65625,60800,0.65625,,
1970-11-19,0.65625,0.65625,0.65625,0.65625,32000,0.65625,,
1970-11-20,0.75,0.75,0.75,0.75,64000,0.75,,
1970-11-23,0.75,0.75,0.75,0.75,19200,0.75,,
1970-11-24,0.82031,0.82031,0.82031,0.82031,67200,0.82031,,
1970-11-25,0.83594,0.83594,0.83594,0.83594,56000,0.83594,,
1970-11-27,0.84375,0.84375,0.84375,0.84375,17600,0.84375,,
1970-11-30,0.86719,0.86719,0.86719,0.86719,12800,0.86719,,
1970-12-01,0.85156,0.85156,0.85156,0.85156,28800,0.85156,,
1970-12-02,0.83594,0.83594,0.83594,0.83594,22400,0.83594,,
1970-12-03,0.82813,0.82813,0.82813,0.82813,40000,0.82813,,
1970-12-04,0.78125,0.78125,0.78125,0.78125,14400,0.78125,,
1970-12-07,0.78125,0.78125,0.78125,0.78125,38400,0.78125,,
1970-12-08,0.78906,0.78906,0.78906,0.78906,19200,0.78906,,
1970-12-09,0.79688,0.79688,0.79688,0.79688,41600,0.79688,,
1970-12-10,0.78906,0.78906,0.78906,0.78906,25600,0.78906,,
1970-12-11,0.79688,0.79688,0.79688,0.79688,14400,0.79688,,
1970-12-14,0.75,0.75,0.75,0.75,28800,0.75,,
1970-12-15,0.71094,0.71094,0.71094,0.71094,51200,0.71094,,
1970-12-16,0.70313,0.70313,0.70313,0.70313,30400,0.70313,,
1970-12-17,0.71094,0.71094,0.71094,0.71094,60800,0.71094,,
1970-12-18,0.73438,0.73438,0.73438,0.73438,25600,0.73438,,
1970-12-21,0.71875,0.71875,0.71875,0.71875,33600,0.71875,,
1970-12-22,0.75,0.75,0.75,0.75,52800,0.75,,
1970-12-23,0.76563,0.76563,0.76563,0.76563,35200,0.76563,,
1970-12-24,0.82031,0.82031,0.82031,0.82031,35200,0.82031,,
1970-12-28,0.84375,0.84375,0.84375,0.84375,19200,0.84375,,
1970-12-29,0.8125,0.8125,0.8125,0.8125,54400,0.8125,,
1970-12-30,0.8125,0.8125,0.8125,0.8125,14400,0.8125,,
1970-12-31,0.79688,0.79688,0.79688,0.79688,59200,0.79688,,
1971-01-04,0.8125,0.8125,0.8125,0.8125,19200,0.8125,,
1971-01-05,0.78906,0.78906,0.78906,0.78906,72000,0.78906,,
1971-01-06,0.77344,0.77344,0.77344,0.77344,20800,0.77344,,
1971-01-07,0.74219,0.74219,0.74219,0.74219,49600,0.74219,,
1971-01-08,0.74219,0.74219,0.74219,0.74219,17600,0.74219,,
1971-01-11,0.78125,0.78125,0.78125,0.78125,22400,0.78125,,
1971-01-12,0.79688,0.79688,0.79688,0.79688,51200,0.79688,,
1971-01-13,0.78906,0.78906,0.78906,0.78906,33600,0.78906,,
1971-01-14,0.84375,0.84375,0.84375,0.84375,33600,0.84375,,
1971-01-15,0.85156,0.85156,0.85156,0.85156,40000,0.85156,,
1971-01-18,0.875,0.875,0.875,0.875,40000,0.875,,
1971-01-19,0.86719,0.86719,0.86719,0.86719,17600,0.86719,,
1971-01-20,0.85938,0.85938,0.85938,0.85938,36800,0.85938,,
1971-01-21,0.82813,0.82813,0.82813,0.82813,27200,0.82813,,
1971-01-22,0.875,0.875,0.875,0.875,33600,0.875,,
1971-01-25,0.89063,0.89063,0.89063,0.89063,12800,0.89063,,
1971-01-26,0.88281,0.88281,0.88281,0.88281,33600,0.88281,,
1971-01-27,0.875,0.875,0.875,0.875,48000,0.875,,
1971-01-28,0.875,0.875,0.875,0.875,52800,0.875,,
1971-01-29,0.85938,0.85938,0.85938,0.85938,6400,0.85938,,
1971-02-01,0.89844,0.89844,0.89844,0.89844,28800,0.89844,,
1971-02-02,0.89844,0.89844,0.89844,0.89844,27200,0.89844,,
1971-02-03,1.05,1.05,1.05,1.05,204800,1.05,,
1971-02-04,1.08,1.08,1.08,1.08,91200,1.08,,
1971-02-05,1.05,1.05,1.05,1.05,153600,1.05,,
1971-02-08,1.03,1.03,1.03,1.03,14400,1.03,,
1971-02-09,1.02,1.02,1.02,1.02,84800,1.02,,
1971-02-10,1.06,1.06,1.06,1.06,38400,1.06,,
1971-02-11,1.07,1.07,1.07,1.07,20800,1.07,,
1971-02-12,1.03,1.03,1.03,1.03,22400,1.03,,
1971-02-16,1.03,1.03,1.03,1.03,30400,1.03,,
1971-02-17,1.02,1.02,1.02,1.02,11200,1.02,,
1971-02-19,0.98438,0.98438,0.98438,0.98438,43200,0.98438,,
1971-02-22,0.94531,0.94531,0.94531,0.94531,16000,0.94531,,
1971-02-23,0.92188,0.92188,0.92188,0.92188,12800,0.92188,,
1971-02-24,0.9375,0.9375,0.9375,0.9375,6400,0.9375,,
1971-02-25,0.96875,0.96875,0.96875,0.96875,9600,0.96875,,
1971-02-26,0.96875,0.96875,0.96875,0.96875,20800,0.96875,,
1971-03-01,0.97656,0.97656,0.97656,0.97656,4800,0.97656,,
1971-03-02,0.96094,0.96094,0.96094,0.96094,11200,0.96094,,
1971-03-03,0.9375,0.9375,0.9375,0.9375,48000,0.9375,,
1971-03-04,0.96875,0.96875,0.96875,0.96875,57600,0.96875,,
1971-03-05,0.99219,0.99219,0.99219,0.99219,59200,0.99219,,
1971-03-08,1.02,1.02,1.02,1.02,35200,1.02,,
1971-03-09,1.07,1.07,1.07,1.07,80000,1.07,,
1971-03-10,1.1,1.1,1.1,1.1,65600,1.1,,
1971-03-11,1.1,1.1,1.1,1.1,22400,1.1,,
1971-03-12,1.1,1.1,1.1,1.1,12800,1.1,,
1971-03-15,1.1,1.1,1.1,1.1,33600,1.1,,
1971-03-16,1.16,1.16,1.16,1.16,108800,1.16,,
1971-03-17,1.12,1.12,1.12,1.12,118400,1.12,,
1971-03-18,1.11,1.11,1.11,1.11,65600,1.11,,
1971-03-19,1.06,1.06,1.06,1.06,67200,1.06,,
1971-03-22,1.06,1.06,1.06,1.06,24000,1.06,,
1971-03-23,0.92188,0.92188,0.92188,0.92188,89600,0.92188,,
1971-03-24,0.95313,0.95313,0.95313,0.95313,67200,0.95313,,
1971-03-25,0.97656,0.97656,0.97656,0.97656,49600,0.97656,,
1971-03-26,0.95313,0.95313,0.95313,0.95313,14400,0.95313,,
1971-03-29,0.9375,0.9375,0.9375,0.9375,22400,0.9375,,
1971-03-30,0.92188,0.92188,0.92188,0.92188,22400,0.92188,,
1971-03-31,0.95313,0.95313,0.95313,0.95313,51200,0.95313,,
1971-04-01,0.98438,0.98438,0.98438,0.98438,75200,0.98438,,
1971-04-02,1.02,1.02,1.02,1.02,43200,1.02,,
1971-04-05,1.03,1.03,1.03,1.03,28800,1.03,,
1971-04-06,1.02,1.02,1.02,1.02,9600,1.02,,
1971-04-07,1.06,1.06,1.06,1.06,84800,1.06,,
1971-04-08,1.07,1.07,1.07,1.07,80000,1.07,,
1971-04-12,1.07,1.07,1.07,1.07,12800,1.07,,
1971-04-13,1.05,1.05,1.05,1.05,59200,1.05,,
1971-04-14,1.06,1.06,1.06,1.06,14400,1.06,,
1971-04-15,1.05,1.05,1.05,1.05,68800,1.05,,
1971-04-16,1.04,1.04,1.04,1.04,35200,1.04,,
