Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1997-04-15,3.666667,3.916667,3.416667,3.916667,1785600,3.75,0.0,inf
1997-04-16,3.916667,4.166667,3.583333,3.708333,443700,3.82,0.0,inf
1997-04-17,3.75,4.083333,3.75,3.833333,252150,3.89,0.0,inf
1997-04-18,3.833333,4.0,3.833333,4.0,165900,3.94,0.0,inf
1997-04-21,3.916667,4.0,3.916667,4.0,77400,3.97,0.0,inf
1997-04-22,4.0,4.0,3.916667,3.916667,81600,3.94,0.0,inf
1997-04-23,4.0,4.5,3.916667,4.5,180600,4.31,0.0,inf
1997-04-24,4.5,5.0,4.416667,4.833333,281550,4.75,0.0,inf
1997-04-25,4.916667,4.916667,4.416667,4.5,114150,4.61,0.0,inf
1997-04-28,4.5,4.708333,4.333333,4.333333,76650,4.46,0.0,inf
1997-04-29,4.333333,4.916667,4.333333,4.916667,122250,4.72,0.0,inf
1997-04-30,4.75,5.083333,4.75,5.041667,78450,4.96,0.0,inf
1997-05-01,5.0,5.166667,5.0,5.125,33450,5.1,0.0,inf
1997-05-02,5.0,5.0,4.666667,5.0,70200,4.89,0.0,inf
1997-05-05,4.833333,5.0,4.833333,4.833333,12300,4.89,0.0,inf
1997-05-06,4.833333,4.916667,4.833333,4.833333,64650,4.86,0.0,inf
1997-05-07,4.833333,4.916667,4.666667,4.916667,37650,4.83,0.0,inf
1997-05-08,4.75,4.916667,4.75,4.75,63600,4.81,0.0,inf
1997-05-09,4.916667,4.916667,4.75,4.833333,35700,4.83,0.0,inf
1997-05-12,4.916667,5.666667,4.833333,5.416667,289800,5.31,0.0,inf
1997-05-13,5.416667,5.666667,5.416667,5.666667,24900,5.58,0.0,inf
1997-05-14,5.666667,5.666667,5.5,5.5,207750,5.56,0.0,inf
1997-05-15,5.5,5.5,5.333333,5.333333,75150,5.39,0.0,inf
1997-05-16,5.333333,5.5,5.0,5.5,158250,5.33,0.0,inf
1997-05-19,5.333333,5.5,5.25,5.416667,60600,5.39,0.0,inf
1997-05-20,5.416667,5.416667,5.25,5.25,31950,5.31,0.0,inf
1997-05-21,5.25,5.333333,4.75,5.166667,146550,5.08,0.0,inf
1997-05-22,5.166667,5.25,5.166667,5.166667,26850,5.19,0.0,inf
1997-05-23,5.166667,5.25,5.083333,5.125,42300,5.15,0.0,inf
1997-05-27,5.25,5.416667,5.0,5.333333,156600,5.25,0.0,inf
1997-05-28,5.416667,5.416667,5.166667,5.333333,36900,5.31,0.0,inf
1997-05-29,5.333333,5.666667,5.25,5.333333,105300,5.42,0.0,inf
1997-05-30,5.333333,5.333333,5.0,5.25,127500,5.19,0.0,inf
1997-06-02,5.291667,5.291667,5.25,5.25,25950,5.26,0.0,inf
1997-06-03,5.25,5.583333,5.25,5.5,184050,5.44,0.0,inf
1997-06-04,5.416667,5.541667,5.333333,5.333333,47400,5.4,0.0,inf
1997-06-05,5.333333,5.5,5.333333,5.458333,48000,5.43,0.0,inf
1997-06-06,5.5,5.5,5.333333,5.333333,29850,5.39,0.0,inf
1997-06-09,5.333333,5.5,5.333333,5.333333,23100,5.39,0.0,inf
1997-06-10,5.333333,5.416667,5.333333,5.333333,14850,5.36,0.0,inf
1997-06-11,5.333333,5.416667,5.333333,5.416667,5400,5.39,0.0,inf
1997-06-12,5.333333,6.0,5.333333,5.75,213150,5.69,0.0,inf
1997-06-13,6.0,6.0,5.75,5.75,55050,5.83,0.0,inf
1997-06-16,5.75,5.833333,5.75,5.75,8250,5.78,-0.0734,-78.33787465940054
1997-06-17,5.833333,5.833333,5.583333,5.666667,83850,5.69,-0.0734,-77.2025476839237
1997-06-18,5.666667,5.833333,5.5,5.583333,67500,5.64,-0.0734,-76.06720708446865
1997-06-19,5.75,5.75,5.416667,5.5,67500,5.56,-0.0734,-74.93188010899182
1997-06-20,5.416667,5.583333,5.416667,5.5,19200,5.5,-0.0734,-74.93188010899182
1997-06-23,5.416667,5.5,5.416667,5.416667,61500,5.44,-0.0734,-73.79655313351499
1997-06-24,5.416667,5.583333,5.416667,5.583333,87900,5.53,-0.0734,-76.06720708446865
1997-06-25,5.416667,5.416667,5.083333,5.333333,44550,5.28,-0.0734,-72.66121253405993
1997-06-26,5.333333,5.791667,5.333333,5.791667,107250,5.64,-0.0734,-78.90554495912806
1997-06-27,5.833333,5.833333,5.583333,5.708333,35250,5.71,-0.0734,-77.77020435967302
1997-06-30,5.666667,5.833333,5.583333,5.583333,42300,5.67,-0.0734,-76.06720708446865
1997-07-01,5.666667,5.75,5.583333,5.583333,29700,5.64,-0.0734,-76.06720708446865
1997-07-02,5.583333,5.75,5.333333,5.5,81300,5.53,-0.0734,-74.93188010899182
1997-07-03,5.333333,5.5,5.333333,5.333333,11250,5.39,-0.0734,-72.66121253405993
1997-07-07,5.416667,5.416667,5.333333,5.333333,13200,5.36,-0.0734,-72.66121253405993
1997-07-08,5.333333,5.75,5.333333,5.625,144600,5.57,-0.0734,-76.63487738419617
1997-07-09,5.625,5.75,5.5,5.5,40500,5.58,-0.0734,-74.93188010899182
1997-07-10,5.5,5.666667,5.416667,5.5,32100,5.53,-0.0734,-74.93188010899182
1997-07-11,5.5,5.666667,5.333333,5.333333,24450,5.44,-0.0734,-72.66121253405993
1997-07-14,5.333333,5.5,5.333333,5.5,17700,5.44,-0.0734,-74.93188010899182
1997-07-15,5.5,5.5,5.166667,5.333333,57450,5.33,-0.0734,-72.66121253405993
1997-07-16,5.333333,5.416667,5.083333,5.083333,67650,5.19,-0.0734,-69.25521798365122
1997-07-17,5.083333,5.25,5.083333,5.083333,39450,5.14,-0.0734,-69.25521798365122
1997-07-18,5.166667,5.375,5.083333,5.166667,83700,5.21,-0.0734,-70.39055858310627
1997-07-21,5.166667,5.25,5.083333,5.083333,12750,5.14,-0.0734,-69.25521798365122
1997-07-22,5.083333,5.375,5.083333,5.375,179550,5.28,-0.0734,-73.22888283378745
1997-07-23,5.25,5.375,5.25,5.25,17250,5.29,-0.0734,-71.5258855585831
1997-07-24,5.25,5.333333,5.25,5.25,34500,5.28,-0.0734,-71.5258855585831
1997-07-25,5.166667,5.333333,5.083333,5.25,42750,5.22,-0.0734,-71.5258855585831
1997-07-28,5.166667,5.416667,5.166667,5.333333,46050,5.31,-0.0734,-72.66121253405993
1997-07-29,5.416667,5.416667,5.25,5.25,5250,5.31,-0.0734,-71.5258855585831
1997-07-30,5.333333,5.416667,5.25,5.291667,69000,5.32,-0.0734,-72.09355585831062
1997-07-31,5.416667,5.666667,5.291667,5.458333,101400,5.47,-0.0734,-74.3642098092643
1997-08-01,5.458333,5.458333,5.333333,5.395833,24000,5.4,-0.0734,-73.51271117166212
1997-08-04,5.333333,5.375,5.166667,5.166667,117450,5.24,-0.0734,-70.39055858310627
1997-08-05,5.333333,5.333333,5.166667,5.25,34950,5.25,-0.0734,-71.5258855585831
1997-08-06,5.333333,5.333333,5.083333,5.25,47250,5.22,-0.0734,-71.5258855585831
