Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,1.08,1.08,1.08,1.08,1689616,1.08,,
1968-01-03,1.06,1.06,1.06,1.06,1670416,1.06,,
1968-01-04,1.07,1.07,1.07,1.07,2140816,1.07,,
1968-01-05,1.06,1.06,1.06,1.06,854400,1.06,,
1968-01-08,1.06,1.06,1.06,1.06,796800,1.06,,
1968-01-09,1.07,1.07,1.07,1.07,979200,1.07,,
1968-01-10,1.07,1.07,1.07,1.07,1708816,1.07,,
1968-01-11,1.07,1.07,1.07,1.07,844800,1.07,,
1968-01-12,1.06,1.06,1.06,1.06,1267200,1.06,,
1968-01-15,1.03,1.03,1.03,1.03,6825664,1.03,,
1968-01-16,1.01,1.01,1.01,1.01,2332816,1.01,,
1968-01-17,1.02,1.02,1.02,1.02,1104000,1.02,,
1968-01-18,1.03,1.03,1.03,1.03,1977616,1.03,,
1968-01-19,1.02,1.02,1.02,1.02,1046400,1.02,,
1968-01-22,0.99218,0.99218,0.99218,0.99218,1046400,0.99218,,
1968-01-23,0.97004,0.97004,0.97004,0.97004,1824016,0.97004,,
1968-01-24,0.95832,0.95832,0.95832,0.95832,3724832,0.95832,,
1968-01-25,0.95051,0.95051,0.95051,0.95051,2044816,0.95051,,
1968-01-26,0.95702,0.95702,0.95702,0.95702,1305600,0.95702,,
1968-01-29,0.95051,0.95051,0.95051,0.95051,1468800,0.95051,,
1968-01-30,0.94791,0.94791,0.94791,0.94791,1584000,0.94791,,
1968-01-31,0.92187,0.92187,0.92187,0.92187,1766416,0.92187,,
1968-02-01,0.92187,0.92187,0.92187,0.92187,2246416,0.92187,,
1968-02-02,0.90234,0.90234,0.90234,0.90234,2342416,0.90234,,
1968-02-05,0.90494,0.90494,0.90494,0.90494,1852816,0.90494,,
1968-02-06,0.92968,0.92968,0.92968,0.92968,1929616,0.92968,,
1968-02-07,0.93749,0.93749,0.93749,0.93749,2092816,0.93749,,
1968-02-08,0.93228,0.93228,0.93228,0.93228,2534416,0.93228,,
1968-02-09,0.93619,0.93619,0.93619,0.93619,1996816,0.93619,,
1968-02-13,0.94791,0.94791,0.94791,0.94791,1104000,0.94791,,
1968-02-14,0.98957,0.98957,0.98957,0.98957,2150416,0.98957,,
1968-02-15,0.97395,0.97395,0.97395,0.97395,1526400,0.97395,,
1968-02-16,0.95312,0.95312,0.95312,0.95312,931200,0.95312,,
1968-02-19,0.95572,0.95572,0.95572,0.95572,1017600,0.95572,,
1968-02-20,0.96353,0.96353,0.96353,0.96353,1564800,0.96353,,
1968-02-21,0.97004,0.97004,0.97004,0.97004,1152000,0.97004,,
1968-02-23,0.93619,0.93619,0.93619,0.93619,998400,0.93619,,
1968-02-26,0.92838,0.92838,0.92838,0.92838,844800,0.92838,,
1968-02-27,0.96744,0.96744,0.96744,0.96744,1449600,0.96744,,
1968-02-28,0.9453,0.9453,0.9453,0.9453,1046400,0.9453,,
1968-02-29,0.93358,0.93358,0.93358,0.93358,729600,0.93358,,
1968-03-01,0.92317,0.92317,0.92317,0.92317,768000,0.92317,,
1968-03-04,0.91275,0.91275,0.91275,0.91275,1497600,0.91275,,
1968-03-05,0.92056,0.92056,0.92056,0.92056,2457616,0.92056,,
1968-03-06,0.93619,0.93619,0.93619,0.93619,1344000,0.93619,,
1968-03-07,0.92317,0.92317,0.92317,0.92317,1132800,0.92317,,
1968-03-08,0.91926,0.91926,0.91926,0.91926,864000,0.91926,,
