Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1980-03-17,2.19,2.27,2.15,2.17,53400,2.19,,
1980-03-18,2.17,2.17,2.04,2.1,65400,2.09,,
1980-03-19,2.1,2.13,2.04,2.1,28200,2.09,,
1980-03-20,2.1,2.13,2.04,2.04,21000,2.07,,
1980-03-21,2.04,2.1,2.0,2.0,23400,2.03,,
1980-03-24,2.0,2.02,2.0,2.0,24000,2.01,,
1980-03-25,2.0,2.04,1.83,1.85,52800,1.91,,
1980-03-26,1.85,1.94,1.85,1.92,17400,1.91,,
1980-03-27,1.92,1.94,1.83,1.83,30000,1.87,,
1980-03-28,1.83,1.92,1.83,1.92,21000,1.89,,
1980-03-31,1.92,1.92,1.85,1.88,33600,1.88,,
1980-04-01,1.88,1.92,1.88,1.92,13200,1.9,,
1980-04-02,1.92,1.98,1.92,1.98,3600,1.97,,
1980-04-03,1.98,2.0,1.98,1.98,20400,1.99,,
1980-04-07,1.98,2.04,1.98,2.04,16800,2.03,,
1980-04-08,2.04,2.1,2.04,2.1,9000,2.08,,
1980-04-09,2.1,2.13,2.08,2.13,6000,2.11,,
1980-04-10,2.13,2.19,2.08,2.08,19200,2.12,,
1980-04-11,2.08,2.15,2.06,2.06,27000,2.09,,
1980-04-14,2.06,2.08,2.06,2.08,69000,2.08,,
1980-04-15,2.08,2.08,2.04,2.04,16800,2.06,,
1980-04-16,2.04,2.06,2.02,2.02,24600,2.03,,
1980-04-17,2.02,2.02,1.98,2.02,16200,2.01,,
1980-04-18,2.02,2.04,2.0,2.04,55800,2.03,,
1980-04-21,2.04,2.04,1.88,1.88,36000,1.92,,
1980-04-22,1.88,1.96,1.85,1.96,95400,1.92,,
1980-04-23,1.96,1.96,1.92,1.94,6600,1.93,,
1980-04-24,1.94,1.94,1.83,1.83,96600,1.87,,
1980-04-25,1.83,1.85,1.79,1.81,22200,1.82,,
1980-04-28,1.81,1.85,1.81,1.83,53400,1.83,,
1980-04-29,1.83,1.85,1.79,1.81,43800,1.82,,
1980-04-30,1.81,1.83,1.75,1.83,189600,1.81,,
1980-05-01,1.83,1.83,1.79,1.79,21600,1.81,,
1980-05-02,1.79,1.83,1.77,1.83,56400,1.81,,
1980-05-05,1.83,1.83,1.83,1.83,15000,1.83,,
1980-05-06,1.83,1.83,1.81,1.81,32400,1.82,,
1980-05-07,1.81,1.88,1.81,1.88,56400,1.86,,
1980-05-08,1.88,1.94,1.85,1.85,19800,1.88,,
1980-05-09,1.85,1.9,1.85,1.88,13800,1.88,,
1980-05-12,1.88,1.88,1.83,1.88,33000,1.86,,
1980-05-13,1.88,1.9,1.85,1.9,10200,1.88,,
1980-05-14,1.9,1.94,1.88,1.9,25200,1.9,,
1980-05-15,1.9,1.94,1.88,1.88,19200,1.9,,
1980-05-16,1.88,1.9,1.85,1.9,22200,1.88,,
1980-05-19,1.9,1.94,1.85,1.94,19800,1.91,,
1980-05-20,1.94,1.98,1.92,1.96,33600,1.95,,
1980-05-21,1.96,2.0,1.96,1.98,21000,1.98,,
1980-05-22,1.98,2.04,1.96,2.0,16200,2.0,,
1980-05-23,2.0,2.06,2.0,2.0,22200,2.02,,
1980-05-27,2.0,2.0,1.96,1.98,39600,1.98,,
1980-05-28,1.98,1.98,1.96,1.96,27600,1.97,,
1980-05-29,1.96,1.96,1.94,1.94,16800,1.94,,
1980-05-30,1.94,1.96,1.9,1.96,21600,1.94,,
1980-06-02,1.96,1.98,1.9,1.9,49200,1.92,,
1980-06-03,1.9,1.92,1.88,1.9,17400,1.9,,
1980-06-04,1.9,1.96,1.85,1.96,22200,1.92,,
1980-06-05,1.96,1.98,1.92,1.94,15600,1.94,,
1980-06-06,1.94,1.96,1.94,1.96,16200,1.95,,
1980-06-09,1.96,1.96,1.92,1.92,23400,1.93,,
1980-06-10,1.92,1.96,1.92,1.94,72000,1.94,,
1980-06-11,1.94,1.94,1.92,1.94,28800,1.93,,
1980-06-12,1.94,1.94,1.9,1.9,28800,1.91,,
1980-06-13,1.9,1.96,1.9,1.94,21000,1.94,,
1980-06-16,1.94,2.0,1.92,2.0,255000,1.97,,
1980-06-17,2.0,2.0,1.94,1.96,96000,1.96,,
1980-06-18,1.96,1.96,1.9,1.92,43800,1.91,,
1980-06-19,1.92,1.94,1.88,1.92,34200,1.91,,
1980-06-20,1.92,1.92,1.88,1.9,18000,1.89,,
