Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2019-05-10,42.0,45.0,41.06,41.57,186322626,42.99,-0.53,-78.43396226415094
2019-05-13,38.79,39.24,36.08,37.1,79444020,37.6,-0.53,-70.0
2019-05-14,38.31,39.96,36.85,39.96,46679287,38.21,-0.53,-75.39622641509433
2019-05-15,39.37,41.88,38.95,41.29,36116265,40.63,-0.53,-77.90566037735849
2019-05-16,41.48,44.06,41.25,43.0,38145533,42.85,-0.53,-81.13207547169812
2019-05-17,41.98,43.29,41.27,41.91,20233190,42.19,-0.53,-79.07547169811319
2019-05-20,41.19,41.68,39.46,41.59,29222332,41.05,-0.53,-78.47169811320755
2019-05-21,42.0,42.24,41.25,41.5,10802864,41.63,-0.53,-78.30188679245282
2019-05-22,41.05,41.28,40.5,41.25,9089520,40.88,-0.53,-77.83018867924528
2019-05-23,40.8,41.09,40.02,40.47,11120070,40.44,-0.53,-76.35849056603773
2019-05-24,41.28,41.51,40.5,41.51,8786861,41.06,-0.53,-78.32075471698113
2019-05-28,41.7,41.8,40.6,40.95,13391759,40.96,-0.53,-77.26415094339623
2019-05-29,40.52,40.71,39.1473,39.94,14060857,39.71,-0.53,-75.35849056603773
2019-05-30,40.07,40.38,39.5,39.8,26452164,40.03,-0.53,-75.0943396226415
2019-05-31,41.15,41.57,39.41,40.41,23251351,40.22,-0.53,-76.24528301886791
2019-06-03,40.7435,41.85,40.24,41.25,16605761,41.1,-0.53,-77.83018867924528
2019-06-04,42.56,42.88,40.7,42.75,23434654,42.03,-0.6,-71.25
2019-06-05,42.87,45.66,42.5,45.0,28610204,44.22,-0.6,-75.0
2019-06-06,45.0,45.75,44.28,44.92,16403797,44.93,-0.6,-74.86666666666667
2019-06-07,44.92,45.67,44.13,44.16,12654673,44.88,-0.6,-73.6
2019-06-10,44.02,44.59,42.53,42.61,11618808,43.39,-0.6,-71.01666666666667
2019-06-11,43.22,43.65,41.8,42.45,9095263,42.62,-0.6,-70.75000000000001
2019-06-12,42.52,42.65,41.71,42.17,5965750,42.18,-0.6,-70.28333333333335
2019-06-13,43.05,44.35,42.8,44.31,10179135,43.4,-0.6,-73.85000000000001
2019-06-14,44.75,44.8,43.11,43.23,7904191,43.74,-0.6,-72.05
2019-06-17,43.28,44.079,42.93,43.78,6558081,43.64,-0.6,-72.96666666666667
2019-06-18,44.3,44.89,43.75,43.86,7314004,44.3,-0.6,-73.10000000000001
2019-06-19,44.46,45.5,43.95,44.86,10331923,44.82,-0.6,-74.76666666666667
2019-06-20,45.03,45.29,43.51,43.86,9567802,44.31,-0.6,-73.10000000000001
