Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1998-01-30,5.1875,6.5625,5.125,6.375,18256800,6.02,,
1998-02-02,6.84375,9.3125,6.625,7.75,10127200,7.9,,
1998-02-03,8.25,8.78125,8.0,8.25,6244800,8.34,,
1998-02-04,8.21875,8.28125,7.625,7.90625,2106800,7.94,,
1998-02-05,8.0625,8.25,7.625,7.640625,890800,7.84,,
1998-02-06,7.671875,7.71875,6.875,6.96875,2846800,7.19,,
1998-02-09,6.875,7.0,6.40625,6.75,1944800,6.72,,
1998-02-10,6.6875,7.375,6.53125,7.0,1001200,6.97,,
1998-02-11,7.03125,7.4375,6.90625,7.4375,842400,7.26,,
1998-02-12,7.40625,7.90625,7.28125,7.78125,1111600,7.66,,
1998-02-13,7.84375,8.0,7.6875,7.75,544800,7.81,,
1998-02-17,7.84375,8.0,7.6875,7.8125,441600,7.83,,
1998-02-18,7.84375,7.875,7.71875,7.8125,246000,7.8,,
1998-02-19,7.875,7.96875,7.6875,7.6875,318400,7.78,,
1998-02-20,7.6875,8.0,7.6875,7.96875,349200,7.89,,
1998-02-23,7.6875,7.71875,7.21875,7.25,1409600,7.4,,
1998-02-24,7.40625,7.421875,6.6875,6.84375,2599200,6.98,,
1998-02-25,7.0,7.25,6.8125,7.25,1143200,7.1,,
1998-02-26,7.28125,7.28125,7.0625,7.21875,491200,7.19,,
1998-02-27,7.125,7.21875,7.125,7.15625,573600,7.17,,
1998-03-02,7.15625,7.203125,7.09375,7.109375,466400,7.14,,
1998-03-03,7.125,7.125,7.0,7.125,642400,7.08,,
1998-03-04,7.1875,7.1875,6.8125,6.898438,377600,6.97,,
1998-03-05,6.71875,6.875,6.625,6.671875,836800,6.72,,
1998-03-06,6.78125,7.125,6.6875,7.078125,454000,6.96,,
1998-03-09,6.96875,7.9375,6.96875,7.5625,1732400,7.49,,
1998-03-10,7.6875,8.28125,7.5625,8.265625,1844000,8.04,,
1998-03-11,8.40625,9.1875,8.34375,8.96875,2708000,8.83,,
1998-03-12,9.09375,9.65625,9.0,9.625,1700000,9.43,,
1998-03-13,9.6875,9.9375,9.03125,9.46875,1345600,9.48,,
1998-03-16,9.5625,11.4375,9.46875,11.1875,3122800,10.7,,
1998-03-17,11.125,11.71875,10.609375,11.085938,1907200,11.14,,
1998-03-18,10.875,11.125,10.65625,10.765625,800000,10.85,,
1998-03-19,10.8125,10.984375,10.53125,10.78125,312400,10.77,,
1998-03-20,10.65625,10.875,10.140625,10.296875,405200,10.44,,
1998-03-23,10.1875,11.21875,10.1875,10.78125,1090800,10.73,,
1998-03-24,11.125,11.53125,10.71875,11.125,1063600,11.13,,
1998-03-25,11.21875,11.25,10.609375,10.75,441600,10.87,,
1998-03-26,10.75,10.875,10.375,10.5,473600,10.58,,
1998-03-27,10.5625,10.875,10.40625,10.625,884400,10.64,,
1998-03-30,10.625,11.1875,10.5,10.875,868400,10.85,,
1998-03-31,11.0625,11.125,10.8125,11.0,714400,10.98,,
1998-04-01,11.09375,12.125,11.0,12.0,1110000,11.71,,
1998-04-02,11.8125,12.25,11.03125,11.0625,1066400,11.45,,
1998-04-03,11.4375,11.59375,10.59375,10.625,1367200,10.94,,
1998-04-06,10.78125,10.78125,10.21875,10.21875,656000,10.41,,
1998-04-07,10.15625,10.1875,9.25,9.734375,1047200,9.72,,
1998-04-08,9.71875,10.8125,9.71875,10.1875,977200,10.24,,
1998-04-09,10.875,11.21875,10.71875,11.0,922800,10.98,,
1998-04-13,11.25,11.5625,10.65625,11.21875,544400,11.15,,
1998-04-14,11.375,11.875,10.90625,10.96875,575200,11.25,,
1998-04-15,11.15625,11.15625,10.75,10.75,345600,10.89,,
1998-04-16,10.84375,10.90625,10.6875,10.75,302400,10.78,,
1998-04-17,10.75,10.8125,10.15625,10.59375,410800,10.52,,
1998-04-20,10.625,10.65625,10.4375,10.4375,493600,10.51,,
1998-04-21,10.4375,10.4375,9.625,10.1875,528000,10.08,,
1998-04-22,10.21875,10.40625,9.75,10.25,570800,10.14,,
1998-04-23,9.9375,10.125,9.46875,9.53125,904800,9.71,,
1998-04-24,9.65625,10.0,8.5,8.8125,2391200,9.1,,
1998-04-27,8.6875,9.3125,8.28125,9.28125,1166800,8.96,,
1998-04-28,9.6875,9.6875,8.78125,9.15625,932400,9.21,,
1998-04-29,9.0,9.125,8.65625,8.890625,585600,8.89,,
1998-04-30,9.28125,9.71875,9.15625,9.59375,626400,9.49,,
1998-05-01,9.5625,10.15625,9.5,10.0,331600,9.89,,
1998-05-04,10.03125,10.28125,9.5,9.625,523200,9.8,,
1998-05-05,9.40625,9.625,8.90625,9.015625,580800,9.18,,
1998-05-06,9.15625,9.21875,8.6875,8.921875,474400,8.94,,
1998-05-07,8.90625,9.0,8.6875,8.8125,218800,8.83,,
1998-05-08,8.875,9.03125,8.8125,8.875,242000,8.91,,
1998-05-11,8.96875,9.0,8.53125,8.75,412400,8.76,-0.0774,-113.04909560723515
1998-05-12,8.6875,8.84375,8.5625,8.6875,247200,8.7,-0.0774,-112.24160206718346
1998-05-13,8.5625,9.75,8.5625,9.5625,1270000,9.29,-0.0774,-123.54651162790698
1998-05-14,9.65625,9.6875,9.1875,9.3125,672000,9.4,-0.0774,-120.31653746770026
1998-05-15,9.3125,9.40625,8.9375,9.015625,511200,9.12,-0.0774,-116.48094315245478
1998-05-18,8.875,9.03125,8.71875,8.921875,1092000,8.89,-0.0774,-115.26970284237727
1998-05-19,8.96875,9.15625,8.75,8.96875,1105200,8.96,-0.0774,-115.87532299741602
1998-05-20,9.0,9.0625,8.9375,9.0625,83200,9.02,-0.0774,-117.08656330749355
1998-05-21,9.3125,9.5,9.0625,9.4375,2386000,9.33,-0.0774,-121.93152454780362
1998-05-22,9.71875,9.71875,8.65625,8.84375,605600,9.07,-0.0774,-114.26033591731267
1998-05-26,9.0,9.21875,8.5,8.625,435600,8.78,-0.0774,-111.43410852713178
1998-05-27,8.25,8.4375,8.0,8.125,956000,8.19,-0.0774,-104.97416020671835
1998-05-28,8.3125,8.3125,8.125,8.1875,302800,8.21,-0.0774,-105.78165374677003
1998-05-29,8.265625,8.265625,7.96875,7.984375,359600,8.07,-0.0774,-103.15729974160207
1998-06-01,7.90625,7.984375,7.21875,7.25,1269200,7.48,-0.0774,-93.66925064599484
1998-06-02,7.5,7.5,6.6875,7.03125,1304000,7.07,-0.0774,-90.84302325581396
1998-06-03,7.21875,7.4375,7.03125,7.125,336800,7.2,-0.0774,-92.05426356589147
1998-06-04,7.34375,7.375,7.15625,7.1875,223600,7.24,-0.0774,-92.86175710594316
1998-06-05,7.28125,7.375,7.1875,7.25,382800,7.27,-0.0774,-93.66925064599484
