Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1978-11-01,0.8973,0.8973,0.8973,0.8973,36526,0.8973,,
1978-11-02,0.99176,0.99176,0.99176,0.99176,30438,0.99176,,
1978-11-03,0.99176,0.99176,0.99176,0.99176,9793,0.99176,,
1978-11-06,1.18,1.18,1.18,1.18,14292,1.18,,
1978-11-07,1.13,1.13,1.13,1.13,2382,1.13,,
1978-11-08,1.18,1.18,1.18,1.18,1058,1.18,,
1978-11-09,1.18,1.18,1.18,1.18,6617,1.18,,
1978-11-10,1.18,1.18,1.18,1.18,2646,1.18,,
1978-11-13,1.13,1.13,1.13,1.13,13234,1.13,,
1978-11-14,1.04,1.04,1.04,1.04,2382,1.04,,
1978-11-15,0.8973,0.8973,0.8973,0.8973,21174,0.8973,,
1978-11-16,0.8973,0.8973,0.8973,0.8973,11116,0.8973,,
1978-11-17,0.85008,0.85008,0.85008,0.85008,20645,0.85008,,
1978-11-20,0.99176,0.99176,0.99176,0.99176,84962,0.99176,,
1978-11-21,0.8973,0.8973,0.8973,0.8973,20380,0.8973,,
1978-11-22,0.8973,0.8973,0.8973,0.8973,5028,0.8973,,
1978-11-24,0.85008,0.85008,0.85008,0.85008,3176,0.85008,,
1978-11-27,0.85008,0.85008,0.85008,0.85008,1323,0.85008,,
1978-11-28,0.85008,0.85008,0.85008,0.85008,6087,0.85008,,
1978-11-29,0.80285,0.80285,0.80285,0.80285,16674,0.80285,,
1978-11-30,0.80285,0.80285,0.80285,0.80285,7411,0.80285,,
1978-12-01,0.80285,0.80285,0.80285,0.80285,5028,0.80285,,
1978-12-04,0.80285,0.80285,0.80285,0.80285,3970,0.80285,,
1978-12-05,0.80285,0.80285,0.80285,0.80285,3970,0.80285,,
1978-12-06,0.75562,0.75562,0.75562,0.75562,26468,0.75562,,
1978-12-07,0.75562,0.75562,0.75562,0.75562,9528,0.75562,,
1978-12-08,0.75562,0.75562,0.75562,0.75562,4234,0.75562,,
1978-12-11,0.75562,0.75562,0.75562,0.75562,794,0.75562,,
1978-12-12,0.75562,0.75562,0.75562,0.75562,7675,0.75562,,
1978-12-13,0.7084,0.7084,0.7084,0.7084,57171,0.7084,,
1978-12-14,0.66117,0.66117,0.66117,0.66117,29909,0.66117,,
1978-12-15,0.56672,0.56672,0.56672,0.56672,52407,0.56672,,
1978-12-18,0.51949,0.51949,0.51949,0.51949,23292,0.51949,,
1978-12-19,0.56672,0.56672,0.56672,0.56672,10587,0.56672,,
1978-12-20,0.56689,0.56689,0.56689,0.56689,0,0.56689,,
1978-12-21,0.61394,0.61394,0.61394,0.61394,11646,0.61394,,
1978-12-22,0.75562,0.75562,0.75562,0.75562,10322,0.75562,,
1978-12-26,0.75562,0.75562,0.75562,0.75562,6881,0.75562,,
1978-12-27,0.7084,0.7084,0.7084,0.7084,9793,0.7084,,
1978-12-28,0.7084,0.7084,0.7084,0.7084,3176,0.7084,,
1978-12-29,0.7084,0.7084,0.7084,0.7084,13498,0.7084,,
1979-01-02,0.7084,0.7084,0.7084,0.7084,3440,0.7084,,
1979-01-03,0.7084,0.7084,0.7084,0.7084,3705,0.7084,,
1979-01-04,0.75562,0.75562,0.75562,0.75562,15086,0.75562,,
1979-01-05,0.7084,0.7084,0.7084,0.7084,10322,0.7084,,
1979-01-08,0.7084,0.7084,0.7084,0.7084,39966,0.7084,,
1979-01-09,0.7084,0.7084,0.7084,0.7084,21703,0.7084,,
1979-01-10,0.7084,0.7084,0.7084,0.7084,17998,0.7084,,
1979-01-11,0.7084,0.7084,0.7084,0.7084,30703,0.7084,,
1979-01-12,0.85008,0.85008,0.85008,0.85008,57435,0.85008,,
1979-01-15,0.85008,0.85008,0.85008,0.85008,16674,0.85008,,
1979-01-16,0.80285,0.80285,0.80285,0.80285,18792,0.80285,,
1979-01-17,0.75562,0.75562,0.75562,0.75562,7940,0.75562,,
1979-01-18,0.75562,0.75562,0.75562,0.75562,3970,0.75562,,
1979-01-19,0.80285,0.80285,0.80285,0.80285,18263,0.80285,,
1979-01-22,0.85008,0.85008,0.85008,0.85008,17998,0.85008,,
1979-01-23,0.94453,0.94453,0.94453,0.94453,31761,0.94453,,
1979-01-24,1.04,1.04,1.04,1.04,69876,1.04,,
1979-01-25,1.18,1.18,1.18,1.18,31761,1.18,,
1979-01-26,1.09,1.09,1.09,1.09,71199,1.09,,
1979-01-29,1.13,1.13,1.13,1.13,54259,1.13,,
1979-01-30,1.09,1.09,1.09,1.09,24350,1.09,,
1979-01-31,1.09,1.09,1.09,1.09,16939,1.09,,
1979-02-01,1.09,1.09,1.09,1.09,20380,1.09,,
1979-02-02,1.09,1.09,1.09,1.09,46848,1.09,,
1979-02-05,0.99176,0.99176,0.99176,0.99176,67493,0.99176,,
1979-02-06,1.04,1.04,1.04,1.04,8734,1.04,,
1979-02-07,1.04,1.04,1.04,1.04,15616,1.04,,
1979-02-08,1.04,1.04,1.04,1.04,10322,1.04,,
1979-02-09,1.04,1.04,1.04,1.04,25409,1.04,,
1979-02-12,1.04,1.04,1.04,1.04,2911,1.04,,
1979-02-13,0.99176,0.99176,0.99176,0.99176,16939,0.99176,,
1979-02-14,0.99176,0.99176,0.99176,0.99176,6881,0.99176,,
1979-02-15,0.99176,0.99176,0.99176,0.99176,105872,0.99176,,
1979-02-16,0.99176,0.99176,0.99176,0.99176,44466,0.99176,,
1979-02-20,0.94453,0.94453,0.94453,0.94453,18792,0.94453,,
1979-02-21,0.94453,0.94453,0.94453,0.94453,45789,0.94453,,
1979-02-22,0.8973,0.8973,0.8973,0.8973,25938,0.8973,,
1979-02-23,0.94453,0.94453,0.94453,0.94453,28585,0.94453,,
1979-02-26,0.8973,0.8973,0.8973,0.8973,23556,0.8973,,
1979-02-27,0.85008,0.85008,0.85008,0.85008,18527,0.85008,,
1979-02-28,0.85008,0.85008,0.85008,0.85008,4764,0.85008,,
1979-03-01,0.80285,0.80285,0.80285,0.80285,21174,0.80285,,
1979-03-02,0.94453,0.94453,0.94453,0.94453,82580,0.94453,,
1979-03-05,0.94453,0.94453,0.94453,0.94453,41819,0.94453,,
1979-03-06,0.8973,0.8973,0.8973,0.8973,15880,0.8973,,
1979-03-07,0.85008,0.85008,0.85008,0.85008,23292,0.85008,,
1979-03-08,0.85008,0.85008,0.85008,0.85008,13234,0.85008,,
1979-03-09,0.85008,0.85008,0.85008,0.85008,16145,0.85008,,
1979-03-12,0.8973,0.8973,0.8973,0.8973,18792,0.8973,,
1979-03-13,0.85008,0.85008,0.85008,0.85008,20115,0.85008,,
1979-03-14,0.85008,0.85008,0.85008,0.85008,10322,0.85008,,
1979-03-15,0.80285,0.80285,0.80285,0.80285,13234,0.80285,,
1979-03-16,0.80285,0.80285,0.80285,0.80285,10057,0.80285,,
1979-03-19,0.80285,0.80285,0.80285,0.80285,12175,0.80285,,
1979-03-20,0.85008,0.85008,0.85008,0.85008,10851,0.85008,,
1979-03-21,0.94453,0.94453,0.94453,0.94453,29909,0.94453,,
1979-03-22,0.94453,0.94453,0.94453,0.94453,48172,0.94453,,
