Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1991-08-15,3.888889,4.166667,3.888889,4.055556,10640250,4.04,0.0089,455.6804494382023
1991-08-16,4.0,4.111111,3.944444,4.0,2114550,4.02,0.0089,449.43820224719104
1991-08-19,3.722222,3.833333,3.555556,3.777778,1482750,3.72,0.0089,424.4694382022472
1991-08-20,3.833333,3.833333,3.722222,3.722222,1048500,3.76,0.0089,418.22719101123596
1991-08-21,3.777778,4.055556,3.777778,4.0,1281150,3.94,0.0089,449.43820224719104
1991-08-22,4.055556,4.111111,4.0,4.111111,790650,4.07,0.0089,461.92258426966293
1991-08-23,4.111111,4.166667,4.0,4.111111,800100,4.09,0.0089,461.92258426966293
1991-08-26,4.055556,4.194444,4.0,4.0,526050,4.06,0.0089,449.43820224719104
1991-08-27,4.083333,4.111111,4.0,4.0,168750,4.04,0.0089,449.43820224719104
1991-08-28,4.055556,4.111111,4.0,4.0,1263150,4.04,0.0089,449.43820224719104
1991-08-29,4.055556,4.166667,4.055556,4.055556,1110600,4.09,0.0089,455.6804494382023
1991-08-30,4.055556,4.222222,4.055556,4.111111,50850,4.13,0.0089,461.92258426966293
1991-09-03,4.166667,4.166667,4.055556,4.055556,342450,4.09,0.0089,455.6804494382023
1991-09-04,4.055556,4.166667,4.055556,4.055556,565200,4.09,0.0089,455.6804494382023
1991-09-05,4.166667,4.166667,4.055556,4.055556,734400,4.09,0.0089,455.6804494382023
1991-09-06,4.111111,4.166667,3.833333,3.916667,510300,3.97,0.0089,440.0749438202247
1991-09-09,4.0,4.0,3.833333,3.944444,25650,3.93,0.0089,443.19595505617974
1991-09-10,3.861111,4.0,3.833333,3.833333,476100,3.89,0.0089,430.7115730337079
1991-09-11,3.916667,4.0,3.833333,3.916667,246600,3.92,0.0089,440.0749438202247
1991-09-12,4.0,4.0,3.833333,3.944444,746100,3.93,0.0089,443.19595505617974
1991-09-13,3.833333,4.0,3.833333,3.833333,165600,3.89,0.0089,430.7115730337079
1991-09-16,4.0,4.0,3.833333,3.972222,230850,3.94,0.0089,446.3170786516854
1991-09-17,4.0,4.0,3.888889,3.972222,437850,3.95,0.0089,446.3170786516854
1991-09-18,4.0,4.0,3.888889,3.916667,199350,3.94,0.0089,440.0749438202247
1991-09-19,3.888889,4.055556,3.888889,3.944444,216450,3.96,0.0089,443.19595505617974
1991-09-20,3.944444,4.111111,3.944444,4.055556,127800,4.04,0.0089,455.6804494382023
1991-09-23,4.166667,4.166667,4.055556,4.166667,137700,4.13,0.0089,468.1648314606742
1991-09-24,4.055556,4.166667,4.055556,4.055556,78300,4.09,0.0089,455.6804494382023
1991-09-25,4.166667,4.166667,4.055556,4.055556,49050,4.09,0.0089,455.6804494382023
1991-09-26,4.055556,4.111111,4.055556,4.055556,39150,4.07,0.0089,455.6804494382023
1991-09-27,4.111111,4.166667,4.055556,4.055556,37350,4.09,0.0089,455.6804494382023
1991-09-30,4.166667,4.166667,3.833333,3.916667,287550,3.97,0.0099,395.62292929292926
1991-10-01,3.944444,3.944444,3.833333,3.888889,99900,3.89,0.0099,392.8170707070707
1991-10-02,3.833333,3.944444,3.833333,3.944444,20250,3.91,0.0099,398.42868686868684
1991-10-03,3.833333,3.944444,3.777778,3.888889,307800,3.87,0.0099,392.8170707070707
1991-10-04,3.777778,3.888889,3.666667,3.666667,124200,3.74,0.0099,370.370404040404
1991-10-07,3.777778,3.777778,3.611111,3.722222,514800,3.7,0.0099,375.9820202020202
1991-10-08,3.638889,3.777778,3.611111,3.666667,103050,3.69,0.0099,370.370404040404
1991-10-09,3.777778,3.777778,3.666667,3.666667,410850,3.7,0.0099,370.370404040404
1991-10-10,3.777778,3.777778,3.666667,3.722222,310950,3.72,0.0099,375.9820202020202
1991-10-11,3.777778,3.777778,3.666667,3.666667,13950,3.7,0.0099,370.370404040404
1991-10-14,3.777778,3.777778,3.666667,3.666667,22950,3.7,0.0099,370.370404040404
1991-10-15,3.666667,3.777778,3.611111,3.666667,142650,3.69,0.0099,370.370404040404
1991-10-16,3.555556,3.722222,3.5,3.722222,255600,3.65,0.0099,375.9820202020202
1991-10-17,3.611111,3.722222,3.611111,3.666667,517500,3.67,0.0099,370.370404040404
1991-10-18,3.722222,3.722222,3.611111,3.611111,44100,3.65,0.0099,364.7586868686869
1991-10-21,3.722222,3.777778,3.611111,3.777778,109800,3.72,0.0099,381.5937373737373
1991-10-22,3.666667,3.888889,3.666667,3.861111,103050,3.81,0.0099,390.0112121212121
1991-10-23,3.888889,3.888889,3.722222,3.75,60300,3.79,0.0099,378.78787878787875
1991-10-24,3.722222,3.888889,3.722222,3.888889,370350,3.83,0.0099,392.8170707070707
1991-10-25,3.888889,3.888889,3.666667,3.666667,37350,3.74,0.0099,370.370404040404
1991-10-28,3.888889,3.888889,3.666667,3.833333,37800,3.8,0.0099,387.20535353535354
1991-10-29,3.888889,3.888889,3.722222,3.722222,202050,3.78,0.0099,375.9820202020202
1991-10-30,3.722222,3.888889,3.666667,3.666667,58500,3.74,0.0099,370.370404040404
1991-10-31,3.666667,3.833333,3.666667,3.666667,109350,3.72,0.0099,370.370404040404
1991-11-01,3.888889,3.888889,3.666667,3.805556,59850,3.79,0.0099,384.39959595959596
1991-11-04,3.833333,3.833333,3.722222,3.722222,31050,3.76,0.0099,375.9820202020202
1991-11-05,3.722222,3.722222,3.722222,3.722222,21600,3.722222,0.0099,375.9820202020202
1991-11-06,3.833333,3.833333,3.722222,3.722222,18900,3.76,0.0099,375.9820202020202
1991-11-07,3.722222,3.833333,3.722222,3.722222,173700,3.76,0.0099,375.9820202020202
1991-11-08,3.722222,3.861111,3.722222,3.833333,140850,3.81,0.0099,387.20535353535354
1991-11-11,3.722222,3.888889,3.722222,3.888889,176400,3.83,0.0099,392.8170707070707
1991-11-12,3.777778,3.944444,3.777778,3.944444,316800,3.89,0.0099,398.42868686868684
1991-11-13,3.833333,4.0,3.833333,4.0,368550,3.94,0.0099,404.040404040404
1991-11-14,4.0,4.055556,3.888889,3.944444,111600,3.96,0.0099,398.42868686868684
1991-11-15,4.055556,4.055556,3.888889,3.888889,45000,3.94,0.0099,392.8170707070707
1991-11-18,3.833333,4.055556,3.833333,3.833333,759600,3.91,0.0099,387.20535353535354
1991-11-19,4.0,4.0,3.833333,3.888889,377550,3.91,0.0099,392.8170707070707
1991-11-20,4.0,4.0,3.833333,3.944444,76950,3.93,0.0099,398.42868686868684
1991-11-21,4.0,4.0,3.833333,3.833333,49950,3.89,0.0099,387.20535353535354
1991-11-22,3.833333,3.944444,3.833333,3.833333,64800,3.87,0.0099,387.20535353535354
1991-11-25,3.833333,3.833333,3.833333,3.833333,14400,3.833333,0.0099,387.20535353535354
1991-11-26,3.833333,3.944444,3.833333,3.833333,165150,3.87,0.0099,387.20535353535354
1991-11-27,3.777778,3.944444,3.777778,3.944444,98100,3.89,0.0099,398.42868686868684
1991-11-29,3.944444,3.944444,3.833333,3.833333,22050,3.87,0.0099,387.20535353535354
1991-12-02,3.777778,3.833333,3.777778,3.777778,185400,3.8,0.0099,381.5937373737373
1991-12-03,3.777778,3.944444,3.777778,3.833333,44550,3.85,0.0099,387.20535353535354
1991-12-04,3.833333,3.888889,3.833333,3.888889,41850,3.87,0.0099,392.8170707070707
1991-12-05,3.833333,3.944444,3.833333,3.944444,23850,3.91,0.0099,398.42868686868684
1991-12-06,3.888889,3.944444,3.833333,3.833333,25650,3.87,0.0099,387.20535353535354
1991-12-09,3.861111,3.944444,3.777778,3.777778,500850,3.83,0.0099,381.5937373737373
1991-12-10,3.833333,3.833333,3.611111,3.722222,653850,3.72,0.0099,375.9820202020202
1991-12-11,3.555556,3.666667,3.277778,3.277778,2127150,3.41,0.0099,331.08868686868686
1991-12-12,3.444444,3.444444,3.333333,3.416667,304650,3.4,0.0099,345.11787878787874
1991-12-13,3.5,3.5,3.333333,3.333333,727200,3.39,0.0099,336.700303030303
1991-12-16,3.305556,3.444444,3.277778,3.444444,236700,3.39,0.0099,347.9236363636363
1991-12-17,3.333333,3.444444,3.333333,3.444444,314550,3.41,0.0099,347.9236363636363
1991-12-18,3.361111,3.444444,3.277778,3.388889,139950,3.37,0.0099,342.31202020202016
1991-12-19,3.388889,3.388889,3.222222,3.388889,60750,3.33,0.0099,342.31202020202016
1991-12-20,3.444444,3.444444,3.277778,3.388889,429750,3.37,0.0099,342.31202020202016
1991-12-23,3.305556,3.388889,3.277778,3.333333,364950,3.33,0.0099,336.700303030303
1991-12-24,3.388889,3.444444,3.277778,3.444444,891900,3.39,0.0099,347.9236363636363
1991-12-26,3.333333,3.555556,3.333333,3.444444,205200,3.44,0.0099,347.9236363636363
1991-12-27,3.444444,3.555556,3.416667,3.555556,206100,3.51,0.0099,359.14707070707067
1991-12-30,3.555556,3.611111,3.444444,3.611111,285750,3.56,0.0099,364.7586868686869
1991-12-31,3.611111,3.722222,3.555556,3.722222,326700,3.67,0.048,77.54629166666666
1992-01-02,3.611111,3.833333,3.611111,3.833333,172350,3.76,0.048,79.86110416666666
1992-01-03,3.833333,3.888889,3.722222,3.777778,256950,3.8,0.048,78.70370833333334
1992-01-06,3.777778,3.944444,3.777778,3.944444,108900,3.89,0.048,82.17591666666667
1992-01-07,3.833333,4.055556,3.833333,3.944444,106650,3.94,0.048,82.17591666666667
1992-01-08,4.055556,4.611111,3.944444,4.444444,272250,4.33,0.048,92.59258333333332
1992-01-09,4.611111,4.777778,4.5,4.611111,902700,4.63,0.048,96.0648125
1992-01-10,4.722222,4.722222,4.5,4.5,374850,4.57,0.048,93.75
1992-01-13,4.666667,4.666667,4.5,4.5,119250,4.56,0.048,93.75
1992-01-14,4.666667,4.666667,4.444444,4.444444,86850,4.52,0.048,92.59258333333332
1992-01-15,4.444444,4.555556,4.388889,4.555556,185400,4.5,0.048,94.90741666666666
1992-01-16,4.527778,4.777778,4.5,4.777778,1507500,4.69,0.048,99.53704166666665
1992-01-17,4.777778,4.777778,4.666667,4.666667,72450,4.7,0.048,97.22222916666666
1992-01-20,4.861111,4.944444,4.722222,4.722222,379350,4.8,0.048,98.379625
1992-01-21,4.888889,4.888889,4.388889,4.5,624150,4.59,0.048,93.75
1992-01-22,4.555556,4.722222,4.388889,4.722222,317700,4.61,0.048,98.379625
1992-01-23,4.722222,4.722222,4.555556,4.583333,102150,4.62,0.048,95.48610416666666
1992-01-24,4.555556,4.666667,4.555556,4.666667,44550,4.63,0.048,97.22222916666666
1992-01-27,4.666667,4.722222,4.555556,4.722222,58050,4.67,0.048,98.379625
1992-01-28,4.555556,4.722222,4.555556,4.666667,72450,4.65,0.048,97.22222916666666
1992-01-29,4.555556,4.666667,4.5,4.5,179100,4.56,0.048,93.75
1992-01-30,4.5,4.666667,4.5,4.5,58050,4.56,0.048,93.75
1992-01-31,4.611111,4.611111,4.5,4.611111,28800,4.57,0.048,96.0648125
1992-02-03,4.611111,4.666667,4.5,4.611111,122400,4.59,0.048,96.0648125
1992-02-04,4.5,4.666667,4.388889,4.388889,571500,4.48,0.048,91.4351875
1992-02-05,4.388889,4.555556,4.333333,4.555556,1183050,4.48,0.048,94.90741666666666
1992-02-06,4.555556,4.555556,4.388889,4.388889,32850,4.44,0.048,91.4351875
1992-02-07,4.388889,4.555556,4.388889,4.444444,55800,4.46,0.048,92.59258333333332
1992-02-10,4.5,4.5,4.388889,4.5,15750,4.46,0.048,93.75
1992-02-11,4.5,4.5,4.388889,4.388889,81000,4.43,0.048,91.4351875
1992-02-12,4.5,4.5,4.388889,4.5,101700,4.46,0.048,93.75
1992-02-13,4.444444,4.5,4.388889,4.5,11250,4.46,0.048,93.75
1992-02-14,4.5,4.5,4.388889,4.388889,9450,4.43,0.048,91.4351875
1992-02-18,4.5,4.5,4.388889,4.444444,22950,4.44,0.048,92.59258333333332
1992-02-19,4.388889,4.444444,4.222222,4.25,124650,4.31,0.048,88.54166666666667
1992-02-20,4.222222,4.444444,4.222222,4.416667,287550,4.36,0.048,92.01389583333334
1992-02-21,4.333333,4.444444,4.277778,4.333333,72900,4.35,0.048,90.27777083333332
1992-02-24,4.333333,4.333333,4.25,4.333333,44100,4.31,0.048,90.27777083333332
1992-02-25,4.222222,4.277778,4.166667,4.166667,92250,4.2,0.048,86.80556250000001
1992-02-26,4.277778,4.333333,4.166667,4.333333,136800,4.28,0.048,90.27777083333332
1992-02-27,4.333333,4.388889,4.277778,4.333333,216450,4.33,0.048,90.27777083333332
1992-02-28,4.444444,4.444444,4.333333,4.444444,7200,4.41,0.048,92.59258333333332
1992-03-02,4.333333,4.444444,4.333333,4.388889,36900,4.39,0.048,91.4351875
1992-03-03,4.388889,4.388889,4.277778,4.388889,15750,4.35,0.048,91.4351875
1992-03-04,4.333333,4.388889,4.277778,4.388889,43650,4.35,0.048,91.4351875
1992-03-05,4.305556,4.388889,4.277778,4.277778,129150,4.31,0.048,89.120375
1992-03-06,4.222222,4.277778,4.166667,4.166667,77850,4.2,0.048,86.80556250000001
1992-03-09,4.111111,4.222222,4.111111,4.138889,48150,4.16,0.048,86.22685416666666
1992-03-10,4.222222,4.277778,4.222222,4.277778,1800,4.26,0.048,89.120375
1992-03-11,4.277778,4.277778,4.111111,4.277778,131400,4.22,0.048,89.120375
1992-03-12,4.277778,4.277778,4.111111,4.111111,2250,4.17,0.048,85.64814583333333
1992-03-13,4.166667,4.277778,4.111111,4.277778,108900,4.22,0.048,89.120375
1992-03-16,4.166667,4.166667,4.111111,4.166667,165600,4.15,0.048,86.80556250000001
1992-03-17,4.055556,4.055556,4.055556,4.055556,1800,4.055556,0.048,84.49075
1992-03-18,4.111111,4.277778,4.111111,4.222222,54000,4.2,0.048,87.96295833333333
1992-03-19,4.222222,4.222222,4.138889,4.222222,157500,4.19,0.048,87.96295833333333
1992-03-20,4.222222,4.222222,4.111111,4.222222,26550,4.19,0.048,87.96295833333333
1992-03-23,4.111111,4.166667,4.111111,4.166667,13950,4.15,0.048,86.80556250000001
1992-03-24,4.111111,4.222222,4.111111,4.166667,13950,4.17,0.048,86.80556250000001
1992-03-25,4.055556,4.111111,4.055556,4.055556,16200,4.07,0.048,84.49075
1992-03-26,4.166667,4.166667,4.055556,4.166667,72900,4.13,0.048,86.80556250000001
1992-03-27,4.055556,4.055556,4.055556,4.055556,4950,4.055556,0.048,84.49075
1992-03-30,4.055556,4.222222,4.055556,4.055556,159750,4.11,0.048,84.49075
1992-03-31,4.194444,4.222222,4.055556,4.055556,212400,4.11,0.0099,409.6521212121212
1992-04-01,4.166667,4.166667,4.055556,4.055556,63000,4.09,0.0099,409.6521212121212
1992-04-02,4.166667,4.166667,4.055556,4.138889,34200,4.12,0.0099,418.0695959595959
1992-04-03,4.055556,4.111111,4.055556,4.111111,47250,4.09,0.0099,415.26373737373734
1992-04-06,4.055556,4.166667,4.055556,4.055556,31950,4.09,0.0099,409.6521212121212
