Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-10-01,22.38,22.38,22.38,22.38,4500,22.38,,
1968-10-03,22.25,22.38,22.25,22.25,14000,22.2825,,
1968-10-04,22.25,22.25,22.25,22.25,7000,22.25,,
1968-10-07,22.25,22.38,22.25,22.38,7600,22.315,,
1968-10-08,22.13,22.38,22.13,22.13,29200,22.1925,,
1968-10-10,22.13,22.25,22.13,22.25,8900,22.19,,
1968-10-11,22.13,22.25,22.13,22.13,4900,22.16,,
1968-10-14,22.13,22.25,22.13,22.25,16700,22.19,,
1968-10-15,22.25,22.25,22.25,22.25,7400,22.25,,
1968-10-17,22.0,22.25,22.0,22.0,30700,22.0625,,
1968-10-18,22.0,22.0,22.0,22.0,8800,22.0,,
1968-10-21,21.75,22.0,21.75,21.75,9900,21.8125,,
1968-10-22,21.75,22.0,21.75,22.0,5900,21.875,,
1968-10-24,21.5,22.0,21.5,21.5,17700,21.625,,
1968-10-25,21.5,21.63,21.5,21.63,10100,21.565,,
1968-10-28,21.5,21.63,21.5,21.5,10400,21.5325,,
1968-10-29,21.5,21.63,21.5,21.63,18600,21.565,,
1968-10-31,21.38,21.63,21.38,21.38,44700,21.4425,,
1968-11-01,21.38,21.38,21.38,21.38,16200,21.38,,
1968-11-04,21.38,21.75,21.38,21.75,21000,21.565,,
1968-11-06,21.63,21.75,21.63,21.63,19600,21.66,,
1968-11-07,21.63,21.63,21.63,21.63,13800,21.63,,
1968-11-08,21.63,21.75,21.63,21.75,10100,21.69,,
1968-11-12,21.75,22.5,21.75,22.5,24100,22.125,,
1968-11-13,22.5,23.38,22.5,23.38,20900,22.94,,
1968-11-14,23.38,23.5,23.38,23.5,11100,23.44,,
1968-11-15,23.25,23.5,23.25,23.25,9800,23.3125,,
1968-11-18,23.25,24.0,23.25,24.0,15600,23.625,,
1968-11-19,23.88,24.0,23.88,23.88,9400,23.91,,
1968-11-21,23.75,23.88,23.75,23.75,11900,23.7825,,
1968-11-22,23.5,23.75,23.5,23.5,8600,23.5625,,
1968-11-25,23.5,23.63,23.5,23.63,5700,23.565,,
1968-11-26,23.63,23.88,23.63,23.88,7800,23.755,,
1968-11-27,23.63,23.88,23.63,23.63,9600,23.6925,,
1968-11-29,23.63,23.75,23.63,23.75,9600,23.69,,
1968-12-02,23.63,23.75,23.63,23.63,14700,23.66,,
1968-12-03,23.63,23.75,23.63,23.75,32700,23.69,,
1968-12-05,23.75,23.75,23.75,23.75,39100,23.75,,
1968-12-06,23.63,23.75,23.63,23.63,15800,23.66,,
1968-12-09,23.63,23.75,23.63,23.75,17500,23.69,,
1968-12-10,23.75,23.75,23.75,23.75,12500,23.75,,
1968-12-12,23.38,23.75,23.38,23.38,60300,23.4725,,
1968-12-13,23.25,23.38,23.25,23.25,17900,23.2825,,
1968-12-16,22.63,23.25,22.63,22.63,15000,22.785,,
1968-12-17,22.13,22.63,22.13,22.13,31000,22.255,,
1968-12-19,22.0,22.13,22.0,22.0,28700,22.0325,,
1968-12-20,21.88,22.0,21.88,21.88,25900,21.91,,
1968-12-23,21.88,21.88,21.88,21.88,30000,21.88,,
1968-12-24,21.88,22.0,21.88,22.0,12600,21.94,,
1968-12-26,22.0,22.0,22.0,22.0,13900,22.0,,
1968-12-27,22.0,22.25,22.0,22.25,12900,22.125,,
1968-12-30,21.88,22.25,21.88,21.88,17400,21.9725,,
1968-12-31,21.88,22.38,21.88,22.38,17500,22.13,,
1969-01-02,22.38,22.63,22.38,22.63,8400,22.505,,
1969-01-03,22.63,23.0,22.63,23.0,12800,22.815,,
1969-01-06,22.88,23.0,22.88,22.88,17300,22.91,,
1969-01-07,22.75,22.88,22.75,22.75,13400,22.7825,,
1969-01-08,22.13,22.75,22.13,22.13,12100,22.285,,
1969-01-09,22.13,22.75,22.13,22.75,9000,22.44,,
1969-01-10,22.5,22.75,22.5,22.5,13700,22.5625,,
1969-01-13,22.5,22.75,22.5,22.75,59400,22.625,,
1969-01-14,22.25,22.75,22.25,22.25,11400,22.375,,
1969-01-15,22.25,22.25,22.25,22.25,9800,22.25,,
1969-01-16,22.25,22.38,22.25,22.38,7900,22.315,,
1969-01-17,22.38,22.5,22.38,22.5,11200,22.44,,
1969-01-20,22.38,22.5,22.38,22.38,8800,22.41,,
1969-01-21,22.38,22.63,22.38,22.63,9000,22.505,,
1969-01-22,22.38,22.63,22.38,22.38,11700,22.4425,,
1969-01-23,22.38,22.38,22.38,22.38,13800,22.38,,
1969-01-24,22.38,22.38,22.38,22.38,11500,22.38,,
1969-01-27,22.38,22.38,22.38,22.38,8500,22.38,,
1969-01-28,22.38,22.5,22.38,22.5,6200,22.44,,
1969-01-29,22.5,22.75,22.5,22.75,12000,22.625,,
1969-01-30,22.75,22.75,22.75,22.75,18300,22.75,,
1969-01-31,22.75,22.88,22.75,22.88,16500,22.815,,
1969-02-03,22.88,23.13,22.88,23.13,24000,23.005,,
1969-02-04,23.13,23.13,23.13,23.13,14800,23.13,,
1969-02-05,23.13,23.5,23.13,23.5,13800,23.315,,
1969-02-06,23.13,23.5,23.13,23.13,73000,23.2225,,
1969-02-07,23.13,23.38,23.13,23.38,10500,23.255,,
1969-02-11,23.38,23.38,23.38,23.38,13000,23.38,,
1969-02-12,23.13,23.38,23.13,23.13,14900,23.1925,,
1969-02-13,23.13,23.13,23.13,23.13,10200,23.13,,
1969-02-14,23.0,23.13,23.0,23.0,14700,23.0325,,
1969-02-17,23.0,23.25,23.0,23.25,7800,23.125,,
1969-02-18,22.75,23.25,22.75,22.75,9500,22.875,,
1969-02-19,22.75,22.88,22.75,22.88,10300,22.815,,
1969-02-20,22.75,22.88,22.75,22.75,8600,22.7825,,
1969-02-24,22.5,22.75,22.5,22.5,8700,22.5625,,
1969-02-25,22.13,22.5,22.13,22.13,24300,22.2225,,
1969-02-26,21.63,22.13,21.63,21.63,8800,21.755,,
1969-02-27,21.63,21.75,21.63,21.75,6500,21.69,,
1969-02-28,21.75,22.25,21.75,22.25,9400,22.0,,
1969-03-03,22.0,22.25,22.0,22.0,11800,22.0625,,
1969-03-04,22.0,22.0,22.0,22.0,8500,22.0,,
1969-03-05,22.0,22.25,22.0,22.25,10000,22.125,,
1969-03-06,22.25,22.38,22.25,22.38,9300,22.315,,
1969-03-07,22.13,22.38,22.13,22.13,10700,22.1925,,
1969-03-10,22.13,22.25,22.13,22.25,6500,22.19,,
1969-03-11,22.0,22.25,22.0,22.0,7800,22.0625,,
1969-03-12,21.75,22.0,21.75,21.75,11500,21.8125,,
1969-03-13,21.63,21.75,21.63,21.63,9000,21.66,,
1969-03-14,21.63,21.75,21.63,21.75,5900,21.69,,
1969-03-17,21.5,21.75,21.5,21.5,12400,21.5625,,
1969-03-18,21.38,21.5,21.38,21.38,9100,21.41,,
1969-03-19,21.25,21.38,21.25,21.25,10000,21.2825,,
1969-03-20,21.25,21.38,21.25,21.38,10500,21.315,,
1969-03-21,21.38,21.5,21.38,21.5,7600,21.44,,
1969-03-24,21.5,21.5,21.5,21.5,4200,21.5,,
1969-03-25,21.5,21.75,21.5,21.75,8500,21.625,,
1969-03-26,21.5,21.75,21.5,21.5,3600,21.5625,,
1969-03-27,21.5,21.63,21.5,21.63,9600,21.565,,
1969-03-28,21.63,21.75,21.63,21.75,6900,21.69,,
1969-04-01,21.63,21.75,21.63,21.63,10500,21.66,,
1969-04-02,21.5,21.63,21.5,21.5,14000,21.5325,,
1969-04-03,21.5,21.5,21.5,21.5,7000,21.5,,
1969-04-07,21.5,21.5,21.5,21.5,14600,21.5,,
1969-04-08,21.5,21.5,21.5,21.5,8300,21.5,,
1969-04-09,21.5,21.63,21.5,21.63,8000,21.565,,
1969-04-10,21.5,21.63,21.5,21.5,22800,21.5325,,
1969-04-11,21.38,21.5,21.38,21.38,11800,21.41,,
1969-04-14,21.38,21.63,21.38,21.63,14000,21.505,,
1969-04-15,21.38,21.63,21.38,21.38,9600,21.4425,,
1969-04-16,21.38,21.63,21.38,21.63,5900,21.505,,
1969-04-17,21.25,21.63,21.25,21.25,7200,21.345,,
1969-04-18,21.25,21.38,21.25,21.38,6600,21.315,,
1969-04-21,21.38,21.63,21.38,21.63,4300,21.505,,
1969-04-22,21.5,21.63,21.5,21.5,5000,21.5325,,
1969-04-23,21.5,21.5,21.5,21.5,29300,21.5,,
1969-04-24,21.5,21.5,21.5,21.5,5800,21.5,,
1969-04-25,21.13,21.5,21.13,21.13,9100,21.2225,,
1969-04-28,21.13,21.13,21.13,21.13,8300,21.13,,
1969-04-29,21.0,21.13,21.0,21.0,15400,21.0325,,
1969-04-30,21.0,21.25,21.0,21.25,12000,21.125,,
1969-05-01,21.25,21.25,21.25,21.25,10600,21.25,,
1969-05-02,21.25,21.5,21.25,21.5,7000,21.375,,
1969-05-05,21.5,21.75,21.5,21.75,8200,21.625,,
1969-05-06,21.25,21.75,21.25,21.25,12100,21.375,,
1969-05-07,21.13,21.25,21.13,21.13,11100,21.16,,
1969-05-08,21.13,21.5,21.13,21.5,6200,21.315,,
1969-05-09,21.25,21.5,21.25,21.25,8600,21.3125,,
1969-05-12,21.25,21.25,21.25,21.25,7400,21.25,,
1969-05-13,21.25,21.25,21.25,21.25,7300,21.25,,
1969-05-14,21.25,21.38,21.25,21.38,9700,21.315,,
