Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,0.0,35.13,34.31,34.31,5800,34.58,,
1962-01-03,34.31,34.75,34.06,34.25,10200,34.35,,
1962-01-04,34.25,34.31,33.75,33.75,8800,33.94,,
1962-01-05,33.75,33.75,32.63,33.0,11400,33.08,,
1962-01-08,33.0,33.19,32.0,32.75,17200,32.65,,
1962-01-09,32.75,32.81,32.38,32.5,8800,32.56,,
1962-01-10,32.5,33.0,32.5,33.0,7400,32.88,,
1962-01-11,33.0,33.0,32.63,32.94,15400,32.85,,
1962-01-12,32.94,33.44,32.94,33.44,7800,33.29,,
1962-01-15,33.44,33.44,33.0,33.0,11000,33.08,,
1962-01-16,33.0,33.0,32.75,32.88,7400,32.88,,
1962-01-17,32.88,33.31,32.88,32.94,8000,33.06,,
1962-01-18,32.94,33.38,32.88,33.13,14000,33.13,,
1962-01-19,33.13,33.38,33.06,33.13,6800,33.19,,
1962-01-22,33.13,33.25,32.81,32.88,7600,32.98,,
1962-01-23,32.88,33.06,32.81,32.88,9200,32.92,,
1962-01-24,32.88,32.94,32.69,32.94,6600,32.85,,
1962-01-25,32.94,33.0,32.75,32.88,7000,32.88,,
1962-01-26,32.88,33.13,32.44,32.44,9000,32.67,,
1962-01-29,32.44,32.44,32.06,32.31,5400,32.25,,
1962-01-30,32.31,32.44,32.19,32.44,7000,32.35,,
1962-01-31,32.44,32.5,32.38,32.5,8400,32.46,,
1962-02-01,32.5,32.69,32.38,32.63,10600,32.56,,
1962-02-02,32.63,32.69,32.44,32.5,13200,32.54,,
1962-02-05,32.5,32.75,32.38,32.56,16200,32.56,,
1962-02-06,32.56,32.88,32.5,32.88,13000,32.75,,
1962-02-07,32.88,33.75,32.88,33.63,9400,33.56,,
1962-02-08,33.63,34.5,33.63,34.38,9800,34.25,,
1962-02-09,34.38,34.5,34.13,34.5,5800,34.38,,
1962-02-12,34.5,34.5,34.31,34.38,1400,34.38,,
1962-02-13,34.38,34.56,34.13,34.38,12200,34.35,,
1962-02-14,34.38,34.63,34.13,34.5,10000,34.42,,
1962-02-15,34.5,35.31,34.5,35.25,8000,35.06,,
1962-02-16,35.25,35.25,34.94,34.94,5400,35.04,,
1962-02-19,34.94,35.0,34.69,34.69,6000,34.79,,
1962-02-20,34.69,34.94,34.38,34.94,7800,34.75,,
1962-02-21,34.94,35.06,34.75,34.75,2800,34.85,,
1962-02-23,34.75,34.94,34.56,34.81,9400,34.77,,
1962-02-26,34.81,34.81,34.56,34.69,3400,34.67,,
1962-02-27,34.69,34.81,34.63,34.63,4600,34.69,,
1962-02-28,34.63,34.69,34.25,34.25,7000,34.4,,
