Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1991-06-26,3.28,3.36,3.11,3.28,16683528,3.2575,0.04,82.0
1991-06-27,3.28,3.44,3.26,3.32,6160224,3.325,0.04,83.0
1991-06-28,3.32,3.4,3.24,3.3,2384862,3.315,0.04,82.5
1991-07-01,3.3,3.36,3.28,3.32,1782930,3.315,0.05,66.39999999999999
1991-07-02,3.32,3.36,3.32,3.36,1271226,3.34,0.05,67.19999999999999
1991-07-03,3.36,3.36,3.24,3.32,1214988,3.32,0.05,66.39999999999999
1991-07-05,3.32,3.32,3.2,3.2,230514,3.26,0.05,64.0
1991-07-08,3.2,3.32,3.2,3.2,550020,3.23,0.05,64.0
1991-07-09,3.2,3.48,3.2,3.44,3100506,3.33,0.05,68.8
1991-07-10,3.48,3.72,3.48,3.72,1238472,3.6,0.05,74.4
1991-07-11,3.72,3.88,3.64,3.78,2259408,3.755,0.05,75.6
1991-07-12,3.78,3.84,3.68,3.72,733566,3.755,0.05,74.4
1991-07-15,3.72,3.76,3.68,3.72,404172,3.72,0.05,74.4
1991-07-16,3.72,3.92,3.68,3.92,1534494,3.81,0.05,78.39999999999999
1991-07-17,3.92,4.21,3.84,4.13,3741990,4.025,0.05,82.6
1991-07-18,4.13,4.25,4.05,4.13,3756204,4.14,0.05,82.6
1991-07-19,4.13,4.17,3.92,3.92,1457244,4.035,0.05,78.39999999999999
1991-07-22,3.92,4.05,3.92,3.92,499344,3.9525,0.05,78.39999999999999
1991-07-23,3.92,3.96,3.7,3.74,783006,3.83,0.05,74.8
1991-07-24,3.74,3.84,3.64,3.64,524064,3.715,0.05,72.8
1991-07-25,3.64,3.72,3.6,3.6,211356,3.64,0.05,72.0
1991-07-26,3.6,3.64,3.56,3.64,494400,3.61,0.05,72.8
1991-07-29,3.64,3.68,3.56,3.68,77868,3.64,0.05,73.6
1991-07-30,3.68,3.98,3.6,3.96,630360,3.805,0.05,79.19999999999999
1991-07-31,3.96,4.09,3.92,4.05,1389882,4.005,0.05,80.99999999999999
1991-08-01,4.05,4.09,4.0,4.09,320742,4.0575,0.05,81.8
1991-08-02,4.09,4.13,4.05,4.05,728004,4.08,0.05,80.99999999999999
1991-08-05,4.05,4.13,3.96,3.96,746544,4.025,0.05,79.19999999999999
1991-08-06,3.96,4.0,3.88,4.0,140904,3.96,0.05,80.0
1991-08-07,4.0,4.0,3.96,4.0,210738,3.99,0.05,80.0
1991-08-08,4.0,4.0,3.96,4.0,448668,3.99,0.05,80.0
1991-08-09,4.0,4.0,3.92,3.94,353496,3.965,0.05,78.8
1991-08-12,3.92,3.92,3.84,3.92,132870,3.9,0.05,78.39999999999999
1991-08-13,3.92,3.92,3.84,3.92,131634,3.9,0.05,78.39999999999999
1991-08-14,3.92,3.96,3.84,3.96,122982,3.92,0.05,79.19999999999999
1991-08-15,3.96,3.96,3.88,3.96,162534,3.94,0.05,79.19999999999999
1991-08-16,3.96,4.0,3.88,3.92,93318,3.94,0.05,78.39999999999999
1991-08-19,3.8,3.8,3.6,3.74,414678,3.735,0.05,74.8
1991-08-20,3.76,3.88,3.76,3.88,267594,3.82,0.05,77.6
1991-08-21,3.88,3.96,3.84,3.88,412206,3.89,0.05,77.6
1991-08-22,3.88,3.96,3.88,3.96,53148,3.92,0.05,79.19999999999999
1991-08-23,3.96,4.05,3.88,4.0,117420,3.9725,0.05,80.0
1991-08-26,4.0,4.05,3.96,4.05,19776,4.015,0.05,80.99999999999999
1991-08-27,4.05,4.21,3.96,4.21,554964,4.1075,0.05,84.19999999999999
1991-08-28,4.21,4.41,4.17,4.33,654462,4.28,0.05,86.6
1991-08-29,4.33,4.33,4.25,4.27,268212,4.295,0.05,85.39999999999999
1991-08-30,4.27,4.33,4.25,4.29,162534,4.285,0.05,85.8
1991-09-03,4.29,4.29,4.25,4.29,237930,4.28,0.05,85.8
1991-09-04,4.29,4.31,4.25,4.25,449286,4.275,0.05,85.0
1991-09-05,4.25,4.29,4.25,4.25,148320,4.26,0.05,85.0
1991-09-06,4.25,4.29,4.25,4.25,687834,4.26,0.05,85.0
1991-09-09,4.25,4.29,4.25,4.29,109386,4.27,0.05,85.8
1991-09-10,4.29,4.29,4.25,4.25,275010,4.27,0.05,85.0
1991-09-11,4.25,4.37,4.25,4.33,436926,4.3,0.05,86.6
1991-09-12,4.33,4.39,4.33,4.33,420240,4.345,0.05,86.6
1991-09-13,4.33,4.41,4.33,4.37,369564,4.36,0.05,87.39999999999999
1991-09-16,4.37,4.45,4.33,4.37,304056,4.38,0.05,87.39999999999999
1991-09-17,4.37,4.41,4.33,4.37,101352,4.37,0.05,87.39999999999999
1991-09-18,4.37,4.37,4.33,4.33,207030,4.35,0.05,86.6
1991-09-19,4.33,4.37,4.33,4.33,393666,4.34,0.05,86.6
1991-09-20,4.33,4.37,4.33,4.33,288606,4.34,0.05,86.6
1991-09-23,4.33,4.41,4.33,4.41,632214,4.37,0.05,88.2
1991-09-24,4.41,4.41,4.33,4.37,144612,4.38,0.05,87.39999999999999
1991-09-25,4.37,4.49,4.33,4.41,839244,4.4,0.05,88.2
1991-09-26,4.41,4.53,4.41,4.49,190962,4.46,0.05,89.8
1991-09-27,4.49,4.53,4.37,4.41,228660,4.45,0.05,88.2
1991-09-30,4.41,4.45,4.37,4.37,178602,4.4,0.05,87.39999999999999
1991-10-01,4.37,4.41,4.29,4.33,2311938,4.35,0.05,86.6
1991-10-02,4.37,4.41,4.37,4.37,89610,4.38,0.05,87.39999999999999
1991-10-03,4.37,4.39,4.05,4.17,399228,4.245,0.05,83.39999999999999
1991-10-04,4.17,4.17,4.05,4.13,470298,4.13,0.05,82.6
1991-10-07,4.09,4.09,3.88,4.0,975822,4.015,0.05,80.0
1991-10-08,4.0,4.05,3.88,4.05,183546,3.995,0.05,80.99999999999999
1991-10-09,4.05,4.21,3.96,4.17,262032,4.0975,0.05,83.39999999999999
1991-10-10,4.17,4.25,4.09,4.25,78486,4.19,0.05,85.0
1991-10-11,4.25,4.33,4.21,4.21,72306,4.25,0.05,84.19999999999999
1991-10-14,4.29,4.43,4.29,4.37,290460,4.345,0.05,87.39999999999999
1991-10-15,4.37,4.49,4.37,4.49,701430,4.43,0.05,89.8
1991-10-16,4.49,4.57,4.41,4.53,410970,4.5,0.05,90.6
1991-10-17,4.53,4.65,4.49,4.57,382542,4.56,0.05,91.4
1991-10-18,4.57,4.61,4.49,4.53,64890,4.55,0.05,90.6
