Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1983-12-28,5.58,5.58,5.58,5.58,19200,5.58,,
1983-12-29,5.58,5.58,5.58,5.58,93900,5.58,,
1983-12-30,5.58,5.58,5.58,5.58,79800,5.58,,
1984-01-03,5.5,5.5,5.5,5.5,33000,5.5,,
1984-01-04,5.42,5.42,5.42,5.42,51600,5.42,,
1984-01-05,5.42,5.42,5.42,5.42,35100,5.42,,
1984-01-06,5.5,5.5,5.5,5.5,60600,5.5,,
1984-01-09,5.58,5.58,5.58,5.58,40200,5.58,,
1984-01-10,5.58,5.58,5.58,5.58,44400,5.58,,
1984-01-11,5.5,5.5,5.5,5.5,60000,5.5,,
1984-01-12,5.5,5.5,5.5,5.5,27900,5.5,,
1984-01-13,5.5,5.5,5.5,5.5,32700,5.5,,
1984-01-16,5.58,5.58,5.58,5.58,31800,5.58,,
1984-01-17,5.5,5.5,5.5,5.5,75600,5.5,,
1984-01-18,5.5,5.5,5.5,5.5,54600,5.5,,
1984-01-19,5.5,5.5,5.5,5.5,65700,5.5,,
1984-01-20,5.5,5.5,5.5,5.5,46500,5.5,,
1984-01-23,5.5,5.5,5.5,5.5,84900,5.5,,
1984-01-24,5.5,5.5,5.5,5.5,27600,5.5,,
1984-01-25,5.5,5.5,5.5,5.5,28200,5.5,,
1984-01-26,5.5,5.5,5.5,5.5,16500,5.5,,
1984-01-27,5.67,5.67,5.67,5.67,21900,5.67,,
1984-01-30,5.67,5.67,5.67,5.67,47400,5.67,,
1984-01-31,5.58,5.58,5.58,5.58,28800,5.58,,
1984-02-01,5.67,5.67,5.67,5.67,20700,5.67,,
1984-02-02,5.75,5.75,5.75,5.75,28500,5.75,,
1984-02-03,5.92,5.92,5.92,5.92,14100,5.92,,
1984-02-06,5.83,5.83,5.83,5.83,39900,5.83,,
1984-02-07,5.83,5.83,5.83,5.83,23100,5.83,,
1984-02-08,6.0,6.0,6.0,6.0,33300,6.0,,
1984-02-09,6.0,6.0,6.0,6.0,14100,6.0,,
1984-02-10,6.08,6.08,6.08,6.08,43500,6.08,,
1984-02-13,5.83,5.83,5.83,5.83,31800,5.83,,
1984-02-14,5.83,5.83,5.83,5.83,14400,5.83,,
1984-02-15,5.83,5.83,5.83,5.83,8400,5.83,,
1984-02-16,5.83,5.83,5.83,5.83,11100,5.83,,
1984-02-17,5.92,5.92,5.92,5.92,25200,5.92,,
1984-02-21,5.83,5.83,5.83,5.83,23100,5.83,,
1984-02-22,5.75,5.75,5.75,5.75,6600,5.75,,
1984-02-23,5.75,5.75,5.75,5.75,51900,5.75,,
1984-02-24,5.75,5.75,5.75,5.75,18600,5.75,,
1984-02-27,5.67,5.67,5.67,5.67,15600,5.67,,
1984-02-28,5.67,5.67,5.67,5.67,21600,5.67,,
1984-02-29,5.67,5.67,5.67,5.67,12000,5.67,,
1984-03-01,5.67,5.67,5.67,5.67,3300,5.67,,
1984-03-02,5.67,5.67,5.67,5.67,17700,5.67,,
1984-03-05,5.67,5.67,5.67,5.67,15300,5.67,,
1984-03-06,5.75,5.75,5.75,5.75,12900,5.75,,
1984-03-07,5.67,5.67,5.67,5.67,24300,5.67,,
1984-03-08,5.67,5.67,5.67,5.67,12300,5.67,,
1984-03-09,5.75,5.75,5.75,5.75,3300,5.75,,
1984-03-12,5.83,5.83,5.83,5.83,18000,5.83,,
1984-03-13,5.83,5.83,5.83,5.83,8400,5.83,,
1984-03-14,5.83,5.83,5.83,5.83,19800,5.83,,
1984-03-15,5.83,5.83,5.83,5.83,3600,5.83,,
1984-03-16,5.83,5.83,5.83,5.83,68700,5.83,,
1984-03-19,5.83,5.83,5.83,5.83,13800,5.83,,
1984-03-20,5.83,5.83,5.83,5.83,39000,5.83,,
1984-03-21,5.83,5.83,5.83,5.83,3600,5.83,,
1984-03-22,5.83,5.83,5.83,5.83,8100,5.83,,
1984-03-23,5.83,5.83,5.83,5.83,19500,5.83,,
1984-03-26,5.88,5.88,5.88,5.88,43200,5.88,,
1984-03-27,5.88,5.88,5.88,5.88,21300,5.88,,
1984-03-28,5.88,5.88,5.88,5.88,12300,5.88,,
1984-03-29,5.88,5.88,5.88,5.88,26100,5.88,,
1984-03-30,5.88,5.88,5.88,5.88,20700,5.88,,
1984-04-02,5.83,5.83,5.83,5.83,30000,5.83,,
1984-04-03,5.67,5.67,5.67,5.67,15900,5.67,,
1984-04-04,5.67,5.67,5.67,5.67,66000,5.67,,
1984-04-05,5.58,5.58,5.58,5.58,46500,5.58,,
1984-04-06,5.58,5.58,5.58,5.58,23100,5.58,,
1984-04-09,5.58,5.58,5.58,5.58,6900,5.58,,
1984-04-10,5.58,5.58,5.58,5.58,6300,5.58,,
1984-04-11,5.67,5.67,5.67,5.67,25500,5.67,,
1984-04-12,5.67,5.67,5.67,5.67,15000,5.67,,
1984-04-13,5.58,5.58,5.58,5.58,14400,5.58,,
1984-04-16,5.58,5.58,5.58,5.58,18900,5.58,,
1984-04-17,5.5,5.5,5.5,5.5,9600,5.5,,
1984-04-18,5.5,5.5,5.5,5.5,9600,5.5,,
1984-04-19,5.5,5.5,5.5,5.5,10500,5.5,,
1984-04-23,5.42,5.42,5.42,5.42,9600,5.42,,
1984-04-24,5.42,5.42,5.42,5.42,15300,5.42,,
1984-04-25,5.33,5.33,5.33,5.33,5100,5.33,,
1984-04-26,5.33,5.33,5.33,5.33,6600,5.33,,
1984-04-27,5.33,5.33,5.33,5.33,19800,5.33,,
1984-04-30,5.5,5.5,5.5,5.5,34500,5.5,,
1984-05-01,5.83,5.83,5.83,5.83,33000,5.83,,
1984-05-02,5.67,5.67,5.67,5.67,32100,5.67,,
1984-05-03,5.75,5.75,5.75,5.75,35400,5.75,,
1984-05-04,5.83,5.83,5.83,5.83,40200,5.83,,
1984-05-07,5.83,5.83,5.83,5.83,32400,5.83,,
1984-05-08,5.92,5.92,5.92,5.92,28800,5.92,,
1984-05-09,6.0,6.0,6.0,6.0,37800,6.0,,
1984-05-10,6.0,6.0,6.0,6.0,12600,6.0,,
1984-05-11,6.0,6.0,6.0,6.0,31200,6.0,,
1984-05-14,5.92,5.92,5.92,5.92,6000,5.92,,
1984-05-15,5.92,5.92,5.92,5.92,7500,5.92,,
1984-05-16,5.92,5.92,5.92,5.92,7500,5.92,,
1984-05-17,5.92,5.92,5.92,5.92,26100,5.92,,
1984-05-18,5.92,5.92,5.92,5.92,7500,5.92,,
1984-05-21,5.92,5.92,5.92,5.92,9300,5.92,,
1984-05-22,5.75,5.75,5.75,5.75,24600,5.75,,
1984-05-23,5.75,5.75,5.75,5.75,6900,5.75,,
1984-05-24,5.58,5.58,5.58,5.58,19200,5.58,,
1984-05-25,5.5,5.5,5.5,5.5,12600,5.5,,
1984-05-29,5.5,5.5,5.5,5.5,8400,5.5,,
1984-05-30,5.5,5.5,5.5,5.5,6600,5.5,,
1984-05-31,5.5,5.5,5.5,5.5,5400,5.5,,
1984-06-01,5.5,5.5,5.5,5.5,20400,5.5,,
1984-06-04,5.67,5.67,5.67,5.67,48600,5.67,,
1984-06-05,5.58,5.58,5.58,5.58,6900,5.58,,
1984-06-06,5.58,5.58,5.58,5.58,3000,5.58,,
1984-06-07,5.58,5.58,5.58,5.58,2700,5.58,,
1984-06-08,5.58,5.58,5.58,5.58,10500,5.58,,
1984-06-11,5.58,5.58,5.58,5.58,16800,5.58,,
1984-06-12,5.58,5.58,5.58,5.58,22500,5.58,,
1984-06-13,5.58,5.58,5.58,5.58,9300,5.58,,
1984-06-14,5.58,5.58,5.58,5.58,9900,5.58,,
1984-06-15,5.58,5.58,5.58,5.58,12300,5.58,,
1984-06-18,5.67,5.67,5.67,5.67,21300,5.67,,
1984-06-19,5.67,5.67,5.67,5.67,6000,5.67,,
1984-06-20,5.67,5.67,5.67,5.67,6000,5.67,,
1984-06-21,5.67,5.67,5.67,5.67,17700,5.67,,
1984-06-22,5.67,5.67,5.67,5.67,5400,5.67,,
1984-06-25,5.67,5.67,5.67,5.67,3000,5.67,,
1984-06-26,5.75,5.75,5.75,5.75,35700,5.75,,
1984-06-27,5.92,5.92,5.92,5.92,27900,5.92,,
1984-06-28,5.83,5.83,5.83,5.83,4800,5.83,,
1984-06-29,5.83,5.83,5.83,5.83,20100,5.83,,
1984-07-02,5.75,5.75,5.75,5.75,11100,5.75,,
1984-07-03,5.75,5.75,5.75,5.75,1500,5.75,,
1984-07-05,5.75,5.75,5.75,5.75,1800,5.75,,
1984-07-06,5.75,5.75,5.75,5.75,5400,5.75,,
1984-07-09,5.75,5.75,5.75,5.75,6600,5.75,,
1984-07-10,5.75,5.75,5.75,5.75,3900,5.75,,
1984-07-11,5.83,5.83,5.83,5.83,6600,5.83,,
1984-07-12,5.83,5.83,5.83,5.83,78900,5.83,,
1984-07-13,5.75,5.75,5.75,5.75,3600,5.75,,
1984-07-16,5.75,5.75,5.75,5.75,900,5.75,,
1984-07-17,5.75,5.75,5.75,5.75,3900,5.75,,
1984-07-18,5.75,5.75,5.75,5.75,4500,5.75,,
1984-07-19,5.75,5.75,5.75,5.75,8100,5.75,,
1984-07-20,5.67,5.67,5.67,5.67,1200,5.67,,
1984-07-23,5.58,5.58,5.58,5.58,3000,5.58,,
1984-07-24,5.5,5.5,5.5,5.5,16800,5.5,,
1984-07-25,5.42,5.42,5.42,5.42,8400,5.42,,
1984-07-26,5.5,5.5,5.5,5.5,2100,5.5,,
1984-07-27,5.5,5.5,5.5,5.5,3900,5.5,,
1984-07-30,5.5,5.5,5.5,5.5,6000,5.5,,
1984-07-31,5.5,5.5,5.5,5.5,11700,5.5,,
1984-08-01,5.5,5.5,5.5,5.5,3900,5.5,,
1984-08-02,5.5,5.5,5.5,5.5,10200,5.5,,
1984-08-03,5.5,5.5,5.5,5.5,1800,5.5,,
1984-08-06,5.5,5.5,5.5,5.5,3600,5.5,,
1984-08-07,5.42,5.42,5.42,5.42,5400,5.42,,
1984-08-08,5.42,5.42,5.42,5.42,4500,5.42,,
1984-08-09,5.42,5.42,5.42,5.42,600,5.42,,
1984-08-10,5.42,5.42,5.42,5.42,5400,5.42,,
1984-08-13,5.33,5.33,5.33,5.33,900,5.33,,
1984-08-14,5.42,5.42,5.42,5.42,5400,5.42,,
1984-08-15,5.33,5.33,5.33,5.33,3600,5.33,,
1984-08-16,5.33,5.33,5.33,5.33,7800,5.33,,
1984-08-17,5.33,5.33,5.33,5.33,3000,5.33,,
1984-08-20,5.42,5.42,5.42,5.42,10800,5.42,,
1984-08-21,5.33,5.33,5.33,5.33,11700,5.33,,
1984-08-22,5.33,5.33,5.33,5.33,3300,5.33,,
1984-08-23,5.33,5.33,5.33,5.33,1800,5.33,,
1984-08-24,5.33,5.33,5.33,5.33,2100,5.33,,
1984-08-27,5.17,5.17,5.17,5.17,15000,5.17,,
1984-08-28,5.17,5.17,5.17,5.17,6300,5.17,,
1984-08-29,5.17,5.17,5.17,5.17,3600,5.17,,
1984-08-30,5.08,5.08,5.08,5.08,17700,5.08,,
1984-08-31,5.17,5.17,5.17,5.17,2400,5.17,,
1984-09-04,5.17,5.17,5.17,5.17,6000,5.17,,
1984-09-05,5.17,5.17,5.17,5.17,13500,5.17,,
1984-09-06,5.17,5.17,5.17,5.17,8700,5.17,,
1984-09-07,5.25,5.25,5.25,5.25,25500,5.25,,
1984-09-10,5.25,5.25,5.25,5.25,5400,5.25,,
1984-09-11,5.33,5.33,5.33,5.33,21000,5.33,,
1984-09-12,5.42,5.42,5.42,5.42,8400,5.42,,
1984-09-13,5.42,5.42,5.42,5.42,89100,5.42,,
1984-09-14,5.33,5.33,5.33,5.33,14100,5.33,,
1984-09-17,5.33,5.33,5.33,5.33,36300,5.33,,
1984-09-18,5.33,5.33,5.33,5.33,33300,5.33,,
1984-09-19,5.33,5.33,5.33,5.33,52200,5.33,,
1984-09-20,5.42,5.42,5.42,5.42,87300,5.42,,
1984-09-21,5.5,5.5,5.5,5.5,12000,5.5,,
1984-09-24,5.5,5.5,5.5,5.5,9300,5.5,,
1984-09-25,5.5,5.5,5.5,5.5,39600,5.5,,
1984-09-26,5.42,5.42,5.42,5.42,17400,5.42,,
1984-09-27,5.5,5.5,5.5,5.5,1800,5.5,,
1984-09-28,5.58,5.58,5.58,5.58,10500,5.58,,
1984-10-01,5.58,5.58,5.58,5.58,600,5.58,,
1984-10-02,5.58,5.58,5.58,5.58,12900,5.58,,
1984-10-03,5.58,5.58,5.58,5.58,1500,5.58,,
1984-10-04,5.67,5.67,5.67,5.67,15600,5.67,,
1984-10-05,5.67,5.67,5.67,5.67,10800,5.67,,
1984-10-08,5.67,5.67,5.67,5.67,12600,5.67,,
1984-10-09,5.67,5.67,5.67,5.67,7800,5.67,,
1984-10-10,5.67,5.67,5.67,5.67,5700,5.67,,
1984-10-11,5.67,5.67,5.67,5.67,5400,5.67,,
1984-10-12,5.58,5.58,5.58,5.58,14100,5.58,,
1984-10-15,5.58,5.58,5.58,5.58,2700,5.58,,
1984-10-16,5.58,5.58,5.58,5.58,3600,5.58,,
1984-10-17,5.58,5.58,5.58,5.58,900,5.58,,
1984-10-18,5.58,5.58,5.58,5.58,16800,5.58,,
1984-10-19,5.58,5.58,5.58,5.58,4200,5.58,,
1984-10-22,5.58,5.58,5.58,5.58,2700,5.58,,
1984-10-23,5.58,5.58,5.58,5.58,15300,5.58,,
1984-10-24,5.58,5.58,5.58,5.58,3600,5.58,,
1984-10-25,5.58,5.58,5.58,5.58,26700,5.58,,
1984-10-26,5.58,5.58,5.58,5.58,10200,5.58,,
1984-10-29,5.67,5.67,5.67,5.67,18600,5.67,,
1984-10-30,5.75,5.75,5.75,5.75,22500,5.75,,
1984-10-31,5.83,5.83,5.83,5.83,31800,5.83,,
1984-11-01,6.17,6.17,6.17,6.17,30300,6.17,,
1984-11-02,6.5,6.5,6.5,6.5,58200,6.5,,
1984-11-05,6.58,6.58,6.58,6.58,42000,6.58,,
1984-11-06,6.5,6.5,6.5,6.5,12900,6.5,,
1984-11-07,6.25,6.25,6.25,6.25,15000,6.25,,
1984-11-08,6.33,6.33,6.33,6.33,12000,6.33,,
1984-11-09,6.5,6.5,6.5,6.5,27000,6.5,,
1984-11-12,6.5,6.5,6.5,6.5,27300,6.5,,
1984-11-13,6.5,6.5,6.5,6.5,24900,6.5,,
1984-11-14,6.5,6.5,6.5,6.5,108300,6.5,,
1984-11-15,6.5,6.5,6.5,6.5,43500,6.5,,
1984-11-16,6.5,6.5,6.5,6.5,19200,6.5,,
1984-11-19,6.5,6.5,6.5,6.5,10200,6.5,,
1984-11-20,6.5,6.5,6.5,6.5,2400,6.5,,
1984-11-21,6.5,6.5,6.5,6.5,25500,6.5,,
1984-11-23,6.5,6.5,6.5,6.5,2700,6.5,,
1984-11-26,6.58,6.58,6.58,6.58,46200,6.58,,
1984-11-27,6.42,6.42,6.42,6.42,46500,6.42,,
1984-11-28,6.33,6.33,6.33,6.33,21900,6.33,,
1984-11-29,6.42,6.42,6.42,6.42,40500,6.42,,
1984-11-30,6.33,6.33,6.33,6.33,21600,6.33,,
1984-12-03,6.5,6.5,6.5,6.5,15000,6.5,,
1984-12-04,6.42,6.42,6.42,6.42,12600,6.42,,
1984-12-05,6.42,6.42,6.42,6.42,3300,6.42,,
1984-12-06,6.42,6.42,6.42,6.42,26400,6.42,,
1984-12-07,6.42,6.42,6.42,6.42,5400,6.42,,
1984-12-10,6.5,6.5,6.5,6.5,10200,6.5,,
1984-12-11,6.5,6.5,6.5,6.5,23700,6.5,,
1984-12-12,6.5,6.5,6.5,6.5,5400,6.5,,
1984-12-13,6.58,6.58,6.58,6.58,16500,6.58,,
1984-12-14,6.58,6.58,6.58,6.58,23100,6.58,,
1984-12-17,6.58,6.58,6.58,6.58,9300,6.58,,
1984-12-18,6.58,6.58,6.58,6.58,17400,6.58,,
1984-12-19,6.58,6.58,6.58,6.58,16800,6.58,,
1984-12-20,6.42,6.42,6.42,6.42,36600,6.42,,
1984-12-21,6.42,6.42,6.42,6.42,5400,6.42,,
1984-12-24,6.42,6.42,6.42,6.42,11700,6.42,,
1984-12-26,6.42,6.42,6.42,6.42,6000,6.42,,
1984-12-27,6.42,6.42,6.42,6.42,11100,6.42,,
1984-12-28,6.67,6.67,6.67,6.67,51900,6.67,,
1984-12-31,6.58,6.58,6.58,6.58,16200,6.58,,
1985-01-02,6.5,6.5,6.5,6.5,11700,6.5,,
1985-01-03,6.58,6.58,6.58,6.58,48300,6.58,,
1985-01-04,6.5,6.5,6.5,6.5,23100,6.5,,
1985-01-07,6.5,6.5,6.5,6.5,9000,6.5,,
1985-01-08,6.5,6.5,6.5,6.5,32400,6.5,,
1985-01-09,6.58,6.58,6.58,6.58,45600,6.58,,
1985-01-10,6.67,6.67,6.67,6.67,44700,6.67,,
1985-01-11,6.58,6.58,6.58,6.58,29400,6.58,,
1985-01-14,6.58,6.58,6.58,6.58,63600,6.58,,
1985-01-15,6.5,6.5,6.5,6.5,14400,6.5,,
1985-01-16,6.5,6.5,6.5,6.5,4200,6.5,,
1985-01-17,6.42,6.42,6.42,6.42,26700,6.42,,
1985-01-18,6.42,6.42,6.42,6.42,6000,6.42,,
1985-01-21,6.42,6.42,6.42,6.42,3300,6.42,,
1985-01-22,6.5,6.5,6.5,6.5,25500,6.5,,
