Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,43.38,43.38,43.38,43.38,3500,43.38,,
1968-01-03,44.25,44.25,44.25,44.25,3300,44.25,,
1968-01-04,44.0,44.0,44.0,44.0,3700,44.0,,
1968-01-05,44.25,44.25,44.25,44.25,2000,44.25,,
1968-01-08,43.88,43.88,43.88,43.88,7600,43.88,,
1968-01-09,44.0,44.0,44.0,44.0,7600,44.0,,
1968-01-10,44.25,44.25,44.25,44.25,3500,44.25,,
1968-01-11,44.63,44.63,44.63,44.63,2000,44.63,,
1968-01-12,45.0,45.0,45.0,45.0,3800,45.0,,
1968-01-15,45.0,45.0,45.0,45.0,6400,45.0,,
1968-01-16,44.0,44.0,44.0,44.0,7100,44.0,,
1968-01-17,43.5,43.5,43.5,43.5,3300,43.5,,
1968-01-18,43.38,43.38,43.38,43.38,3300,43.38,,
1968-01-19,43.0,43.0,43.0,43.0,4600,43.0,,
1968-01-22,42.5,42.5,42.5,42.5,3200,42.5,,
1968-01-23,42.38,42.38,42.38,42.38,3200,42.38,,
1968-01-24,41.63,41.63,41.63,41.63,4000,41.63,,
1968-01-25,40.63,40.63,40.63,40.63,6200,40.63,,
1968-01-26,39.63,39.63,39.63,39.63,5600,39.63,,
1968-01-29,40.38,40.38,40.38,40.38,11100,40.38,,
1968-01-30,40.38,40.38,40.38,40.38,9700,40.38,,
1968-01-31,40.0,40.0,40.0,40.0,8600,40.0,,
1968-02-01,40.0,40.0,40.0,40.0,5400,40.0,,
1968-02-02,40.13,40.13,40.13,40.13,1900,40.13,,
1968-02-05,40.25,40.25,40.25,40.25,3600,40.25,,
1968-02-06,40.38,40.38,40.38,40.38,2400,40.38,,
1968-02-07,40.25,40.25,40.25,40.25,2300,40.25,,
1968-02-08,40.75,40.75,40.75,40.75,3400,40.75,,
1968-02-09,40.5,40.5,40.5,40.5,4500,40.5,,
1968-02-13,39.88,39.88,39.88,39.88,7800,39.88,,
1968-02-14,39.75,39.75,39.75,39.75,17900,39.75,,
1968-02-15,39.75,39.75,39.75,39.75,4800,39.75,,
1968-02-16,39.75,39.75,39.75,39.75,6500,39.75,,
1968-02-19,39.75,39.75,39.75,39.75,4000,39.75,,
1968-02-20,40.0,40.0,40.0,40.0,6100,40.0,,
1968-02-21,40.25,40.25,40.25,40.25,4100,40.25,,
1968-02-23,39.5,39.5,39.5,39.5,10000,39.5,,
1968-02-26,39.38,39.38,39.38,39.38,6500,39.38,,
