Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,0.0,10.87,10.78,10.78,13879,10.81,,
1962-01-03,10.78,10.78,10.68,10.68,25623,10.71,,
1962-01-04,10.68,10.72,10.68,10.68,16014,10.69,,
1962-01-05,10.68,10.68,10.42,10.42,26690,10.51,,
1962-01-08,10.42,10.42,10.26,10.3,21352,10.29,,
1962-01-09,10.3,10.4,10.3,10.3,16014,10.33,,
1962-01-10,10.3,10.4,10.3,10.3,18149,10.33,,
1962-01-11,10.3,10.37,10.21,10.26,17082,10.28,,
1962-01-12,10.26,10.35,10.26,10.35,4270,10.33,,
1962-01-15,10.35,10.54,10.35,10.35,10676,10.41,,
1962-01-16,10.35,10.35,10.28,10.35,7473,10.33,,
1962-01-17,10.35,10.42,10.33,10.33,8541,10.36,,
1962-01-18,10.33,10.35,10.26,10.26,7473,10.29,,
1962-01-19,10.26,10.28,10.23,10.28,13879,10.26,,
1962-01-22,10.28,10.35,10.14,10.14,14947,10.21,,
1962-01-23,10.14,10.3,10.07,10.3,38434,10.23,,
1962-01-24,10.3,10.3,10.16,10.16,17082,10.2,,
1962-01-25,10.16,10.49,10.16,10.4,67260,10.39,,
1962-01-26,10.4,10.54,10.4,10.44,19217,10.48,,
1962-01-29,10.44,10.49,10.3,10.42,50178,10.4,,
1962-01-30,10.42,10.58,10.42,10.49,18149,10.5,,
1962-01-31,10.49,10.65,10.49,10.61,14947,10.58,,
1962-02-01,10.61,10.75,10.61,10.75,13879,10.72,,
1962-02-02,10.75,10.75,10.7,10.7,11744,10.72,,
1962-02-05,10.7,10.76,10.7,10.76,8541,10.75,,
1962-02-06,10.76,10.91,10.71,10.8,36299,10.81,,
1962-02-07,10.8,10.91,10.8,10.83,33096,10.86,,
1962-02-08,10.83,10.84,10.82,10.83,5338,10.83,,
1962-02-09,10.83,10.94,10.83,10.94,11744,10.91,,
1962-02-12,10.94,10.96,10.92,10.96,8541,10.95,,
1962-02-13,10.96,11.01,10.84,10.84,128114,10.9,,
1962-02-14,10.84,10.85,10.75,10.75,19217,10.78,,
1962-02-15,10.75,10.77,10.68,10.7,5338,10.72,,
1962-02-16,10.7,10.82,10.68,10.82,33096,10.77,,
1962-02-19,10.82,10.91,10.8,10.8,4270,10.83,,
1962-02-20,10.8,10.87,10.8,10.84,8541,10.83,,
1962-02-21,10.84,10.84,10.8,10.81,8541,10.81,,
1962-02-23,10.81,10.89,10.8,10.89,33096,10.86,,
1962-02-26,10.89,10.89,10.77,10.77,10676,10.81,,
1962-02-27,10.77,10.91,10.77,10.89,7473,10.89,,
1962-02-28,10.89,10.94,10.87,10.91,13879,10.9,,
1962-03-01,10.91,10.99,10.91,10.94,5338,10.96,,
1962-03-02,10.94,11.03,10.92,10.96,16014,10.97,,
1962-03-05,10.96,11.01,10.91,11.01,19217,10.97,,
1962-03-06,11.01,11.01,10.94,10.94,7473,10.96,,
1962-03-07,10.94,10.98,10.94,10.96,5338,10.97,,
1962-03-08,10.96,11.19,10.96,11.19,33096,11.12,,
1962-03-09,11.19,11.22,11.1,11.1,8541,11.14,,
1962-03-12,11.1,11.15,11.1,11.15,12811,11.13,,
1962-03-13,11.15,11.15,11.05,11.05,21352,11.08,,
1962-03-14,11.05,11.17,11.05,11.15,13879,11.13,,
1962-03-15,11.15,11.15,11.08,11.08,13879,11.1,,
1962-03-16,11.08,11.12,11.01,11.12,10676,11.08,,
1962-03-19,11.12,11.12,11.01,11.05,10676,11.05,,
1962-03-20,11.05,11.05,10.96,10.96,3203,10.97,,
1962-03-21,10.96,11.08,10.96,11.03,11744,11.04,,
1962-03-22,11.03,11.05,11.01,11.03,7473,11.03,,
1962-03-23,11.03,11.05,11.01,11.01,7473,11.02,,
1962-03-26,11.01,11.05,11.01,11.05,4270,11.04,,
1962-03-27,11.05,11.12,11.05,11.12,19217,11.11,,
1962-03-28,11.12,11.12,11.08,11.08,5338,11.08,,
1962-03-29,11.08,11.08,11.05,11.05,8541,11.05,,
1962-03-30,11.05,11.12,11.05,11.12,19217,11.12,,
1962-04-02,11.12,11.15,11.01,11.01,10676,11.05,,
1962-04-03,11.01,11.1,10.98,11.03,23488,11.04,,
1962-04-04,11.03,11.08,11.03,11.04,18149,11.05,,
1962-04-05,11.04,11.08,11.03,11.03,12811,11.04,,
1962-04-06,11.03,11.05,11.03,11.03,10676,11.04,,
1962-04-09,11.03,11.04,11.02,11.02,13879,11.03,,
1962-04-10,11.02,11.04,11.02,11.02,13879,11.03,,
1962-04-11,11.02,11.02,10.77,10.82,48043,10.87,,
1962-04-12,10.82,10.82,10.42,10.49,35231,10.56,,
1962-04-13,10.49,10.49,10.47,10.47,41637,10.48,,
1962-04-16,10.47,10.49,10.4,10.44,27758,10.44,,
1962-04-17,10.44,10.49,10.44,10.44,13879,10.46,,
1962-04-18,10.44,10.61,10.44,10.51,11744,10.55,,
1962-04-19,10.51,10.7,10.51,10.61,11744,10.62,,
1962-04-23,10.61,10.68,10.54,10.68,5338,10.63,,
1962-04-24,10.68,10.77,10.68,10.77,2135,10.77,,
1962-04-25,10.77,10.82,10.7,10.77,9609,10.76,,
1962-04-26,10.77,10.77,10.55,10.55,13879,10.59,,
1962-04-27,10.55,10.55,10.44,10.44,67260,10.47,,
1962-04-30,10.44,10.49,10.33,10.33,12811,10.38,,
1962-05-01,10.33,10.33,9.79,9.84,18149,9.97,,
1962-05-02,9.84,10.02,9.84,10.02,23488,9.99,,
1962-05-03,10.02,10.02,9.84,9.84,16014,9.87,,
1962-05-04,9.84,10.02,9.74,9.93,34164,9.9,,
1962-05-07,9.93,10.02,9.93,9.98,3203,9.98,,
1962-05-08,9.98,9.98,9.84,9.86,33096,9.86,,
1962-05-09,9.86,9.98,9.69,9.69,12811,9.79,,
1962-05-10,9.69,9.69,9.37,9.39,19217,9.48,,
1962-05-11,9.39,9.55,9.39,9.55,9609,9.52,,
1962-05-14,9.55,9.98,9.46,9.86,23488,9.76,,
1962-05-15,9.86,10.07,9.86,9.98,17082,9.99,,
1962-05-16,9.98,10.21,9.98,9.98,14947,10.05,,
1962-05-17,9.98,9.98,9.86,9.87,11744,9.89,,
1962-05-18,9.87,9.87,9.74,9.84,19217,9.8,,
1962-05-21,9.84,9.93,9.74,9.74,14947,9.8,,
1962-05-22,9.74,9.74,9.55,9.55,9609,9.62,,
1962-05-23,9.55,9.55,9.37,9.37,24555,9.43,,
1962-05-24,9.37,9.37,8.95,8.95,30961,9.09,,
1962-05-25,8.95,8.95,8.34,8.34,72598,8.52,,
1962-05-28,8.34,8.34,7.87,7.96,41637,8.06,,
1962-05-29,7.96,8.62,7.68,8.62,90747,8.31,,
1962-05-31,8.62,8.9,8.62,8.8,60854,8.8,,
1962-06-01,8.8,8.9,8.8,8.82,41637,8.84,,
1962-06-04,8.82,8.82,8.62,8.63,29893,8.69,,
1962-06-05,8.63,8.63,8.43,8.49,40569,8.51,,
1962-06-06,8.49,8.68,8.49,8.58,43772,8.61,,
1962-06-07,8.58,8.62,8.45,8.45,44840,8.51,,
1962-06-08,8.45,8.52,8.43,8.52,19217,8.49,,
1962-06-11,8.52,8.52,8.24,8.25,23488,8.34,,
1962-06-12,8.25,8.29,8.16,8.16,44840,8.2,,
1962-06-13,8.16,8.34,8.13,8.2,25623,8.22,,
1962-06-14,8.2,8.2,7.82,7.83,64057,7.93,,
1962-06-15,7.83,8.15,7.79,8.15,76868,8.03,,
1962-06-18,8.15,8.22,7.89,8.01,40569,8.04,,
1962-06-19,8.01,8.06,7.91,8.01,26690,7.99,,
1962-06-20,8.01,8.01,7.88,7.88,19217,7.91,,
1962-06-21,7.88,7.88,7.49,7.51,97153,7.6,,
