Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,16.32,16.32,16.32,16.32,915,16.32,,
1968-01-03,15.83,15.83,15.83,15.83,7327,15.83,,
1968-01-04,15.5,15.5,15.5,15.5,2747,15.5,,
1968-01-05,15.07,15.07,15.07,15.07,2747,15.07,,
1968-01-08,16.16,16.16,16.16,16.16,18318,16.16,,
1968-01-09,16.6,16.6,16.6,16.6,3434,16.6,,
1968-01-10,16.38,16.38,16.38,16.38,3205,16.38,,
1968-01-11,16.27,16.27,16.27,16.27,2289,16.27,,
1968-01-12,16.27,16.27,16.27,16.27,686,16.27,,
1968-01-15,16.54,16.54,16.54,16.54,9388,16.54,,
1968-01-16,16.21,16.21,16.21,16.21,3434,16.21,,
1968-01-17,16.05,16.05,16.05,16.05,4579,16.05,,
1968-01-18,16.27,16.27,16.27,16.27,1144,16.27,,
1968-01-19,16.38,16.38,16.38,16.38,228,16.38,,
1968-01-22,16.32,16.32,16.32,16.32,1602,16.32,,
1968-01-23,16.38,16.38,16.38,16.38,1373,16.38,,
1968-01-24,16.54,16.54,16.54,16.54,12135,16.54,,
1968-01-25,16.27,16.27,16.27,16.27,3205,16.27,,
1968-01-26,16.49,16.49,16.49,16.49,6182,16.49,,
1968-01-29,16.38,16.38,16.38,16.38,4350,16.38,,
1968-01-30,16.38,16.38,16.38,16.38,2976,16.38,,
1968-01-31,16.27,16.27,16.27,16.27,1831,16.27,,
1968-02-01,16.0,16.0,16.0,16.0,1602,16.0,,
1968-02-02,16.43,16.43,16.43,16.43,1144,16.43,,
1968-02-05,16.6,16.6,16.6,16.6,6640,16.6,,
1968-02-06,16.65,16.65,16.65,16.65,5495,16.65,,
1968-02-07,16.6,16.6,16.6,16.6,8014,16.6,,
1968-02-08,16.49,16.49,16.49,16.49,228,16.49,,
1968-02-09,15.78,15.78,15.78,15.78,6640,15.78,,
1968-02-13,15.78,15.78,15.78,15.78,3663,15.78,,
1968-02-14,15.94,15.94,15.94,15.94,3892,15.94,,
1968-02-15,15.94,15.94,15.94,15.94,1144,15.94,,
1968-02-16,16.21,16.21,16.21,16.21,1602,16.21,,
1968-02-19,16.21,16.21,16.21,16.21,3205,16.21,,
1968-02-21,16.21,16.21,16.21,16.21,2747,16.21,,
1968-02-23,16.16,16.16,16.16,16.16,457,16.16,,
1968-02-26,16.16,16.16,16.16,16.16,8930,16.16,,
1968-02-27,15.94,15.94,15.94,15.94,1602,15.94,,
1968-02-28,15.94,15.94,15.94,15.94,1602,15.94,,
1968-02-29,16.1,16.1,16.1,16.1,2976,16.1,,
1968-03-01,16.1,16.1,16.1,16.1,686,16.1,,
1968-03-04,16.0,16.0,16.0,16.0,1144,16.0,,
1968-03-05,15.94,15.94,15.94,15.94,1373,15.94,,
1968-03-06,15.94,15.94,15.94,15.94,6411,15.94,,
1968-03-07,15.89,15.89,15.89,15.89,1144,15.89,,
1968-03-08,16.05,16.05,16.05,16.05,228,16.05,,
1968-03-11,15.89,15.89,15.89,15.89,915,15.89,,
1968-03-12,16.0,16.0,16.0,16.0,8472,16.0,,
1968-03-13,16.05,16.05,16.05,16.05,3892,16.05,,
1968-03-14,15.89,15.89,15.89,15.89,2060,15.89,,
1968-03-15,15.72,15.72,15.72,15.72,2518,15.72,,
1968-03-18,15.29,15.29,15.29,15.29,5266,15.29,,
1968-03-19,14.96,14.96,14.96,14.96,10990,14.96,,
1968-03-20,15.07,15.07,15.07,15.07,2747,15.07,,
1968-03-21,14.85,14.85,14.85,14.85,7785,14.85,,
1968-03-22,14.74,14.74,14.74,14.74,3434,14.74,,
1968-03-25,14.63,14.63,14.63,14.63,686,14.63,,
1968-03-26,14.74,14.74,14.74,14.74,2060,14.74,,
1968-03-27,14.52,14.52,14.52,14.52,915,14.52,,
1968-03-28,14.52,14.52,14.52,14.52,2518,14.52,,
1968-03-29,14.63,14.63,14.63,14.63,4350,14.63,,
1968-04-01,15.07,15.07,15.07,15.07,1831,15.07,,
1968-04-02,15.23,15.23,15.23,15.23,7556,15.23,,
1968-04-03,15.18,15.18,15.18,15.18,2289,15.18,,
1968-04-04,15.34,15.34,15.34,15.34,12822,15.34,,
1968-04-05,15.34,15.34,15.34,15.34,4808,15.34,,
1968-04-08,15.34,15.34,15.34,15.34,228,15.34,,
1968-04-10,15.83,15.83,15.83,15.83,2060,15.83,,
1968-04-11,15.94,15.94,15.94,15.94,13280,15.94,,
1968-04-15,16.76,16.76,16.76,16.76,5724,16.76,,
1968-04-16,16.38,16.38,16.38,16.38,4808,16.38,,
1968-04-17,16.38,16.38,16.38,16.38,8701,16.38,,
1968-04-18,16.1,16.1,16.1,16.1,9617,16.1,,
1968-04-19,16.21,16.21,16.21,16.21,2976,16.21,,
1968-04-22,16.0,16.0,16.0,16.0,5724,16.0,,
1968-04-23,16.32,16.32,16.32,16.32,1373,16.32,,
1968-04-24,15.83,15.83,15.83,15.83,3434,15.83,,
1968-04-26,15.83,15.83,15.83,15.83,457,15.83,,
1968-04-29,15.83,15.83,15.83,15.83,457,15.83,,
1968-04-30,15.94,15.94,15.94,15.94,915,15.94,,
1968-05-01,15.72,15.72,15.72,15.72,12593,15.72,,
1968-05-02,15.56,15.56,15.56,15.56,8701,15.56,,
1968-05-03,15.72,15.72,15.72,15.72,7327,15.72,,
1968-05-06,15.45,15.45,15.45,15.45,2747,15.45,,
1968-05-07,15.83,15.83,15.83,15.83,10303,15.83,,
1968-05-08,15.89,15.89,15.89,15.89,14883,15.89,,
1968-05-09,16.32,16.32,16.32,16.32,5037,16.32,,
1968-05-10,16.16,16.16,16.16,16.16,3892,16.16,,
1968-05-13,16.38,16.38,16.38,16.38,3434,16.38,,
1968-05-14,16.27,16.27,16.27,16.27,3892,16.27,,
1968-05-15,16.16,16.16,16.16,16.16,1602,16.16,,
1968-05-17,16.05,16.05,16.05,16.05,3663,16.05,,
1968-05-20,15.78,15.78,15.78,15.78,1373,15.78,,
1968-05-22,15.83,15.83,15.83,15.83,686,15.83,,
1968-05-23,15.94,15.94,15.94,15.94,27706,15.94,,
1968-05-24,15.72,15.72,15.72,15.72,915,15.72,,
1968-05-27,15.56,15.56,15.56,15.56,4579,15.56,,
1968-05-28,15.29,15.29,15.29,15.29,16486,15.29,,
1968-05-29,15.5,15.5,15.5,15.5,2747,15.5,,
1968-05-31,15.45,15.45,15.45,15.45,686,15.45,,
1968-06-03,15.67,15.67,15.67,15.67,2060,15.67,,
1968-06-04,15.45,15.45,15.45,15.45,2976,15.45,,
1968-06-05,15.39,15.39,15.39,15.39,1831,15.39,,
1968-06-06,15.5,15.5,15.5,15.5,3205,15.5,,
1968-06-07,15.94,15.94,15.94,15.94,2976,15.94,,
1968-06-10,15.94,15.94,15.94,15.94,3892,15.94,,
1968-06-11,15.83,15.83,15.83,15.83,1602,15.83,,
1968-06-13,15.72,15.72,15.72,15.72,4579,15.72,,
1968-06-14,16.1,16.1,16.1,16.1,20378,16.1,,
1968-06-17,16.1,16.1,16.1,16.1,3892,16.1,,
1968-06-18,16.81,16.81,16.81,16.81,47398,16.81,,
1968-06-20,16.81,16.81,16.81,16.81,14883,16.81,,
1968-06-21,16.27,16.27,16.27,16.27,8472,16.27,,
1968-06-24,16.87,16.87,16.87,16.87,21523,16.87,,
1968-06-25,17.03,17.03,17.03,17.03,20378,17.03,,
1968-06-27,17.09,17.09,17.09,17.09,11448,17.09,,
1968-06-28,16.87,16.87,16.87,16.87,2747,16.87,,
1968-07-01,16.81,16.81,16.81,16.81,6182,16.81,,
1968-07-02,17.2,17.2,17.2,17.2,6640,17.2,,
1968-07-03,17.31,17.31,17.31,17.31,10761,17.31,,
1968-07-08,17.03,17.03,17.03,17.03,7098,17.03,,
1968-07-09,17.25,17.25,17.25,17.25,11219,17.25,,
1968-07-11,16.92,16.92,16.92,16.92,9388,16.92,,
1968-07-12,17.2,17.2,17.2,17.2,2289,17.2,,
1968-07-15,17.2,17.2,17.2,17.2,915,17.2,,
1968-07-16,17.09,17.09,17.09,17.09,1144,17.09,,
1968-07-18,17.2,17.2,17.2,17.2,5266,17.2,,
1968-07-19,17.14,17.14,17.14,17.14,4579,17.14,,
1968-07-22,17.03,17.03,17.03,17.03,60220,17.03,,
1968-07-23,16.98,16.98,16.98,16.98,6411,16.98,,
1968-07-25,16.21,16.21,16.21,16.21,10074,16.21,,
1968-07-26,16.43,16.43,16.43,16.43,1373,16.43,,
1968-07-29,16.6,16.6,16.6,16.6,3205,16.6,,
1968-07-30,16.54,16.54,16.54,16.54,1373,16.54,,
1968-08-01,16.27,16.27,16.27,16.27,3663,16.27,,
1968-08-02,16.81,16.81,16.81,16.81,2518,16.81,,
1968-08-05,16.81,16.81,16.81,16.81,34346,16.81,,
1968-08-06,16.81,16.81,16.81,16.81,3434,16.81,,
1968-08-08,16.76,16.76,16.76,16.76,2747,16.76,,
1968-08-09,16.81,16.81,16.81,16.81,5266,16.81,,
1968-08-12,16.38,16.38,16.38,16.38,4579,16.38,,
1968-08-13,16.16,16.16,16.16,16.16,915,16.16,,
1968-08-15,16.32,16.32,16.32,16.32,5266,16.32,,
1968-08-16,16.38,16.38,16.38,16.38,2289,16.38,,
1968-08-19,16.16,16.16,16.16,16.16,1602,16.16,,
1968-08-20,16.27,16.27,16.27,16.27,4808,16.27,,
1968-08-22,16.1,16.1,16.1,16.1,2747,16.1,,
1968-08-23,16.1,16.1,16.1,16.1,686,16.1,,
1968-08-26,16.05,16.05,16.05,16.05,1144,16.05,,
1968-08-27,15.94,15.94,15.94,15.94,2518,15.94,,
1968-08-29,16.1,16.1,16.1,16.1,3434,16.1,,
1968-08-30,15.78,15.78,15.78,15.78,4579,15.78,,
1968-09-03,16.49,16.49,16.49,16.49,1831,16.49,,
1968-09-04,16.49,16.49,16.49,16.49,10074,16.49,,
1968-09-05,16.98,16.98,16.98,16.98,38468,16.98,,
1968-09-06,16.6,16.6,16.6,16.6,1602,16.6,,
1968-09-09,16.76,16.76,16.76,16.76,2518,16.76,,
1968-09-10,16.76,16.76,16.76,16.76,1373,16.76,,
1968-09-12,16.43,16.43,16.43,16.43,4579,16.43,,
1968-09-13,16.38,16.38,16.38,16.38,7327,16.38,,
1968-09-16,16.87,16.87,16.87,16.87,8243,16.87,,
1968-09-17,16.87,16.87,16.87,16.87,1831,16.87,,
1968-09-19,16.76,16.76,16.76,16.76,13051,16.76,,
1968-09-20,16.7,16.7,16.7,16.7,3663,16.7,,
1968-09-23,16.27,16.27,16.27,16.27,686,16.27,,
1968-09-24,15.83,15.83,15.83,15.83,9388,15.83,,
1968-09-26,16.38,16.38,16.38,16.38,9388,16.38,,
1968-09-27,16.1,16.1,16.1,16.1,4808,16.1,,
1968-09-30,16.21,16.21,16.21,16.21,228,16.21,,
1968-10-01,16.05,16.05,16.05,16.05,228,16.05,,
1968-10-03,16.0,16.0,16.0,16.0,2060,16.0,,
1968-10-04,15.94,15.94,15.94,15.94,2976,15.94,,
1968-10-07,16.1,16.1,16.1,16.1,457,16.1,,
1968-10-08,16.32,16.32,16.32,16.32,84721,16.32,,
1968-10-10,16.16,16.16,16.16,16.16,7327,16.16,,
1968-10-11,16.38,16.38,16.38,16.38,2747,16.38,,
1968-10-14,16.6,16.6,16.6,16.6,2060,16.6,,
1968-10-15,16.92,16.92,16.92,16.92,10303,16.92,,
1968-10-17,16.6,16.6,16.6,16.6,9159,16.6,,
1968-10-18,16.32,16.32,16.32,16.32,457,16.32,,
1968-10-21,16.27,16.27,16.27,16.27,4350,16.27,,
1968-10-22,16.0,16.0,16.0,16.0,3663,16.0,,
1968-10-24,15.94,15.94,15.94,15.94,5953,15.94,,
1968-10-25,15.89,15.89,15.89,15.89,9617,15.89,,
1968-10-28,15.83,15.83,15.83,15.83,207224,15.83,,
1968-10-29,16.1,16.1,16.1,16.1,5266,16.1,,
1968-10-31,16.38,16.38,16.38,16.38,5037,16.38,,
1968-11-01,16.43,16.43,16.43,16.43,686,16.43,,
1968-11-04,16.43,16.43,16.43,16.43,1144,16.43,,
1968-11-06,16.27,16.27,16.27,16.27,915,16.27,,
1968-11-07,16.6,16.6,16.6,16.6,686,16.6,,
1968-11-08,16.65,16.65,16.65,16.65,1373,16.65,,
1968-11-12,17.74,17.74,17.74,17.74,12593,17.74,,
1968-11-13,17.96,17.96,17.96,17.96,23355,17.96,,
1968-11-14,17.69,17.69,17.69,17.69,4350,17.69,,
1968-11-15,17.8,17.8,17.8,17.8,1373,17.8,,
1968-11-18,17.85,17.85,17.85,17.85,1144,17.85,,
1968-11-19,18.78,18.78,18.78,18.78,35262,18.78,,
1968-11-21,18.45,18.45,18.45,18.45,3434,18.45,,
1968-11-22,18.67,18.67,18.67,18.67,4350,18.67,,
1968-11-25,18.4,18.4,18.4,18.4,686,18.4,,
1968-11-26,18.67,18.67,18.67,18.67,1144,18.67,,
1968-11-27,18.67,18.67,18.67,18.67,6869,18.67,,
1968-11-29,18.78,18.78,18.78,18.78,15570,18.78,,
1968-12-02,18.72,18.72,18.72,18.72,1144,18.72,,
1968-12-03,18.29,18.29,18.29,18.29,17631,18.29,,
1968-12-05,18.01,18.01,18.01,18.01,4350,18.01,,
1968-12-06,17.91,17.91,17.91,17.91,457,17.91,,
1968-12-09,17.8,17.8,17.8,17.8,6411,17.8,,
1968-12-10,18.07,18.07,18.07,18.07,4808,18.07,,
1968-12-12,17.8,17.8,17.8,17.8,2060,17.8,,
1968-12-13,17.8,17.8,17.8,17.8,228,17.8,,
1968-12-16,17.63,17.63,17.63,17.63,7785,17.63,,
1968-12-17,17.31,17.31,17.31,17.31,3663,17.31,,
1968-12-19,17.03,17.03,17.03,17.03,17173,17.03,,
1968-12-20,16.92,16.92,16.92,16.92,8701,16.92,,
1968-12-23,17.36,17.36,17.36,17.36,1144,17.36,,
1968-12-24,17.36,17.36,17.36,17.36,3434,17.36,,
1968-12-26,17.25,17.25,17.25,17.25,6869,17.25,,
1968-12-27,17.25,17.25,17.25,17.25,228,17.25,,
1968-12-31,16.7,16.7,16.7,16.7,6411,16.7,,
1969-01-02,16.98,16.98,16.98,16.98,1373,16.98,,
1969-01-03,16.98,16.98,16.98,16.98,457,16.98,,
1969-01-06,16.87,16.87,16.87,16.87,1373,16.87,,
1969-01-07,16.38,16.38,16.38,16.38,8701,16.38,,
1969-01-08,16.38,16.38,16.38,16.38,2060,16.38,,
1969-01-09,16.43,16.43,16.43,16.43,686,16.43,,
1969-01-10,16.38,16.38,16.38,16.38,74875,16.38,,
1969-01-13,16.54,16.54,16.54,16.54,1373,16.54,,
1969-01-14,16.7,16.7,16.7,16.7,5266,16.7,,
1969-01-15,16.76,16.76,16.76,16.76,2289,16.76,,
1969-01-16,16.98,16.98,16.98,16.98,8701,16.98,,
1969-01-17,16.49,16.49,16.49,16.49,2518,16.49,,
1969-01-20,16.38,16.38,16.38,16.38,4579,16.38,,
1969-01-21,16.27,16.27,16.27,16.27,1373,16.27,,
1969-01-22,16.43,16.43,16.43,16.43,1144,16.43,,
1969-01-23,16.27,16.27,16.27,16.27,1831,16.27,,
1969-01-24,16.27,16.27,16.27,16.27,3892,16.27,,
1969-01-27,16.32,16.32,16.32,16.32,1602,16.32,,
1969-01-28,16.38,16.38,16.38,16.38,686,16.38,,
1969-01-29,17.03,17.03,17.03,17.03,10074,17.03,,
1969-01-30,17.74,17.74,17.74,17.74,8243,17.74,,
1969-01-31,17.74,17.74,17.74,17.74,6411,17.74,,
1969-02-03,17.91,17.91,17.91,17.91,2747,17.91,,
1969-02-04,17.91,17.91,17.91,17.91,2747,17.91,,
1969-02-05,18.01,18.01,18.01,18.01,2060,18.01,,
1969-02-06,18.07,18.07,18.07,18.07,2747,18.07,,
1969-02-07,18.34,18.34,18.34,18.34,2976,18.34,,
1969-02-11,18.89,18.89,18.89,18.89,4121,18.89,,
1969-02-12,18.67,18.67,18.67,18.67,10761,18.67,,
1969-02-13,18.34,18.34,18.34,18.34,1144,18.34,,
1969-02-14,18.4,18.4,18.4,18.4,4350,18.4,,
1969-02-17,18.51,18.51,18.51,18.51,1831,18.51,,
1969-02-18,18.34,18.34,18.34,18.34,2060,18.34,,
1969-02-19,18.18,18.18,18.18,18.18,2976,18.18,,
1969-02-20,18.18,18.18,18.18,18.18,8701,18.18,,
1969-02-24,17.63,17.63,17.63,17.63,1602,17.63,,
1969-02-25,17.52,17.52,17.52,17.52,1144,17.52,,
1969-02-26,17.47,17.47,17.47,17.47,13967,17.47,,
1969-02-27,17.52,17.52,17.52,17.52,6640,17.52,,
1969-02-28,17.03,17.03,17.03,17.03,1831,17.03,,
1969-03-03,17.03,17.03,17.03,17.03,457,17.03,,
1969-03-04,17.03,17.03,17.03,17.03,5266,17.03,,
1969-03-05,16.92,16.92,16.92,16.92,686,16.92,,
1969-03-06,16.87,16.87,16.87,16.87,1373,16.87,,
1969-03-07,16.87,16.87,16.87,16.87,457,16.87,,
1969-03-10,16.65,16.65,16.65,16.65,1144,16.65,,
1969-03-11,17.03,17.03,17.03,17.03,3434,17.03,,
1969-03-12,17.03,17.03,17.03,17.03,2060,17.03,,
1969-03-13,16.81,16.81,16.81,16.81,457,16.81,,
1969-03-14,16.6,16.6,16.6,16.6,3205,16.6,,
1969-03-17,16.38,16.38,16.38,16.38,1602,16.38,,
1969-03-18,16.27,16.27,16.27,16.27,2289,16.27,,
1969-03-19,16.32,16.32,16.32,16.32,1144,16.32,,
1969-03-20,16.32,16.32,16.32,16.32,2518,16.32,,
1969-03-21,15.83,15.83,15.83,15.83,4121,15.83,,
1969-03-24,15.83,15.83,15.83,15.83,5495,15.83,,
1969-03-25,15.83,15.83,15.83,15.83,8701,15.83,,
1969-03-26,15.94,15.94,15.94,15.94,1831,15.94,,
1969-03-27,16.05,16.05,16.05,16.05,915,16.05,,
1969-03-28,16.16,16.16,16.16,16.16,1373,16.16,,
1969-04-01,16.21,16.21,16.21,16.21,915,16.21,,
1969-04-02,16.27,16.27,16.27,16.27,915,16.27,,
1969-04-03,16.21,16.21,16.21,16.21,2976,16.21,,
1969-04-07,15.61,15.61,15.61,15.61,4808,15.61,,
1969-04-08,15.72,15.72,15.72,15.72,1602,15.72,,
1969-04-09,15.83,15.83,15.83,15.83,1373,15.83,,
1969-04-10,15.78,15.78,15.78,15.78,8014,15.78,,
1969-04-11,15.83,15.83,15.83,15.83,1831,15.83,,
1969-04-14,15.83,15.83,15.83,15.83,2518,15.83,,
1969-04-15,15.94,15.94,15.94,15.94,228,15.94,,
1969-04-16,15.78,15.78,15.78,15.78,4808,15.78,,
1969-04-17,16.0,16.0,16.0,16.0,4808,16.0,,
1969-04-18,16.05,16.05,16.05,16.05,1373,16.05,,
1969-04-21,15.94,15.94,15.94,15.94,3663,15.94,,
1969-04-22,15.94,15.94,15.94,15.94,7556,15.94,,
1969-04-23,16.16,16.16,16.16,16.16,915,16.16,,
1969-04-24,16.49,16.49,16.49,16.49,10532,16.49,,
1969-04-25,16.54,16.54,16.54,16.54,2289,16.54,,
1969-04-28,16.6,16.6,16.6,16.6,2976,16.6,,
1969-04-29,16.7,16.7,16.7,16.7,2060,16.7,,
1969-04-30,16.81,16.81,16.81,16.81,1373,16.81,,
1969-05-01,16.81,16.81,16.81,16.81,915,16.81,,
1969-05-02,16.7,16.7,16.7,16.7,6869,16.7,,
1969-05-05,16.76,16.76,16.76,16.76,1373,16.76,,
1969-05-06,16.54,16.54,16.54,16.54,1373,16.54,,
1969-05-07,16.54,16.54,16.54,16.54,3892,16.54,,
1969-05-08,16.38,16.38,16.38,16.38,228,16.38,,
1969-05-09,16.49,16.49,16.49,16.49,915,16.49,,
1969-05-12,16.6,16.6,16.6,16.6,1831,16.6,,
