Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,8.91,8.91,8.91,8.91,27600,8.91,,
1968-01-03,9.06,9.06,9.06,9.06,28000,9.06,,
1968-01-04,9.06,9.06,9.06,9.06,28800,9.06,,
1968-01-05,9.09,9.09,9.09,9.09,36800,9.09,,
1968-01-08,9.28,9.28,9.28,9.28,78400,9.28,,
1968-01-09,9.41,9.41,9.41,9.41,60800,9.41,,
1968-01-10,9.22,9.22,9.22,9.22,20800,9.22,,
1968-01-11,9.31,9.31,9.31,9.31,29200,9.31,,
1968-01-12,9.19,9.19,9.19,9.19,25600,9.19,,
1968-01-15,9.03,9.03,9.03,9.03,27600,9.03,,
1968-01-16,8.97,8.97,8.97,8.97,21200,8.97,,
1968-01-17,8.97,8.97,8.97,8.97,52400,8.97,,
1968-01-18,8.97,8.97,8.97,8.97,38000,8.97,,
1968-01-19,9.03,9.03,9.03,9.03,33200,9.03,,
1968-01-22,8.81,8.81,8.81,8.81,73200,8.81,,
1968-01-23,8.84,8.84,8.84,8.84,41600,8.84,,
1968-01-24,8.81,8.81,8.81,8.81,29200,8.81,,
1968-01-25,8.81,8.81,8.81,8.81,36800,8.81,,
1968-01-26,8.72,8.72,8.72,8.72,29600,8.72,,
1968-01-29,8.69,8.69,8.69,8.69,53200,8.69,,
1968-01-30,8.59,8.59,8.59,8.59,35200,8.59,,
1968-01-31,8.63,8.63,8.63,8.63,25600,8.63,,
1968-02-01,8.63,8.63,8.63,8.63,31600,8.63,,
1968-02-02,8.78,8.78,8.78,8.78,44000,8.78,,
1968-02-05,8.78,8.78,8.78,8.78,20800,8.78,,
1968-02-06,8.75,8.75,8.75,8.75,22800,8.75,,
1968-02-07,8.88,8.88,8.88,8.88,45200,8.88,,
1968-02-08,8.81,8.81,8.81,8.81,62400,8.81,,
1968-02-09,8.72,8.72,8.72,8.72,50000,8.72,,
1968-02-13,8.72,8.72,8.72,8.72,46400,8.72,,
1968-02-14,8.78,8.78,8.78,8.78,55200,8.78,,
1968-02-15,8.72,8.72,8.72,8.72,31200,8.72,,
1968-02-16,8.75,8.75,8.75,8.75,42400,8.75,,
1968-02-19,8.97,8.97,8.97,8.97,38000,8.97,,
1968-02-20,8.84,8.84,8.84,8.84,32400,8.84,,
