Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,16.63,16.63,16.63,16.63,8000,16.63,,
1968-01-03,16.63,16.63,16.63,16.63,6400,16.63,,
1968-01-04,17.0,17.0,17.0,17.0,4700,17.0,,
1968-01-05,17.5,17.5,17.5,17.5,18600,17.5,,
1968-01-08,17.75,17.75,17.75,17.75,12000,17.75,,
1968-01-09,17.88,17.88,17.88,17.88,7800,17.88,,
1968-01-10,17.75,17.75,17.75,17.75,5400,17.75,,
1968-01-11,17.5,17.5,17.5,17.5,8700,17.5,,
1968-01-12,17.63,17.63,17.63,17.63,8600,17.63,,
1968-01-15,17.5,17.5,17.5,17.5,8900,17.5,,
1968-01-16,17.13,17.13,17.13,17.13,4200,17.13,,
1968-01-17,17.38,17.38,17.38,17.38,4300,17.38,,
1968-01-18,17.0,17.0,17.0,17.0,4700,17.0,,
1968-01-19,16.88,16.88,16.88,16.88,7900,16.88,,
1968-01-22,17.0,17.0,17.0,17.0,6000,17.0,,
1968-01-23,17.0,17.0,17.0,17.0,4400,17.0,,
1968-01-24,16.88,16.88,16.88,16.88,5600,16.88,,
1968-01-25,17.0,17.0,17.0,17.0,6600,17.0,,
1968-01-26,17.0,17.0,17.0,17.0,3200,17.0,,
1968-01-29,16.88,16.88,16.88,16.88,5600,16.88,,
1968-01-30,16.75,16.75,16.75,16.75,5100,16.75,,
1968-01-31,16.63,16.63,16.63,16.63,5300,16.63,,
1968-02-01,16.5,16.5,16.5,16.5,10400,16.5,,
1968-02-02,16.75,16.75,16.75,16.75,5500,16.75,,
1968-02-05,17.0,17.0,17.0,17.0,6500,17.0,,
1968-02-06,17.13,17.13,17.13,17.13,2400,17.13,,
1968-02-07,17.0,17.0,17.0,17.0,6400,17.0,,
1968-02-08,16.88,16.88,16.88,16.88,5500,16.88,,
1968-02-09,16.63,16.63,16.63,16.63,4500,16.63,,
1968-02-13,16.5,16.5,16.5,16.5,8000,16.5,,
1968-02-14,17.0,17.0,17.0,17.0,9000,17.0,,
1968-02-15,17.25,17.25,17.25,17.25,4500,17.25,,
1968-02-16,16.75,16.75,16.75,16.75,11900,16.75,,
1968-02-19,17.0,17.0,17.0,17.0,4800,17.0,,
1968-02-20,16.63,16.63,16.63,16.63,6300,16.63,,
1968-02-21,16.88,16.88,16.88,16.88,2400,16.88,,
1968-02-23,17.0,17.0,17.0,17.0,4100,17.0,,
1968-02-26,16.75,16.75,16.75,16.75,4000,16.75,,
1968-02-27,16.63,16.63,16.63,16.63,3800,16.63,,
1968-02-28,16.88,16.88,16.88,16.88,7600,16.88,,
1968-02-29,16.75,16.75,16.75,16.75,3700,16.75,,
1968-03-01,16.88,16.88,16.88,16.88,3200,16.88,,
1968-03-04,16.75,16.75,16.75,16.75,5000,16.75,,
1968-03-05,17.0,17.0,17.0,17.0,5900,17.0,,
1968-03-06,16.63,16.63,16.63,16.63,3800,16.63,,
1968-03-07,16.75,16.75,16.75,16.75,4100,16.75,,
