Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1973-02-21,13.19,13.19,13.0,13.06,3000,13.11,,
1973-02-22,13.0,13.0,12.88,12.94,1200,12.955,,
1973-02-23,12.88,12.88,12.63,12.63,5000,12.755,,
1973-02-26,12.88,12.88,12.75,12.81,3000,12.83,,
1973-02-27,12.81,12.81,12.69,12.81,2800,12.78,,
1973-02-28,12.63,12.63,12.5,12.63,2400,12.5975,,
1973-03-01,12.63,12.63,12.56,12.56,1200,12.595,,
1973-03-02,12.5,12.5,12.31,12.31,3200,12.405,,
1973-03-05,12.44,12.44,12.25,12.38,8600,12.3775,,
1973-03-06,12.38,12.38,12.25,12.38,1800,12.3475,,
1973-03-07,12.5,12.5,12.38,12.5,9800,12.47,,
1973-03-08,12.56,12.56,12.5,12.56,1400,12.545,,
1973-03-09,12.56,12.56,12.38,12.38,2200,12.47,,
1973-03-12,12.56,12.56,12.38,12.5,4200,12.5,,
1973-03-13,12.5,12.5,12.38,12.38,5800,12.44,,
1973-03-14,12.5,12.5,12.31,12.31,1400,12.405,,
1973-03-15,12.31,12.31,12.31,12.31,600,12.31,,
1973-03-16,12.31,12.31,12.19,12.19,2800,12.25,,
1973-03-19,12.56,12.56,12.31,12.5,15200,12.4825,,
1973-03-20,12.63,12.63,12.44,12.5,8000,12.55,,
1973-03-21,12.63,12.63,12.44,12.44,14000,12.535,,
1973-03-22,12.5,12.5,12.38,12.38,5200,12.44,,
1973-03-23,12.38,12.38,12.38,12.38,1200,12.38,,
1973-03-26,12.38,12.38,12.38,12.38,1800,12.38,,
1973-03-27,12.44,12.44,12.31,12.44,4800,12.4075,,
1973-03-28,12.38,12.38,12.25,12.38,12000,12.3475,,
1973-03-29,12.5,12.5,12.25,12.31,4200,12.39,,
1973-03-30,12.31,12.31,12.31,12.31,4300,12.31,,
1973-04-02,12.38,12.38,12.0,12.06,4400,12.205,,
1973-04-03,12.31,12.31,12.19,12.31,1400,12.28,,
1973-04-04,12.5,12.5,12.38,12.38,5000,12.44,,
1973-04-05,12.38,12.38,12.31,12.38,1400,12.3625,,
1973-04-06,12.38,12.38,12.31,12.31,4800,12.345,,
1973-04-09,12.25,12.25,12.13,12.13,3800,12.19,,
1973-04-10,12.38,12.38,12.25,12.31,2400,12.33,,
1973-04-11,12.44,12.44,12.25,12.44,7200,12.3925,,
1973-04-12,12.5,12.5,12.31,12.31,1800,12.405,,
1973-04-13,12.5,12.5,12.31,12.31,4200,12.405,,
1973-04-16,12.56,12.56,12.44,12.56,1600,12.53,,
1973-04-17,12.56,12.56,12.38,12.5,2800,12.5,,
1973-04-18,12.44,12.44,12.38,12.44,2400,12.425,,
1973-04-19,12.56,12.56,12.5,12.56,1600,12.545,,
1973-04-23,12.56,12.56,12.0,12.5,4600,12.405,,
1973-04-24,12.56,12.56,12.38,12.38,1200,12.47,,
1973-04-25,12.38,12.38,12.19,12.19,30600,12.285,,
1973-04-26,12.31,12.31,12.25,12.31,3000,12.295,,
1973-04-27,12.38,12.38,12.19,12.38,4200,12.3325,,
1973-04-30,12.44,12.44,12.38,12.38,4600,12.41,,
1973-05-01,12.38,12.38,12.25,12.38,600,12.3475,,
1973-05-02,12.31,12.31,12.25,12.25,11600,12.28,,
1973-05-03,12.44,12.44,12.31,12.44,2400,12.4075,,
1973-05-04,12.44,12.44,12.31,12.31,2800,12.375,,
1973-05-07,12.38,12.38,12.13,12.38,3600,12.3175,,
1973-05-08,12.44,12.44,12.31,12.44,2200,12.4075,,
1973-05-09,12.5,12.5,12.19,12.38,16600,12.3925,,
1973-05-10,12.44,12.44,12.25,12.25,5800,12.345,,
1973-05-11,12.25,12.25,12.13,12.25,6400,12.22,,
1973-05-14,12.38,12.38,12.25,12.38,600,12.3475,,
1973-05-15,12.44,12.44,12.25,12.44,3000,12.3925,,
1973-05-16,12.38,12.38,12.19,12.38,4200,12.3325,,
1973-05-17,12.38,12.38,12.38,12.38,200,12.38,,
1973-05-18,12.38,12.38,12.13,12.38,6400,12.3175,,
1973-05-21,12.25,12.25,12.0,12.13,7400,12.1575,,
1973-05-22,12.25,12.25,12.06,12.06,600,12.155,,
1973-05-23,12.31,12.31,11.94,11.94,8400,12.125,,
1973-05-24,12.06,12.06,11.94,12.0,2400,12.015,,
