Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2024-03-27,115.0,135.0,115.0,131.25,4960410,124.0625,0.349,376.07449856733524
2024-03-28,137.93,137.93,129.96,136.75,2239055,135.6425,0.349,391.8338108882522
2024-04-01,141.01,144.33,137.07,142.02,1029500,141.1075,0.349,406.9340974212035
2024-04-02,142.85,152.48,138.64,140.0,18246124,143.4925,0.349,401.1461318051576
2024-04-03,142.3,144.0,135.8,137.34,8866900,139.86,0.349,393.5243553008596
2024-04-04,136.0,139.35,125.26,126.06,14207744,131.6675,0.349,361.2034383954155
2024-04-05,125.5,128.18,119.0,122.7,16054788,123.845,0.349,351.5759312320917
2024-04-08,126.13,131.95,125.86,129.96,12195039,128.475,0.349,372.37822349570206
2024-04-09,130.87,133.6,128.25,132.17,9143523,131.2225,0.349,378.7106017191977
2024-04-10,129.5,139.93,128.94,138.37,8376809,134.185,0.349,396.47564469914045
2024-04-11,139.2,139.32,136.41,136.57,5326943,137.875,0.349,391.31805157593124
2024-04-12,135.0,138.11,133.56,134.0,3765246,135.1675,0.349,383.9541547277937
2024-04-15,134.6,135.32,129.85,131.75,3724900,132.88,0.349,377.50716332378227
2024-04-16,132.5,133.05,128.25,130.07,5870930,130.9675,0.349,372.69340974212037
2024-04-17,132.04,138.18,131.25,134.75,6154600,134.055,0.349,386.1031518624642
2024-04-18,138.15,138.41,135.43,137.22,5022300,137.3025,0.349,393.18051575931236
2024-04-19,137.25,140.59,134.91,135.1,4518763,136.9625,0.349,387.10601719197706
2024-04-22,135.52,137.14,132.11,136.69,2435104,135.365,0.349,391.66189111747855
2024-04-23,138.46,148.35,137.87,147.83,4682814,143.1275,0.349,423.58166189111756
2024-04-24,147.0,149.9,144.35,146.18,4684613,146.8575,0.349,418.85386819484245
2024-04-25,143.0,152.14,138.67,148.31,6069300,145.53,0.349,424.95702005730664
2024-04-26,153.64,157.25,150.2,153.07,4230515,153.54,0.349,438.595988538682
2024-04-29,153.58,159.55,153.58,159.01,5937215,156.43,0.349,455.6160458452722
2024-04-30,158.14,163.1,152.25,153.71,3490100,156.8,-0.48,-320.2291666666667
2024-05-01,154.19,156.7,149.42,151.67,3397459,152.995,-0.48,-315.97916666666663
2024-05-02,153.53,155.44,151.66,153.83,2530741,153.615,-0.48,-320.4791666666667
2024-05-03,155.63,167.17,155.14,166.26,4635134,161.05,-0.48,-346.375
2024-05-06,167.16,171.17,164.51,169.14,4007044,167.995,-0.48,-352.375
2024-05-07,168.66,173.5,167.17,167.36,2884800,169.1725,-0.48,-348.6666666666667
2024-05-08,167.0,167.01,163.23,164.0,3679700,165.31,-0.48,-341.6666666666667
2024-05-09,165.0,168.72,164.65,166.4,4022600,166.1925,-0.48,-346.6666666666667
2024-05-10,169.0,170.8,165.99,167.27,3459622,168.265,-0.48,-348.4791666666667
2024-05-13,165.0,167.55,160.18,161.53,4413800,163.565,-0.48,-336.52083333333337
2024-05-14,160.69,166.56,158.86,165.63,3855420,162.935,-0.48,-345.0625
2024-05-15,168.36,172.35,166.96,167.87,2572025,168.885,-0.48,-349.7291666666667
2024-05-16,168.03,170.0,166.35,166.4,1604400,167.695,-0.48,-346.6666666666667
2024-05-17,166.88,167.64,160.94,162.62,1937200,164.52,-0.48,-338.7916666666667
2024-05-20,163.06,164.3,160.21,160.95,1736122,162.13,-0.48,-335.3125
2024-05-21,160.24,164.49,159.07,163.93,1945469,161.9325,-0.48,-341.52083333333337
2024-05-22,164.29,167.36,163.0,163.85,2018900,164.625,-0.48,-341.3541666666667
2024-05-23,166.42,170.0,161.44,161.67,3139003,164.8825,-0.48,-336.8125
2024-05-24,162.81,177.77,162.09,177.43,4294052,170.025,-0.48,-369.64583333333337
2024-05-28,178.34,182.78,176.78,178.09,2632749,178.9975,-0.48,-371.02083333333337
2024-05-29,176.0,178.69,174.1,177.32,1537710,176.5275,-0.48,-369.4166666666667
2024-05-30,176.97,177.81,174.5,175.08,2043133,176.09,-0.48,-364.75000000000006
2024-05-31,177.1,179.77,165.4,175.9,5454904,174.5425,-0.48,-366.45833333333337
2024-06-03,178.93,179.0,166.44,170.37,3434800,173.685,-0.48,-354.9375
2024-06-04,168.35,169.41,161.33,163.04,5279800,165.5325,-0.48,-339.6666666666667
2024-06-05,165.09,168.3,162.47,163.49,8005543,164.8375,-0.48,-340.6041666666667
2024-06-06,163.25,164.13,155.5,160.31,5249018,160.7975,-0.48,-333.9791666666667
2024-06-07,159.5,165.76,159.04,162.08,4850300,161.595,-0.48,-337.6666666666667
2024-06-10,161.22,170.0,160.6,166.64,4224304,164.615,-0.48,-347.16666666666663
2024-06-11,165.5,168.54,163.3,168.23,2036122,166.3925,-0.48,-350.4791666666667
2024-06-12,171.54,179.22,171.16,177.52,4016501,174.86,-0.48,-369.83333333333337
2024-06-13,179.8,181.96,172.84,176.17,3462200,177.6925,-0.48,-367.0208333333333
2024-06-14,174.09,174.78,166.2,170.17,3128342,171.31,-0.48,-354.5208333333333
2024-06-17,169.75,171.88,166.15,168.76,2804200,169.135,-0.48,-351.5833333333333
2024-06-18,167.94,180.25,166.33,179.57,3364919,173.5225,-0.48,-374.1041666666667
2024-06-20,178.47,185.5,175.1,177.18,4005304,179.0625,-0.48,-369.125
2024-06-21,177.1,177.18,170.4,175.73,3877000,175.1025,-0.48,-366.1041666666667
2024-06-24,176.55,179.15,174.77,178.14,2552900,177.1525,-0.48,-371.125
2024-06-25,179.8,181.5,176.27,181.45,2554030,179.755,-0.48,-378.0208333333333
2024-06-26,180.89,181.73,177.62,180.0,2284000,180.06,-0.48,-375.0
2024-06-27,178.39,179.27,173.25,176.28,2541300,176.7975,-0.48,-367.25
2024-06-28,174.8,176.3,167.18,171.51,3783600,172.4475,-0.48,-357.3125
2024-07-01,171.0,171.2,165.12,167.52,2748335,168.71,-0.48,-349.00000000000006
2024-07-02,165.41,171.98,165.41,169.81,2447440,168.1525,-0.48,-353.77083333333337
2024-07-03,170.1,174.78,169.18,172.68,1317200,171.685,-0.48,-359.75
2024-07-05,171.5,177.44,171.26,176.23,1629585,174.1075,-0.48,-367.1458333333333
2024-07-08,176.81,178.6,174.17,174.37,1659343,175.9875,-0.48,-363.27083333333337
2024-07-09,174.28,174.83,172.6,172.98,1801065,173.6725,-0.48,-360.375
2024-07-10,174.93,179.8,174.6,179.73,1835700,177.265,-0.48,-374.4375
2024-07-11,181.0,183.16,176.55,176.7,2574654,179.3525,-0.48,-368.125
2024-07-12,177.95,184.33,174.4,180.45,1603909,179.2825,-0.48,-375.9375
2024-07-15,180.24,181.81,176.5,177.44,3026614,178.9975,-0.48,-369.6666666666667
2024-07-16,178.78,183.89,178.18,182.74,1789742,180.8975,-0.48,-380.70833333333337
2024-07-17,180.2,180.2,162.9,165.83,6033800,172.2825,-0.48,-345.4791666666667
2024-07-18,168.0,171.45,159.43,161.49,4736600,165.0925,-0.48,-336.43750000000006
2024-07-19,162.0,163.69,159.11,163.34,2547800,162.035,-0.48,-340.2916666666667
2024-07-22,166.38,168.25,163.68,166.76,1738608,166.2675,-0.48,-347.4166666666667
2024-07-23,167.0,171.01,166.22,170.49,3221800,168.68,-0.48,-355.18750000000006
2024-07-24,167.34,172.3,162.73,162.9,5532133,166.3175,4.72,34.51271186440678
2024-07-25,166.0,166.29,156.41,160.0,5163200,162.175,4.72,33.898305084745765
2024-07-26,168.46,173.98,163.69,173.11,3871920,169.81,4.72,36.67584745762712
2024-07-29,174.32,174.77,169.85,172.05,1757967,172.7475,4.72,36.451271186440685
2024-07-30,172.93,174.07,162.45,162.7,2639331,168.0375,4.72,34.470338983050844
2024-07-31,171.25,180.26,171.25,178.24,4056500,175.25,4.72,37.76271186440678
2024-08-01,181.9,183.86,171.81,174.03,3706800,177.9,4.72,36.87076271186441
2024-08-02,168.78,169.99,161.5,164.73,3314500,166.25,4.72,34.90042372881356
