Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,5.72,5.72,5.72,5.72,5598,5.72,,
1968-01-03,5.65,5.65,5.65,5.65,13232,5.65,,
1968-01-04,5.65,5.65,5.65,5.65,43770,5.65,,
1968-01-05,5.82,5.82,5.82,5.82,59548,5.82,,
1968-01-08,6.04,6.04,6.04,6.04,18831,6.04,,
1968-01-09,6.16,6.16,6.16,6.16,28501,6.16,,
1968-01-10,6.21,6.21,6.21,6.21,19340,6.21,,
1968-01-11,6.09,6.09,6.09,6.09,62601,6.09,,
1968-01-12,6.04,6.04,6.04,6.04,11706,6.04,,
1968-01-15,6.02,6.02,6.02,6.02,13232,6.02,,
1968-01-16,6.02,6.02,6.02,6.02,15777,6.02,,
1968-01-17,6.04,6.04,6.04,6.04,76343,6.04,,
1968-01-18,5.92,5.92,5.92,5.92,11197,5.92,,
1968-01-19,6.04,6.04,6.04,6.04,14250,6.04,,
1968-01-22,5.97,5.97,5.97,5.97,24938,5.97,,
1968-01-23,5.89,5.89,5.89,5.89,8652,5.89,,
1968-01-24,5.94,5.94,5.94,5.94,25447,5.94,,
1968-01-25,5.82,5.82,5.82,5.82,7125,5.82,,
1968-01-26,5.82,5.82,5.82,5.82,38680,5.82,,
1968-01-29,6.02,6.02,6.02,6.02,20358,6.02,,
1968-01-30,6.04,6.04,6.04,6.04,28501,6.04,,
1968-01-31,5.99,5.99,5.99,5.99,5089,5.99,,
1968-02-01,5.99,5.99,5.99,5.99,2544,5.99,,
1968-02-02,5.99,5.99,5.99,5.99,20358,5.99,,
1968-02-05,6.02,6.02,6.02,6.02,9670,6.02,,
1968-02-06,6.04,6.04,6.04,6.04,7125,6.04,,
1968-02-07,6.19,6.19,6.19,6.19,18831,6.19,,
1968-02-08,6.09,6.09,6.09,6.09,10179,6.09,,
1968-02-09,6.09,6.09,6.09,6.09,14759,6.09,,
1968-02-13,6.14,6.14,6.14,6.14,13741,6.14,,
1968-02-14,6.04,6.04,6.04,6.04,12215,6.04,,
1968-02-15,6.07,6.07,6.07,6.07,5089,6.07,,
1968-02-16,6.02,6.02,6.02,6.02,14250,6.02,,
1968-02-19,5.94,5.94,5.94,5.94,12723,5.94,,
1968-02-20,5.97,5.97,5.97,5.97,5089,5.97,,
1968-02-21,6.04,6.04,6.04,6.04,5598,6.04,,
1968-02-23,5.85,5.85,5.85,5.85,17304,5.85,,
1968-02-26,5.94,5.94,5.94,5.94,20867,5.94,,
1968-02-27,5.89,5.89,5.89,5.89,4071,5.89,,
1968-02-28,5.92,5.92,5.92,5.92,13741,5.92,,
1968-02-29,5.82,5.82,5.82,5.82,4580,5.82,,
1968-03-01,5.75,5.75,5.75,5.75,52931,5.75,,
1968-03-04,5.87,5.87,5.87,5.87,13741,5.87,,
1968-03-05,5.75,5.75,5.75,5.75,7125,5.75,,
1968-03-06,5.75,5.75,5.75,5.75,12215,5.75,,
1968-03-07,5.8,5.8,5.8,5.8,27992,5.8,,
1968-03-08,5.77,5.77,5.77,5.77,18322,5.77,,
1968-03-11,5.67,5.67,5.67,5.67,7125,5.67,,
