Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,23.25,23.25,23.25,23.25,3500,23.25,,
1968-01-03,23.5,23.5,23.5,23.5,4500,23.5,,
1968-01-04,23.75,23.75,23.75,23.75,6100,23.75,,
1968-01-05,23.88,23.88,23.88,23.88,11300,23.88,,
1968-01-08,25.38,25.38,25.38,25.38,18900,25.38,,
1968-01-09,26.13,26.13,26.13,26.13,17200,26.13,,
1968-01-10,26.5,26.5,26.5,26.5,8600,26.5,,
1968-01-11,26.63,26.63,26.63,26.63,10800,26.63,,
1968-01-12,26.88,26.88,26.88,26.88,7100,26.88,,
1968-01-15,26.63,26.63,26.63,26.63,4900,26.63,,
1968-01-16,26.63,26.63,26.63,26.63,4400,26.63,,
1968-01-17,26.0,26.0,26.0,26.0,3100,26.0,,
1968-01-18,26.0,26.0,26.0,26.0,5800,26.0,,
1968-01-19,26.25,26.25,26.25,26.25,4100,26.25,,
1968-01-22,25.25,25.25,25.25,25.25,4200,25.25,,
1968-01-23,25.5,25.5,25.5,25.5,6500,25.5,,
1968-01-24,25.25,25.25,25.25,25.25,3500,25.25,,
1968-01-25,25.13,25.13,25.13,25.13,3600,25.13,,
1968-01-26,26.0,26.0,26.0,26.0,6700,26.0,,
1968-01-29,26.25,26.25,26.25,26.25,3800,26.25,,
1968-01-30,26.0,26.0,26.0,26.0,3600,26.0,,
1968-01-31,25.63,25.63,25.63,25.63,2500,25.63,,
1968-02-01,25.0,25.0,25.0,25.0,10500,25.0,,
1968-02-02,24.5,24.5,24.5,24.5,4200,24.5,,
1968-02-05,24.38,24.38,24.38,24.38,6300,24.38,,
1968-02-06,24.88,24.88,24.88,24.88,1800,24.88,,
1968-02-07,24.63,24.63,24.63,24.63,2200,24.63,,
1968-02-08,24.75,24.75,24.75,24.75,4900,24.75,,
1968-02-09,25.0,25.0,25.0,25.0,3100,25.0,,
1968-02-13,24.13,24.13,24.13,24.13,3500,24.13,,
1968-02-14,23.63,23.63,23.63,23.63,4700,23.63,,
1968-02-15,24.0,24.0,24.0,24.0,2100,24.0,,
1968-02-16,24.0,24.0,24.0,24.0,1100,24.0,,
1968-02-19,24.75,24.75,24.75,24.75,4400,24.75,,
1968-02-20,24.38,24.38,24.38,24.38,5800,24.38,,
1968-02-21,24.25,24.25,24.25,24.25,4000,24.25,,
1968-02-23,24.0,24.0,24.0,24.0,3200,24.0,,
1968-02-26,23.75,23.75,23.75,23.75,1400,23.75,,
1968-02-27,23.88,23.88,23.88,23.88,3200,23.88,,
1968-02-28,23.63,23.63,23.63,23.63,2700,23.63,,
1968-02-29,23.5,23.5,23.5,23.5,2400,23.5,,
1968-03-01,23.13,23.13,23.13,23.13,2000,23.13,,
1968-03-04,22.75,22.75,22.75,22.75,5000,22.75,,
1968-03-05,22.5,22.5,22.5,22.5,4800,22.5,,
1968-03-06,23.5,23.5,23.5,23.5,2400,23.5,,
1968-03-07,23.38,23.38,23.38,23.38,3400,23.38,,
1968-03-08,23.25,23.25,23.25,23.25,1900,23.25,,
1968-03-11,23.38,23.38,23.38,23.38,2600,23.38,,
1968-03-12,23.5,23.5,23.5,23.5,2400,23.5,,
1968-03-13,23.75,23.75,23.75,23.75,900,23.75,,
1968-03-14,22.88,22.88,22.88,22.88,5100,22.88,,
1968-03-15,22.5,22.5,22.5,22.5,6300,22.5,,
1968-03-18,22.25,22.25,22.25,22.25,4400,22.25,,
1968-03-19,22.13,22.13,22.13,22.13,4200,22.13,,
1968-03-20,22.0,22.0,22.0,22.0,2500,22.0,,
1968-03-21,22.38,22.38,22.38,22.38,4700,22.38,,
1968-03-22,22.38,22.38,22.38,22.38,3800,22.38,,
1968-03-25,22.13,22.13,22.13,22.13,2200,22.13,,
1968-03-26,22.25,22.25,22.25,22.25,600,22.25,,
1968-03-27,22.38,22.38,22.38,22.38,12200,22.38,,
1968-03-28,22.88,22.88,22.88,22.88,2900,22.88,,
1968-03-29,22.75,22.75,22.75,22.75,1700,22.75,,
1968-04-01,23.25,23.25,23.25,23.25,3600,23.25,,
1968-04-02,23.25,23.25,23.25,23.25,5300,23.25,,
1968-04-03,23.13,23.13,23.13,23.13,3500,23.13,,
1968-04-04,24.0,24.0,24.0,24.0,4100,24.0,,
1968-04-05,23.38,23.38,23.38,23.38,7800,23.38,,
1968-04-08,23.38,23.38,23.38,23.38,4900,23.38,,
1968-04-10,23.5,23.5,23.5,23.5,4700,23.5,,
1968-04-11,23.38,23.38,23.38,23.38,3500,23.38,,
1968-04-15,23.75,23.75,23.75,23.75,3700,23.75,,
1968-04-16,23.63,23.63,23.63,23.63,2900,23.63,,
1968-04-17,23.38,23.38,23.38,23.38,2600,23.38,,
1968-04-18,23.25,23.25,23.25,23.25,2800,23.25,,
1968-04-19,22.63,22.63,22.63,22.63,4900,22.63,,
1968-04-22,22.88,22.88,22.88,22.88,4300,22.88,,
1968-04-23,22.88,22.88,22.88,22.88,2100,22.88,,
1968-04-24,23.13,23.13,23.13,23.13,3000,23.13,,
1968-04-25,23.0,23.0,23.0,23.0,9400,23.0,,
1968-04-26,22.63,22.63,22.63,22.63,3700,22.63,,
1968-04-29,23.0,23.0,23.0,23.0,1000,23.0,,
1968-04-30,22.88,22.88,22.88,22.88,2900,22.88,,
1968-05-01,22.75,22.75,22.75,22.75,6000,22.75,,
1968-05-02,22.25,22.25,22.25,22.25,2400,22.25,,
1968-05-03,22.25,22.25,22.25,22.25,5600,22.25,,
1968-05-06,22.5,22.5,22.5,22.5,4000,22.5,,
1968-05-07,22.63,22.63,22.63,22.63,2400,22.63,,
1968-05-08,22.63,22.63,22.63,22.63,2600,22.63,,
1968-05-09,22.5,22.5,22.5,22.5,3700,22.5,,
1968-05-10,22.13,22.13,22.13,22.13,3800,22.13,,
1968-05-13,22.13,22.13,22.13,22.13,11600,22.13,,
1968-05-14,22.0,22.0,22.0,22.0,13100,22.0,,
1968-05-15,22.25,22.25,22.25,22.25,3800,22.25,,
1968-05-16,22.13,22.13,22.13,22.13,1800,22.13,,
1968-05-17,22.13,22.13,22.13,22.13,2300,22.13,,
1968-05-20,22.25,22.25,22.25,22.25,6100,22.25,,
1968-05-21,21.88,21.88,21.88,21.88,6300,21.88,,
1968-05-22,21.5,21.5,21.5,21.5,24600,21.5,,
1968-05-23,21.88,21.88,21.88,21.88,5000,21.88,,
1968-05-24,21.63,21.63,21.63,21.63,6900,21.63,,
1968-05-27,21.25,21.25,21.25,21.25,15800,21.25,,
1968-05-28,21.5,21.5,21.5,21.5,7700,21.5,,
1968-05-29,21.63,21.63,21.63,21.63,7600,21.63,,
1968-05-31,21.75,21.75,21.75,21.75,12800,21.75,,
1968-06-03,21.63,21.63,21.63,21.63,14400,21.63,,
1968-06-04,21.75,21.75,21.75,21.75,8100,21.75,,
1968-06-05,21.88,21.88,21.88,21.88,3100,21.88,,
1968-06-06,22.38,22.38,22.38,22.38,9300,22.38,,
1968-06-07,22.75,22.75,22.75,22.75,9200,22.75,,
1968-06-10,22.75,22.75,22.75,22.75,7500,22.75,,
1968-06-11,23.25,23.25,23.25,23.25,4400,23.25,,
1968-06-13,23.75,23.75,23.75,23.75,12300,23.75,,
1968-06-14,24.0,24.0,24.0,24.0,4600,24.0,,
1968-06-17,24.0,24.0,24.0,24.0,7100,24.0,,
1968-06-18,24.0,24.0,24.0,24.0,21200,24.0,,
1968-06-20,24.38,24.38,24.38,24.38,16500,24.38,,
1968-06-21,25.13,25.13,25.13,25.13,19000,25.13,,
1968-06-24,24.75,24.75,24.75,24.75,4600,24.75,,
1968-06-25,24.38,24.38,24.38,24.38,4400,24.38,,
1968-06-27,24.63,24.63,24.63,24.63,5100,24.63,,
1968-06-28,24.5,24.5,24.5,24.5,3000,24.5,,
1968-07-01,23.88,23.88,23.88,23.88,6500,23.88,,
1968-07-02,24.5,24.5,24.5,24.5,4800,24.5,,
1968-07-03,24.25,24.25,24.25,24.25,3400,24.25,,
1968-07-08,24.5,24.5,24.5,24.5,3900,24.5,,
1968-07-09,24.25,24.25,24.25,24.25,2300,24.25,,
1968-07-11,24.5,24.5,24.5,24.5,17900,24.5,,
1968-07-12,24.5,24.5,24.5,24.5,4400,24.5,,
