Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,6.73,6.73,6.73,6.73,21554,6.73,,
1968-01-03,6.73,6.73,6.73,6.73,8190,6.73,,
1968-01-04,6.79,6.79,6.79,6.79,9915,6.79,,
1968-01-05,6.9,6.9,6.9,6.9,25865,6.9,,
1968-01-08,7.19,7.19,7.19,7.19,21123,7.19,,
1968-01-09,7.34,7.34,7.34,7.34,12932,7.34,,
1968-01-10,7.34,7.34,7.34,7.34,9915,7.34,,
1968-01-11,7.25,7.25,7.25,7.25,11208,7.25,,
1968-01-12,7.19,7.19,7.19,7.19,7759,7.19,,
1968-01-15,7.08,7.08,7.08,7.08,14225,7.08,,
1968-01-16,6.9,6.9,6.9,6.9,8621,6.9,,
1968-01-17,6.96,6.96,6.96,6.96,9483,6.96,,
1968-01-18,6.99,6.99,6.99,6.99,4310,6.99,,
1968-01-19,6.93,6.93,6.93,6.93,8190,6.93,,
1968-01-22,6.84,6.84,6.84,6.84,12932,6.84,,
1968-01-23,6.81,6.81,6.81,6.81,13363,6.81,,
1968-01-24,6.76,6.76,6.76,6.76,15950,6.76,,
1968-01-25,6.73,6.73,6.73,6.73,7759,6.73,,
1968-01-26,6.76,6.76,6.76,6.76,8190,6.76,,
1968-01-29,6.84,6.84,6.84,6.84,6035,6.84,,
1968-01-30,6.93,6.93,6.93,6.93,4741,6.93,,
1968-01-31,6.84,6.84,6.84,6.84,4310,6.84,,
1968-02-01,6.84,6.84,6.84,6.84,3017,6.84,,
1968-02-02,6.93,6.93,6.93,6.93,9483,6.93,,
1968-02-05,6.79,6.79,6.79,6.79,7328,6.79,,
1968-02-06,6.76,6.76,6.76,6.76,10777,6.76,,
1968-02-07,6.84,6.84,6.84,6.84,9915,6.84,,
1968-02-08,6.79,6.79,6.79,6.79,5173,6.79,,
1968-02-09,6.9,6.9,6.9,6.9,10777,6.9,,
1968-02-13,6.81,6.81,6.81,6.81,12932,6.81,,
1968-02-14,6.84,6.84,6.84,6.84,3879,6.84,,
1968-02-15,6.9,6.9,6.9,6.9,3448,6.9,,
1968-02-16,6.9,6.9,6.9,6.9,5173,6.9,,
1968-02-19,6.9,6.9,6.9,6.9,8190,6.9,,
1968-02-20,6.84,6.84,6.84,6.84,8190,6.84,,
1968-02-21,6.81,6.81,6.81,6.81,9915,6.81,,
1968-02-23,6.76,6.76,6.76,6.76,13794,6.76,,
1968-02-26,6.73,6.73,6.73,6.73,23709,6.73,,
1968-02-27,6.79,6.79,6.79,6.79,11208,6.79,,
1968-02-28,6.81,6.81,6.81,6.81,11639,6.81,,
1968-02-29,6.79,6.79,6.79,6.79,10346,6.79,,
1968-03-01,6.84,6.84,6.84,6.84,10777,6.84,,
1968-03-04,6.84,6.84,6.84,6.84,8621,6.84,,
1968-03-05,6.79,6.79,6.79,6.79,17243,6.79,,
1968-03-06,6.67,6.67,6.67,6.67,9052,6.67,,
1968-03-07,6.73,6.73,6.73,6.73,7759,6.73,,
1968-03-08,6.7,6.7,6.7,6.7,7759,6.7,,
1968-03-11,6.7,6.7,6.7,6.7,8621,6.7,,
1968-03-12,6.61,6.61,6.61,6.61,11639,6.61,,
1968-03-13,6.7,6.7,6.7,6.7,10346,6.7,,
1968-03-14,6.58,6.58,6.58,6.58,6466,6.58,,
1968-03-15,6.58,6.58,6.58,6.58,6035,6.58,,
1968-03-18,6.61,6.61,6.61,6.61,8190,6.61,,
1968-03-19,6.64,6.64,6.64,6.64,6897,6.64,,
1968-03-20,6.64,6.64,6.64,6.64,11208,6.64,,
1968-03-21,6.64,6.64,6.64,6.64,1293,6.64,,
1968-03-22,6.58,6.58,6.58,6.58,3448,6.58,,
1968-03-25,6.61,6.61,6.61,6.61,13363,6.61,,
1968-03-26,6.5,6.5,6.5,6.5,4310,6.5,,
1968-03-27,6.5,6.5,6.5,6.5,13363,6.5,,
1968-03-28,6.5,6.5,6.5,6.5,12501,6.5,,
1968-03-29,6.55,6.55,6.55,6.55,4741,6.55,,
1968-04-01,6.58,6.58,6.58,6.58,12501,6.58,,
1968-04-02,6.61,6.61,6.61,6.61,12070,6.61,,
1968-04-03,6.7,6.7,6.7,6.7,15950,6.7,,
1968-04-04,6.84,6.84,6.84,6.84,30176,6.84,,
1968-04-05,6.73,6.73,6.73,6.73,8190,6.73,,
1968-04-08,6.79,6.79,6.79,6.79,3448,6.79,,
1968-04-10,6.73,6.73,6.73,6.73,10346,6.73,,
1968-04-11,6.7,6.7,6.7,6.7,9052,6.7,,
1968-04-15,6.7,6.7,6.7,6.7,6466,6.7,,
1968-04-16,6.58,6.58,6.58,6.58,19398,6.58,,
1968-04-17,6.64,6.64,6.64,6.64,9483,6.64,,
1968-04-18,6.64,6.64,6.64,6.64,7328,6.64,,
1968-04-19,6.5,6.5,6.5,6.5,19830,6.5,,
1968-04-22,6.47,6.47,6.47,6.47,9915,6.47,,
1968-04-23,6.41,6.41,6.41,6.41,23709,6.41,,
