Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,9.36,9.36,9.36,9.36,11422,9.36,,
1968-01-03,9.36,9.4,9.36,9.4,8717,9.38,,
1968-01-04,9.4,9.48,9.4,9.48,12925,9.44,,
1968-01-05,9.48,9.48,9.44,9.44,4809,9.46,,
1968-01-08,9.44,9.48,9.44,9.48,14428,9.46,,
1968-01-09,9.48,9.48,9.44,9.44,11422,9.46,,
1968-01-10,9.44,9.44,9.44,9.44,9018,9.44,,
1968-01-11,9.44,9.48,9.44,9.48,11422,9.46,,
1968-01-12,9.48,9.52,9.48,9.52,10521,9.5,,
1968-01-15,9.52,9.52,9.44,9.44,15931,9.48,,
1968-01-16,9.44,9.44,9.23,9.23,11122,9.335,,
1968-01-17,9.23,9.23,9.07,9.07,26753,9.15,,
1968-01-18,9.07,9.07,9.07,9.07,15931,9.07,,
1968-01-19,9.07,9.07,8.94,8.94,12024,9.005,,
1968-01-22,8.94,9.07,8.94,9.07,7515,9.005,,
1968-01-23,9.07,9.07,9.07,9.07,10821,9.07,,
1968-01-24,9.07,9.07,8.77,8.77,22845,8.92,,
1968-01-25,8.77,8.94,8.77,8.94,7214,8.855,,
1968-01-26,8.94,8.94,8.94,8.94,8416,8.94,,
1968-01-29,8.94,8.94,8.94,8.94,7214,8.94,,
1968-01-30,8.94,8.94,8.86,8.86,19238,8.9,,
1968-01-31,8.86,8.86,8.77,8.77,8116,8.815,,
1968-02-01,8.77,8.82,8.77,8.82,5110,8.795,,
1968-02-02,8.82,8.82,8.82,8.82,16533,8.82,,
1968-02-05,8.82,8.82,8.82,8.82,11122,8.82,,
1968-02-06,8.82,8.86,8.82,8.86,7515,8.84,,
1968-02-07,8.86,8.86,8.86,8.86,22545,8.86,,
1968-02-08,8.86,8.86,8.82,8.82,6613,8.84,,
1968-02-09,8.82,8.82,8.73,8.73,11422,8.775,,
1968-02-13,8.73,8.73,8.69,8.69,14128,8.71,,
1968-02-14,8.69,8.73,8.69,8.73,11422,8.71,,
1968-02-15,8.73,8.73,8.69,8.69,14428,8.71,,
1968-02-16,8.69,8.77,8.69,8.77,11723,8.73,,
1968-02-19,8.77,8.77,8.73,8.73,32164,8.75,,
1968-02-20,8.73,8.77,8.73,8.77,16232,8.75,,
1968-02-21,8.77,8.77,8.77,8.77,10220,8.77,,
1968-02-23,8.77,8.86,8.77,8.86,7815,8.815,,
1968-02-26,8.86,8.86,8.86,8.86,10821,8.86,,
1968-02-27,8.86,8.86,8.77,8.77,6312,8.815,,
1968-02-28,8.77,8.82,8.77,8.82,10220,8.795,,
1968-02-29,8.82,8.82,8.73,8.73,11122,8.775,,
1968-03-01,8.73,8.73,8.73,8.73,8717,8.73,,
1968-03-04,8.73,8.86,8.73,8.86,15030,8.795,,
1968-03-05,8.86,8.86,8.65,8.65,15631,8.755,,
1968-03-06,8.65,8.69,8.65,8.69,5110,8.67,,
1968-03-07,8.69,8.69,8.69,8.69,8116,8.69,,
1968-03-08,8.69,8.69,8.65,8.65,3907,8.67,,
1968-03-11,8.65,8.65,8.65,8.65,10521,8.65,,
1968-03-12,8.65,8.69,8.65,8.69,11122,8.67,,
1968-03-13,8.69,8.73,8.69,8.73,12625,8.71,,
1968-03-14,8.73,8.73,8.65,8.65,12625,8.69,,
1968-03-15,8.65,8.77,8.65,8.77,9619,8.71,,
1968-03-18,8.77,8.77,8.77,8.77,8717,8.77,,
1968-03-19,8.77,8.77,8.69,8.69,17134,8.73,,
1968-03-20,8.69,8.69,8.65,8.65,6913,8.67,,
1968-03-21,8.65,8.69,8.65,8.69,7214,8.67,,
1968-03-22,8.69,8.69,8.61,8.61,11422,8.65,,
1968-03-25,8.61,8.61,8.44,8.44,71242,8.525,,
1968-03-26,8.44,8.48,8.44,8.48,12625,8.46,,
1968-03-27,8.48,8.48,8.36,8.36,23146,8.42,,
1968-03-28,8.36,8.4,8.36,8.4,16833,8.38,,
1968-03-29,8.4,8.4,8.4,8.4,8717,8.4,,
1968-04-01,8.4,8.48,8.4,8.48,29759,8.44,,
1968-04-02,8.48,8.48,8.48,8.48,25851,8.48,,
1968-04-03,8.48,8.98,8.48,8.98,51102,8.73,,
1968-04-04,8.98,9.07,8.98,9.07,15030,9.025,,
1968-04-05,9.07,9.11,9.07,9.11,14428,9.09,,
1968-04-08,9.11,9.15,9.11,9.15,17134,9.13,,
1968-04-10,9.15,9.23,9.15,9.23,15330,9.19,,
1968-04-11,9.23,9.27,9.23,9.27,15931,9.25,,
1968-04-15,9.27,9.27,9.07,9.07,11122,9.17,,
1968-04-16,9.07,9.15,9.07,9.15,16833,9.11,,
1968-04-17,9.15,9.15,9.02,9.02,12324,9.085,,
1968-04-18,9.02,9.02,9.02,9.02,8717,9.02,,
1968-04-19,9.02,9.02,8.98,8.98,16533,9.0,,
1968-04-22,8.98,8.98,8.86,8.86,12925,8.92,,
1968-04-23,8.86,8.98,8.86,8.98,12024,8.92,,
1968-04-24,8.98,8.98,8.94,8.94,8717,8.96,,
1968-04-25,8.94,8.94,8.9,8.9,11122,8.92,,
1968-04-26,8.9,8.9,8.86,8.86,11723,8.88,,
1968-04-29,8.86,8.98,8.86,8.98,10521,8.92,,
1968-04-30,8.98,8.98,8.94,8.94,14128,8.96,,
1968-05-01,8.94,8.94,8.9,8.9,11122,8.92,,
1968-05-02,8.9,8.94,8.9,8.94,12925,8.92,,
1968-05-03,8.94,8.94,8.94,8.94,19839,8.94,,
1968-05-06,8.94,8.98,8.94,8.98,11122,8.96,,
1968-05-07,8.98,8.98,8.9,8.9,18637,8.94,,
1968-05-08,8.9,8.94,8.9,8.94,14128,8.92,,
1968-05-09,8.94,8.98,8.94,8.98,12925,8.96,,
1968-05-10,8.98,8.98,8.77,8.77,19238,8.875,,
1968-05-13,8.77,8.82,8.77,8.82,13527,8.795,,
