Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2016-10-05,16.0,16.5,15.5,15.5,569700,15.88,0.44,35.22727272727273
2016-10-06,15.5,15.9,15.5,15.75,264900,15.66,0.44,35.79545454545455
2016-10-07,15.9,15.9,15.7,15.9,110900,15.85,0.44,36.13636363636364
2016-10-10,15.95,25.24,15.9,16.0,6300,18.27,0.44,36.36363636363637
2016-10-11,16.1,16.5,16.0,16.35,158400,16.24,0.44,37.159090909090914
2016-10-12,16.35,17.0,16.0,16.35,160500,16.43,0.44,37.159090909090914
2016-10-13,16.5,16.5,16.0,16.1,265800,16.28,0.44,36.59090909090909
2016-10-14,16.05,16.1,16.05,16.1,45500,16.07,0.44,36.59090909090909
2016-10-17,16.15,16.15,16.1,16.1,20600,16.13,0.44,36.59090909090909
2016-10-18,16.14,16.14,15.96,16.0,464300,16.06,0.44,36.36363636363637
2016-10-19,15.75,16.0,15.75,15.99,140400,15.87,0.44,36.34090909090909
2016-10-20,15.9,16.0,15.75,15.9,653900,15.89,0.44,36.13636363636364
2016-10-21,15.65,15.8,15.5,15.7,27500,15.66,0.44,35.68181818181818
2016-10-24,15.75,15.75,15.5,15.68,130300,15.67,0.44,35.63636363636363
2016-10-25,15.51,15.58,15.25,15.58,6200,15.48,0.44,35.40909090909091
2016-10-26,15.5,15.5,15.35,15.45,52300,15.45,0.44,35.11363636363636
2016-10-27,15.35,15.35,15.16,15.2,271100,15.27,0.44,34.54545454545455
2016-10-28,15.2,15.45,15.0,15.2,2185200,15.21,0.44,34.54545454545455
2016-10-31,15.25,15.25,15.0,15.2,25900,15.17,0.44,34.54545454545455
2016-11-01,15.0,15.0,14.9,15.0,11800,14.97,0.44,34.09090909090909
2016-11-02,14.8,14.8,13.5,13.6,9900,14.18,0.44,30.909090909090907
2016-11-03,13.75,13.8,13.6,13.6,122300,13.69,0.44,30.909090909090907
2016-11-04,13.6,14.0,13.6,14.0,603600,13.8,0.44,31.818181818181817
2016-11-07,14.1,14.25,14.1,14.1,2300,14.14,0.44,32.04545454545455
2016-11-08,14.0,14.25,13.9,14.2,335100,14.09,0.44,32.27272727272727
2016-11-09,13.9,14.15,13.9,14.05,106300,14.0,0.44,31.931818181818183
2016-11-10,14.1,14.23,14.1,14.23,2629000,14.16,0.44,32.34090909090909
2016-11-11,14.4,14.9,14.4,14.71,13400,14.6,0.44,33.43181818181819
2016-11-14,14.7,14.95,14.4,14.4,121500,14.61,0.44,32.72727272727273
2016-11-15,14.4,14.45,14.32,14.32,798600,14.37,0.44,32.54545454545455
2016-11-16,14.35,14.35,14.1,14.1,65600,14.23,0.44,32.04545454545455
2016-11-17,14.1,14.1,14.0,14.05,60400,14.06,0.44,31.931818181818183
2016-11-18,14.1,14.15,13.9,14.1,728700,14.06,0.44,32.04545454545455
2016-11-21,14.0,14.04,14.0,14.0,28000,14.01,0.44,31.818181818181817
2016-11-22,14.05,14.05,14.05,14.05,100000,14.05,0.44,31.931818181818183
