Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,2.76,2.76,2.76,2.76,26092,2.76,,
1968-01-03,2.76,2.76,2.76,2.76,23392,2.76,,
1968-01-04,2.86,2.86,2.86,2.86,38692,2.86,,
1968-01-05,2.93,2.93,2.93,2.93,57592,2.93,,
1968-01-08,2.93,2.93,2.93,2.93,19792,2.93,,
1968-01-09,2.93,2.93,2.93,2.93,35092,2.93,,
1968-01-10,2.92,2.92,2.92,2.92,52192,2.92,,
1968-01-11,2.93,2.93,2.93,2.93,61192,2.93,,
1968-01-12,2.93,2.93,2.93,2.93,32392,2.93,,
1968-01-15,2.93,2.93,2.93,2.93,29692,2.93,,
1968-01-16,2.94,2.94,2.94,2.94,33292,2.94,,
1968-01-17,2.88,2.88,2.88,2.88,29692,2.88,,
1968-01-18,2.88,2.88,2.88,2.88,64792,2.88,,
1968-01-19,2.88,2.88,2.88,2.88,110692,2.88,,
1968-01-22,2.86,2.86,2.86,2.86,28792,2.86,,
1968-01-23,2.81,2.81,2.81,2.81,13492,2.81,,
1968-01-24,2.78,2.78,2.78,2.78,22492,2.78,,
1968-01-25,2.69,2.69,2.69,2.69,141292,2.69,,
1968-01-26,2.76,2.76,2.76,2.76,74692,2.76,,
1968-01-29,2.74,2.74,2.74,2.74,27892,2.74,,
1968-01-30,2.72,2.72,2.72,2.72,50392,2.72,,
1968-01-31,2.76,2.76,2.76,2.76,21592,2.76,,
1968-02-01,2.74,2.74,2.74,2.74,58492,2.74,,
1968-02-02,2.76,2.76,2.76,2.76,44092,2.76,,
1968-02-05,2.78,2.78,2.78,2.78,31492,2.78,,
1968-02-06,2.83,2.83,2.83,2.83,16192,2.83,,
1968-02-07,2.78,2.78,2.78,2.78,43192,2.78,,
1968-02-08,2.78,2.78,2.78,2.78,17992,2.78,,
1968-02-09,2.74,2.74,2.74,2.74,63892,2.74,,
1968-02-13,2.72,2.72,2.72,2.72,29692,2.72,,
1968-02-14,2.76,2.76,2.76,2.76,48592,2.76,,
1968-02-15,2.78,2.78,2.78,2.78,28792,2.78,,
1968-02-16,2.78,2.78,2.78,2.78,30592,2.78,,
1968-02-19,2.78,2.78,2.78,2.78,21592,2.78,,
1968-02-20,2.83,2.83,2.83,2.83,26092,2.83,,
1968-02-21,2.83,2.83,2.83,2.83,48592,2.83,,
1968-02-23,2.85,2.85,2.85,2.85,29692,2.85,,
1968-02-26,2.88,2.88,2.88,2.88,43192,2.88,,
1968-02-27,2.83,2.83,2.83,2.83,46792,2.83,,
1968-02-28,2.85,2.85,2.85,2.85,62092,2.85,,
1968-02-29,2.78,2.78,2.78,2.78,18892,2.78,,
1968-03-01,2.74,2.74,2.74,2.74,42292,2.74,,
1968-03-04,2.76,2.76,2.76,2.76,79192,2.76,,
1968-03-05,2.69,2.69,2.69,2.69,47692,2.69,,
1968-03-06,2.81,2.81,2.81,2.81,29692,2.81,,
1968-03-07,2.81,2.81,2.81,2.81,22492,2.81,,
1968-03-08,2.78,2.78,2.78,2.78,26092,2.78,,
1968-03-11,2.83,2.83,2.83,2.83,19792,2.83,,
1968-03-12,2.86,2.86,2.86,2.86,24292,2.86,,
1968-03-13,2.72,2.72,2.72,2.72,33292,2.72,,
1968-03-14,2.74,2.74,2.74,2.74,32392,2.74,,
1968-03-15,2.67,2.67,2.67,2.67,13492,2.67,,
1968-03-18,2.69,2.69,2.69,2.69,25192,2.69,,
1968-03-19,2.69,2.69,2.69,2.69,23392,2.69,,
1968-03-20,2.65,2.65,2.65,2.65,9892,2.65,,
1968-03-21,2.63,2.63,2.63,2.63,29692,2.63,,
1968-03-22,2.57,2.57,2.57,2.57,33292,2.57,,
1968-03-25,2.6,2.6,2.6,2.6,46792,2.6,,
1968-03-26,2.6,2.6,2.6,2.6,41392,2.6,,
1968-03-27,2.63,2.63,2.63,2.63,29692,2.63,,
1968-03-28,2.56,2.56,2.56,2.56,67492,2.56,,
1968-03-29,2.53,2.53,2.53,2.53,78292,2.53,,
1968-04-01,2.65,2.65,2.65,2.65,42292,2.65,,
1968-04-02,2.63,2.63,2.63,2.63,22492,2.63,,
1968-04-03,2.65,2.65,2.65,2.65,31492,2.65,,
1968-04-04,2.65,2.65,2.65,2.65,26992,2.65,,
1968-04-05,2.61,2.61,2.61,2.61,45892,2.61,,
1968-04-08,2.57,2.57,2.57,2.57,92692,2.57,,
1968-04-10,2.63,2.63,2.63,2.63,124192,2.63,,
1968-04-11,2.64,2.64,2.64,2.64,53092,2.64,,
1968-04-15,2.65,2.65,2.65,2.65,48592,2.65,,
1968-04-16,2.61,2.61,2.61,2.61,137692,2.61,,
1968-04-17,2.6,2.6,2.6,2.6,24292,2.6,,
1968-04-18,2.64,2.64,2.64,2.64,48592,2.64,,
1968-04-19,2.58,2.58,2.58,2.58,28792,2.58,,
