Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,7.31,7.31,7.31,7.31,14400,7.31,,
1968-01-03,7.22,7.22,7.22,7.22,14400,7.22,,
1968-01-04,7.31,7.31,7.31,7.31,29600,7.31,,
1968-01-05,7.59,7.59,7.59,7.59,20800,7.59,,
1968-01-08,8.06,8.06,8.06,8.06,28400,8.06,,
1968-01-09,8.0,8.0,8.0,8.0,18000,8.0,,
1968-01-10,8.13,8.13,8.13,8.13,9600,8.13,,
1968-01-11,8.34,8.34,8.34,8.34,20800,8.34,,
1968-01-12,8.38,8.38,8.38,8.38,20800,8.38,,
1968-01-15,8.22,8.22,8.22,8.22,26400,8.22,,
1968-01-16,8.16,8.16,8.16,8.16,6800,8.16,,
1968-01-17,8.06,8.06,8.06,8.06,13600,8.06,,
1968-01-18,8.03,8.03,8.03,8.03,4800,8.03,,
1968-01-19,7.88,7.88,7.88,7.88,10800,7.88,,
1968-01-22,7.88,7.88,7.88,7.88,9200,7.88,,
1968-01-23,7.81,7.81,7.81,7.81,9600,7.81,,
1968-01-24,7.81,7.81,7.81,7.81,2400,7.81,,
1968-01-25,7.78,7.78,7.78,7.78,8400,7.78,,
1968-01-26,7.75,7.75,7.75,7.75,12400,7.75,,
1968-01-29,8.03,8.03,8.03,8.03,25600,8.03,,
1968-01-30,8.16,8.16,8.16,8.16,6800,8.16,,
1968-01-31,8.0,8.0,8.0,8.0,5600,8.0,,
1968-02-01,8.13,8.13,8.13,8.13,8000,8.13,,
1968-02-02,8.06,8.06,8.06,8.06,4800,8.06,,
1968-02-05,8.0,8.0,8.0,8.0,10000,8.0,,
1968-02-06,8.03,8.03,8.03,8.03,12000,8.03,,
1968-02-07,8.0,8.0,8.0,8.0,14000,8.0,,
1968-02-08,7.91,7.91,7.91,7.91,162800,7.91,,
1968-02-09,7.81,7.81,7.81,7.81,6400,7.81,,
1968-02-13,7.78,7.78,7.78,7.78,9600,7.78,,
1968-02-14,7.75,7.75,7.75,7.75,4800,7.75,,
1968-02-15,7.84,7.84,7.84,7.84,7600,7.84,,
1968-02-16,7.88,7.88,7.88,7.88,8000,7.88,,
1968-02-19,7.91,7.91,7.91,7.91,6000,7.91,,
1968-02-20,7.91,7.91,7.91,7.91,8800,7.91,,
1968-02-21,7.88,7.88,7.88,7.88,5600,7.88,,
1968-02-23,7.94,7.94,7.94,7.94,12800,7.94,,
1968-02-26,7.84,7.84,7.84,7.84,9200,7.84,,
1968-02-27,7.75,7.75,7.75,7.75,8400,7.75,,
1968-02-28,7.69,7.69,7.69,7.69,8800,7.69,,
1968-02-29,7.56,7.56,7.56,7.56,9600,7.56,,
1968-03-01,7.47,7.47,7.47,7.47,4400,7.47,,
1968-03-04,7.44,7.44,7.44,7.44,4800,7.44,,
1968-03-05,7.47,7.47,7.47,7.47,10400,7.47,,
1968-03-06,7.56,7.56,7.56,7.56,12400,7.56,,
1968-03-07,7.44,7.44,7.44,7.44,15200,7.44,,
1968-03-08,7.38,7.38,7.38,7.38,49600,7.38,,
1968-03-11,7.59,7.59,7.59,7.59,54400,7.59,,
1968-03-12,7.56,7.56,7.56,7.56,3600,7.56,,
1968-03-13,7.47,7.47,7.47,7.47,10400,7.47,,
1968-03-14,7.41,7.41,7.41,7.41,12400,7.41,,
1968-03-15,7.47,7.47,7.47,7.47,4400,7.47,,
1968-03-18,7.28,7.28,7.28,7.28,22400,7.28,,
1968-03-19,7.28,7.28,7.28,7.28,19600,7.28,,
1968-03-20,7.31,7.31,7.31,7.31,5200,7.31,,
1968-03-21,7.44,7.44,7.44,7.44,4400,7.44,,
1968-03-22,7.38,7.38,7.38,7.38,4800,7.38,,
1968-03-25,7.25,7.25,7.25,7.25,6800,7.25,,
1968-03-26,7.38,7.38,7.38,7.38,6800,7.38,,
1968-03-27,7.34,7.34,7.34,7.34,5200,7.34,,
1968-03-28,7.34,7.34,7.34,7.34,2800,7.34,,
1968-03-29,7.31,7.31,7.31,7.31,6000,7.31,,
1968-04-01,7.34,7.34,7.34,7.34,15600,7.34,,
1968-04-02,7.31,7.31,7.31,7.31,17200,7.31,,
1968-04-03,7.25,7.25,7.25,7.25,16400,7.25,,
1968-04-04,7.25,7.25,7.25,7.25,5200,7.25,,
1968-04-05,7.25,7.25,7.25,7.25,17200,7.25,,
1968-04-08,7.19,7.19,7.19,7.19,8000,7.19,,
1968-04-10,7.13,7.13,7.13,7.13,28000,7.13,,
1968-04-11,7.09,7.09,7.09,7.09,90400,7.09,,
1968-04-15,6.91,6.91,6.91,6.91,71600,6.91,,
1968-04-16,7.03,7.03,7.03,7.03,45200,7.03,,
1968-04-17,7.0,7.0,7.0,7.0,28400,7.0,,
1968-04-18,7.03,7.03,7.03,7.03,20400,7.03,,
1968-04-19,7.0,7.0,7.0,7.0,9600,7.0,,
1968-04-22,7.0,7.0,7.0,7.0,18400,7.0,,
1968-04-23,7.06,7.06,7.06,7.06,10000,7.06,,
1968-04-24,7.19,7.19,7.19,7.19,10400,7.19,,
1968-04-25,7.19,7.19,7.19,7.19,14800,7.19,,
1968-04-26,7.09,7.09,7.09,7.09,10000,7.09,,
1968-04-29,7.09,7.09,7.09,7.09,9600,7.09,,
1968-04-30,7.09,7.09,7.09,7.09,14400,7.09,,
1968-05-01,7.03,7.03,7.03,7.03,22800,7.03,,
1968-05-02,7.16,7.16,7.16,7.16,18800,7.16,,
1968-05-03,7.06,7.06,7.06,7.06,31200,7.06,,
1968-05-06,7.06,7.06,7.06,7.06,16000,7.06,,
1968-05-07,7.06,7.06,7.06,7.06,34400,7.06,,
1968-05-08,7.19,7.19,7.19,7.19,74800,7.19,,
1968-05-09,7.22,7.22,7.22,7.22,27600,7.22,,
1968-05-10,7.16,7.16,7.16,7.16,15200,7.16,,
1968-05-13,7.13,7.13,7.13,7.13,13200,7.13,,
1968-05-14,7.0,7.0,7.0,7.0,137200,7.0,,
1968-05-15,7.0,7.0,7.0,7.0,10400,7.0,,
1968-05-16,6.88,6.88,6.88,6.88,31600,6.88,,
1968-05-17,6.88,6.88,6.88,6.88,66400,6.88,,
1968-05-20,6.91,6.91,6.91,6.91,29200,6.91,,
1968-05-21,6.91,6.91,6.91,6.91,16400,6.91,,
1968-05-22,6.97,6.97,6.97,6.97,38400,6.97,,
1968-05-23,6.97,6.97,6.97,6.97,23600,6.97,,
1968-05-24,7.03,7.03,7.03,7.03,16800,7.03,,
1968-05-27,7.0,7.0,7.0,7.0,14800,7.0,,
1968-05-28,6.97,6.97,6.97,6.97,14000,6.97,,
1968-05-29,6.97,6.97,6.97,6.97,8000,6.97,,
1968-05-31,6.91,6.91,6.91,6.91,13200,6.91,,
1968-06-03,7.0,7.0,7.0,7.0,24800,7.0,,
1968-06-04,7.0,7.0,7.0,7.0,12800,7.0,,
1968-06-05,7.13,7.13,7.13,7.13,17200,7.13,,
1968-06-06,7.16,7.16,7.16,7.16,18400,7.16,,
1968-06-07,7.03,7.03,7.03,7.03,140800,7.03,,
1968-06-10,7.0,7.0,7.0,7.0,55600,7.0,,
1968-06-11,7.03,7.03,7.03,7.03,84800,7.03,,
1968-06-13,7.0,7.0,7.0,7.0,43200,7.0,,
1968-06-14,7.0,7.0,7.0,7.0,22800,7.0,,
1968-06-17,7.0,7.0,7.0,7.0,67600,7.0,,
1968-06-18,7.13,7.13,7.13,7.13,52400,7.13,,
1968-06-20,7.34,7.34,7.34,7.34,165600,7.34,,
1968-06-21,7.44,7.44,7.44,7.44,39200,7.44,,
1968-06-24,7.44,7.44,7.44,7.44,37600,7.44,,
1968-06-25,7.56,7.56,7.56,7.56,51600,7.56,,
1968-06-27,7.53,7.53,7.53,7.53,44000,7.53,,
1968-06-28,7.5,7.5,7.5,7.5,39600,7.5,,
1968-07-01,7.53,7.53,7.53,7.53,26400,7.53,,
1968-07-02,7.5,7.5,7.5,7.5,27600,7.5,,
1968-07-03,7.59,7.59,7.59,7.59,24800,7.59,,
1968-07-08,7.63,7.63,7.63,7.63,31600,7.63,,
1968-07-09,7.59,7.59,7.59,7.59,15200,7.59,,
1968-07-11,7.59,7.59,7.59,7.59,52400,7.59,,
1968-07-12,7.59,7.59,7.59,7.59,18800,7.59,,
1968-07-15,7.59,7.59,7.59,7.59,21600,7.59,,
1968-07-16,7.63,7.63,7.63,7.63,9600,7.63,,
1968-07-18,7.66,7.66,7.66,7.66,18000,7.66,,
1968-07-19,7.72,7.72,7.72,7.72,18000,7.72,,
1968-07-22,7.75,7.75,7.75,7.75,18400,7.75,,
1968-07-23,7.63,7.63,7.63,7.63,21200,7.63,,
1968-07-25,7.53,7.53,7.53,7.53,29200,7.53,,
1968-07-26,7.75,7.75,7.75,7.75,40800,7.75,,
1968-07-29,7.66,7.66,7.66,7.66,10800,7.66,,
1968-07-30,7.63,7.63,7.63,7.63,30000,7.63,,
1968-08-01,7.56,7.56,7.56,7.56,41600,7.56,,
1968-08-02,7.56,7.56,7.56,7.56,42800,7.56,,
1968-08-05,7.59,7.59,7.59,7.59,13200,7.59,,
1968-08-06,7.53,7.53,7.53,7.53,14400,7.53,,
1968-08-08,7.5,7.5,7.5,7.5,27200,7.5,,
1968-08-09,7.5,7.5,7.5,7.5,7200,7.5,,
1968-08-12,7.5,7.5,7.5,7.5,8800,7.5,,
1968-08-13,7.47,7.47,7.47,7.47,27600,7.47,,
1968-08-15,7.5,7.5,7.5,7.5,26000,7.5,,
1968-08-16,7.41,7.41,7.41,7.41,17600,7.41,,
1968-08-19,7.44,7.44,7.44,7.44,98800,7.44,,
1968-08-20,7.44,7.44,7.44,7.44,10000,7.44,,
1968-08-22,7.41,7.41,7.41,7.41,16400,7.41,,
1968-08-23,7.38,7.38,7.38,7.38,28000,7.38,,
1968-08-26,7.38,7.38,7.38,7.38,27200,7.38,,
1968-08-27,7.34,7.34,7.34,7.34,29600,7.34,,
1968-08-29,7.44,7.44,7.44,7.44,34000,7.44,,
1968-08-30,7.47,7.47,7.47,7.47,14400,7.47,,
1968-09-03,7.5,7.5,7.5,7.5,13600,7.5,,
1968-09-04,7.53,7.53,7.53,7.53,20800,7.53,,
1968-09-05,7.59,7.59,7.59,7.59,22400,7.59,,
1968-09-06,7.41,7.41,7.41,7.41,16800,7.41,,
1968-09-09,7.41,7.41,7.41,7.41,24000,7.41,,
1968-09-10,7.47,7.47,7.47,7.47,22000,7.47,,
1968-09-12,7.47,7.47,7.47,7.47,23600,7.47,,
1968-09-13,7.5,7.5,7.5,7.5,20800,7.5,,
1968-09-16,7.5,7.5,7.5,7.5,8400,7.5,,
1968-09-17,7.5,7.5,7.5,7.5,19600,7.5,,
1968-09-19,7.38,7.38,7.38,7.38,50400,7.38,,
1968-09-20,7.47,7.47,7.47,7.47,7600,7.47,,
1968-09-23,7.5,7.5,7.5,7.5,10000,7.5,,
1968-09-24,7.44,7.44,7.44,7.44,168400,7.44,,
1968-09-26,7.44,7.44,7.44,7.44,28800,7.44,,
1968-09-27,7.38,7.38,7.38,7.38,25600,7.38,,
1968-09-30,7.5,7.5,7.5,7.5,18000,7.5,,
1968-10-01,7.5,7.5,7.5,7.5,16000,7.5,,
1968-10-03,7.38,7.38,7.38,7.38,24800,7.38,,
1968-10-04,7.56,7.56,7.56,7.56,27600,7.56,,
1968-10-07,7.59,7.59,7.59,7.59,24000,7.59,,
1968-10-08,7.56,7.56,7.56,7.56,20800,7.56,,
1968-10-10,7.53,7.53,7.53,7.53,16800,7.53,,
1968-10-11,7.53,7.53,7.53,7.53,13600,7.53,,
1968-10-14,7.44,7.44,7.44,7.44,9200,7.44,,
1968-10-15,7.38,7.38,7.38,7.38,28000,7.38,,
1968-10-17,7.5,7.5,7.5,7.5,33600,7.5,,
1968-10-18,7.5,7.5,7.5,7.5,18000,7.5,,
1968-10-21,7.5,7.5,7.5,7.5,87600,7.5,,
1968-10-22,7.44,7.44,7.44,7.44,17200,7.44,,
1968-10-24,7.34,7.34,7.34,7.34,24000,7.34,,
1968-10-25,7.28,7.28,7.28,7.28,25600,7.28,,
1968-10-28,7.25,7.25,7.25,7.25,22400,7.25,,
1968-10-29,7.22,7.22,7.22,7.22,20400,7.22,,
1968-10-31,7.19,7.19,7.19,7.19,39600,7.19,,
1968-11-01,7.28,7.28,7.28,7.28,17600,7.28,,
1968-11-04,7.41,7.41,7.41,7.41,18000,7.41,,
1968-11-06,7.31,7.31,7.31,7.31,27600,7.31,,
1968-11-07,7.44,7.44,7.44,7.44,13200,7.44,,
1968-11-08,7.63,7.63,7.63,7.63,38400,7.63,,
