Symbol,Description
NVO,Novo Nordisk A/S
AZN.L,ASTRAZENECA PLC ORD USD0.25
HSBA.L,HSBC HOLDINGS PLC ORD USD0.50
SHEL.L,SHELL PLC ORD EUR0.07
ULVR.L,UNILEVER PLC ORD GBP0.031111
RIO.L,RIO TINTO ORD GBP0.10
REL.L,RELX PLC ORD GBP0.1444
BP.L,BP ORD USD0.25
BATS.L,BRITISH AMERICAN TOBACCO ORD GBP0.25
RR.L,ROLLS ROYCE HOLDINGS ORD GBP0.20
LSEG.L,LONDON STOCK EXCHANGE GROUP ORD GBP0.06918604
GSK.L,GSK PLC ORD GBP0.3125
DGE.L,DIAGEO PLC ORD GBP0.28 101/108
MRO.L,MELROSE INDUSTRIES PLC ORD GBP0.001
VOD.L,VODAFONE GROUP ORD USD0.2095238
BARC.L,BARCLAYS PLC ORD GBP0.25
LLOY.L,LLOYDS BANKING GROUP ORD GBP0.1
BA.L,BAE SYSTEMS ORD GBP0.025
GLEN.L,GLENCORE PLC ORD USD0.01
CHG.L,Chemring Group PLC
QQ.L,Qinetiq Group
BABL.XC,Babcock International Group
SNR.L,Senior PLC
AVON.L,AVON TECHNOLOGIES PLC
MC.PA,LVMH
SAP.DE,SAP SE O.N.
RMS.PA,HERMES INTL
ASML.AS,ASML HOLDING
NESN.SW,NESTLE N
NOVN.SW,NOVARTIS N
OR.PA,L'OREAL
SIE.DE,SIEMENS AG NA O.N.
DTE.DE,DT.TELEKOM AG NA
ITX.MC,INDUSTRIA DE DISENO TEXTIL S.A. INDITEX
SU.PA,SCHNEIDER ELECTRIC SE
AIR.F,AIRBUS SE
SAN.PA,SANOFI
EL.PA,ESSILORLUXOTTICA
ALV.DE,ALLIANZ SE NA O.N.
TTE.PA,TOTALENERGIES
CFR.SW,RICHEMONT N
CDI.PA,CHRISTIAN DIOR
ABI.BR,AB INBEV
RACE.MI,FERRARI
UBSG.SW,UBS GROUP N
SAF.PA,SAFRAN
AI.PA,AIR LIQUIDE
PRX.AS,PROSUS
ABBN.SW,ABB LTD N
SAN.MC,BANCO SANTANDER S.A.
ZURN.SW,ZURICH INSURANCE N
IBE.MC,ACCIONES IBERDROLA
ISP.MI,INTESA SANPAOLO
BNP.PA,BNP PARIBAS ACT.A
CS.PA,AXA
UCG.MI,UNICREDIT
ATCO-A.ST,ATLAS COPCO AB SER. A
BBVA.MC,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
MUV2.DE,MUENCH.RUECKVERS.VNA O.N.
ENEL.MI,ENEL
DG.PA,VINCI
EQNR.OL,EQUINOR ASA
SHL.DE,SIEMENS HEALTHINEERS AG
MRK.DE,MERCK KGAA O.N.
HOLN.SW,HOLCIM N
NG.L,NATIONAL GRID ORD GBP0.12431289
MBG.DE,Mercedes-Benz Group AG
CPG.L,COMPASS GROUP PLC ORD GBP0.1105
ADYEN.AS,ADYEN
INGA.AS,ING GROEP N.V.
BMW.DE,BAY.MOTOREN WERKE AG ST
P911.DE,Porsche AG Vz
DSY.PA,DASSAULT SYSTEMES
G.MI,GENERALI
UMG.AS,UNIVERSAL MUSIC GROUP N V
ACA.PA,CREDIT AGRICOLE
CABK.MC,"CAIXABANK, S.A."
SGO.PA,SAINT GOBAIN
NWG.L,NATWEST GROUP PLC ORD GBP1.0769
III.L,3I GROUP ORD GBP0.738636
IFX.DE,INFINEON TECH.AG NA O.N.
HEIA.AS,HEINEKEN
DB1.DE,DEUTSCHE BOERSE AG
DSV.CO,DSV A/S
SREN.SW,SWISS RE N
ALC.SW,ALCON N
BN.PA,DANONE
RHM.DE,RHEINMETALL AG
NDA-FI.HE,NORDEA BANK ABP
ENI.MI,ENI
ADS.DE,ADIDAS AG NA O.N.
BAS.DE,BASF SE NA O.N.
HLN.L,HALEON PLC ORD GBP0.01
RKT.L,RECKITT BENCKISER GROUP PLC ORD GBP0.10
DHL.DE,DEUTSCHE POST AG
ENR.DE,SIEMENS ENERGY AG
LONN.SW,LONZA N
ENGI.PA,ENGIE
